WRF ANALYSIS
Date & time = ,2024-05-06, 13:57
Display format=,3
Program version:,2021-05-25

Scan file = ,N240326-001-999_WRF_090-078_2_13425941_AL_13517419_S1_40X_2HR
Port & distance (cm) =,782,53.0
WRF ID; Al blast(um) & cal=,13425941-g111 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,24,29,0,63,
Back x0; x1; y0; y1 (cm) =,69,77,0,63,
C; e; Dmax; dDmax; Dscale =,15,15,9.15,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.50,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.400,0.400,0.97

Fit limits (MeV):,8.000,17.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.860,1.944,2.578e+09
Uncertainties
    Random:, 0.176,0.141,299.70%
    Systematic calib:, 0.055,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.035,0.136,2.42%
     DvE:, 0.168,0.038,299.69%
     Dmax:, 0.022,0.000,0.86%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.024,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 -1.008e+06 	 9.937e+07
5.050 	 1.438e+07 	 1.948e+07
5.150 	 -6.646e+06 	 1.096e+07
5.250 	 -6.739e+06 	 6.949e+06
5.350 	 -6.934e+06 	 6.953e+06
5.450 	 -7.133e+06 	 6.957e+06
5.550 	 6.326e+06 	 9.752e+06
5.650 	 -7.118e+05 	 6.965e+06
5.750 	 -7.752e+06 	 6.969e+06
5.850 	 -7.968e+06 	 6.974e+06
5.950 	 -8.186e+06 	 6.978e+06
6.050 	 -1.580e+06 	 6.982e+06
6.150 	 -8.637e+06 	 6.987e+06
6.250 	 -2.038e+06 	 6.992e+06
6.350 	 -2.272e+06 	 6.996e+06
6.450 	 -9.342e+06 	 7.001e+06
6.550 	 1.774e+07 	 1.375e+07
6.650 	 1.066e+07 	 1.194e+07
6.750 	 -3.253e+06 	 7.016e+06
6.850 	 -3.510e+06 	 7.022e+06
6.950 	 3.060e+06 	 9.800e+06
7.050 	 -1.087e+07 	 7.032e+06
7.150 	 9.354e+06 	 1.195e+07
7.250 	 1.591e+07 	 1.377e+07
7.350 	 2.929e+07 	 1.682e+07
7.450 	 2.901e+07 	 1.682e+07
7.550 	 1.506e+07 	 1.378e+07
7.650 	 1.476e+07 	 1.378e+07
7.750 	 5.545e+07 	 2.168e+07
7.850 	 2.099e+07 	 1.539e+07
7.950 	 5.483e+07 	 2.168e+07
8.050 	 3.403e+07 	 1.817e+07
8.150 	 2.688e+07 	 1.684e+07
8.250 	 6.754e+07 	 2.374e+07
8.350 	 6.721e+07 	 2.374e+07
8.450 	 5.321e+07 	 2.169e+07
8.550 	 8.703e+07 	 2.653e+07
8.650 	 9.351e+07 	 2.740e+07
8.750 	 5.901e+07 	 2.275e+07
8.850 	 9.281e+07 	 2.740e+07
8.950 	 1.266e+08 	 3.137e+07
9.050 	 9.209e+07 	 2.741e+07
9.150 	 1.190e+08 	 3.062e+07
