WRF ANALYSIS
Date & time = ,2024-05-31, 09:45
Display format=,3
Program version:,2021-05-25

Scan file = ,N240521-003-999_WRF_090-078_1_13425875_AL_13517612_S1_40X_5HR
Port & distance (cm) =,090078,51.8
WRF ID; Al blast(um) & cal=,13425875-g045 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,55,66,0,63,
C; e; Dmax; dDmax; Dscale =,9,15,16.00,1.00,new
Dlow; Dhigh; Dauto; Elims =,9.50,16.50,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,1.19

Fit limits (MeV):,7.000,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 9.562,1.503,3.526e+08
Uncertainties
    Random:, 0.333,0.127,277.23%
    Systematic calib:, 0.069,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.148,0.113,55.83%
     DvE:, 0.285,0.058,271.54%
     Dmax:, 0.056,0.000,2.72%
     WRF nonlinearity:, 0.019,0.000,0.00%
     Cal. & processing:, 0.067,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 1.908e+08 	 5.164e+07
5.300 	 1.431e+08 	 2.747e+07
5.500 	 1.066e+08 	 2.302e+07
5.700 	 4.840e+07 	 1.887e+07
5.900 	 6.077e+07 	 1.960e+07
6.100 	 4.660e+07 	 1.918e+07
6.300 	 2.918e+07 	 1.862e+07
6.500 	 4.001e+07 	 1.928e+07
6.700 	 3.095e+07 	 1.908e+07
6.900 	 1.361e+07 	 1.851e+07
7.100 	 5.268e+07 	 2.036e+07
7.300 	 6.523e+07 	 2.104e+07
7.500 	 5.457e+07 	 2.079e+07
7.700 	 6.715e+07 	 2.146e+07
7.900 	 3.496e+07 	 2.035e+07
8.100 	 5.254e+07 	 2.123e+07
8.300 	 7.845e+07 	 2.238e+07
8.500 	 6.788e+07 	 2.214e+07
8.700 	 6.895e+07 	 2.234e+07
8.900 	 8.495e+07 	 2.308e+07
9.100 	 1.143e+08 	 2.426e+07
9.300 	 7.062e+07 	 2.287e+07
9.500 	 8.501e+07 	 2.354e+07
9.700 	 7.952e+07 	 2.349e+07
9.900 	 1.321e+08 	 2.542e+07
10.100 	 4.867e+07 	 2.269e+07
10.300 	 1.063e+08 	 2.484e+07
10.500 	 7.096e+07 	 2.378e+07
10.700 	 3.237e+07 	 2.255e+07
10.900 	 6.842e+07 	 2.399e+07
11.100 	 6.137e+07 	 2.389e+07
11.300 	 5.433e+07 	 2.379e+07
11.500 	 3.569e+07 	 2.328e+07
11.700 	 6.184e+07 	 2.433e+07
11.900 	 2.830e+07 	 2.331e+07
12.100 	 3.457e+07 	 2.367e+07
12.300 	 2.261e+07 	 2.340e+07
12.500 	 3.887e+07 	 2.411e+07
12.700 	 2.361e+07 	 2.372e+07
12.900 	 2.330e+07 	 2.386e+07
13.100 	 4.749e+06 	 2.335e+07
13.300 	 -2.375e+07 	 2.246e+07
13.500 	 -2.403e+07 	 2.260e+07
13.700 	 -1.435e+07 	 2.310e+07
13.900 	 6.946e+06 	 2.400e+07
14.100 	 -3.312e+07 	 2.272e+07
14.300 	 1.972e+07 	 2.471e+07
14.500 	 -5.398e+06 	 2.399e+07
14.700 	 1.262e+07 	 2.474e+07
14.900 	 -7.509e+06 	 2.420e+07
15.100 	 7.201e+06 	 2.483e+07
15.300 	 8.657e+06 	 2.502e+07
15.500 	 3.489e+06 	 2.498e+07
15.700 	 -2.821e+07 	 2.404e+07
15.900 	 -2.008e+07 	 2.446e+07
16.100 	 -1.985e+06 	 2.520e+07
16.300 	 -1.375e+07 	 2.494e+07
16.500 	 2.260e+07 	 2.625e+07
16.700 	 -2.232e+07 	 2.492e+07
16.900 	 2.731e+07 	 2.665e+07
17.100 	 -9.305e+06 	 2.561e+07
17.300 	 4.200e+07 	 2.734e+07
17.500 	 2.862e+07 	 2.706e+07
17.700 	 7.828e+07 	 2.865e+07
17.900 	 6.160e+07 	 2.828e+07
18.100 	 3.441e+06 	 2.665e+07
18.300 	 5.810e+07 	 2.841e+07
18.500 	 2.816e+07 	 2.765e+07
18.700 	 4.302e+07 	 2.821e+07
18.900 	 6.287e+07 	 2.890e+07
19.100 	 9.599e+07 	 2.994e+07
19.300 	 0.000e+00 	 0.000e+00
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
