WRF ANALYSIS
Date & time = ,2024-06-13, 14:32
Display format=,3
Program version:,2021-05-25

Scan file = ,N240521-003-999_WRF_090-078_3_13425894_AL_13517613_S1_40X_2HR30MIN
Port & distance (cm) =,090078,51.8
WRF ID; Al blast(um) & cal=,13425894-g064 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,62,77,0,63,
C; e; Dmax; dDmax; Dscale =,35,15,12.00,1.50,new
Dlow; Dhigh; Dauto; Elims =,7.00,15.50,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,207.83

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.750,1.250,1.960e+08
Value (raw stats):, 14.554,0.757,7.284e+07
Uncertainties
    Random:, 2.528,42.689,428.20%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 2.513,42.688,226.52%
     DvE:, 0.247,0.206,363.36%
     Dmax:, 0.095,0.000,3.18%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.050,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 0.000e+00 	 0.000e+00
5.300 	 -1.702e+08 	 3.064e+07
5.500 	 5.617e+06 	 3.632e+07
5.700 	 6.938e+07 	 2.904e+07
5.900 	 1.032e+08 	 2.608e+07
6.100 	 8.576e+07 	 2.595e+07
6.300 	 1.194e+08 	 2.199e+07
6.500 	 1.252e+08 	 2.231e+07
6.700 	 1.135e+08 	 2.229e+07
6.900 	 7.910e+07 	 2.182e+07
7.100 	 7.969e+07 	 2.204e+07
7.300 	 8.208e+07 	 2.229e+07
7.500 	 8.974e+07 	 2.265e+07
7.700 	 3.803e+07 	 2.183e+07
7.900 	 3.879e+07 	 2.206e+07
8.100 	 6.926e+07 	 2.285e+07
8.300 	 3.953e+07 	 2.248e+07
8.500 	 9.460e+07 	 2.371e+07
8.700 	 4.051e+07 	 2.289e+07
8.900 	 6.246e+07 	 2.349e+07
9.100 	 6.881e+07 	 2.380e+07
9.300 	 2.533e+07 	 2.318e+07
9.500 	 8.082e+06 	 2.304e+07
9.700 	 4.330e+07 	 2.389e+07
9.900 	 6.807e+07 	 2.451e+07
10.100 	 4.131e+07 	 2.421e+07
10.300 	 3.731e+07 	 2.432e+07
10.500 	 8.838e+07 	 2.539e+07
10.700 	 4.339e+07 	 2.478e+07
10.900 	 4.909e+07 	 2.506e+07
11.100 	 1.300e+08 	 2.659e+07
11.300 	 8.507e+07 	 2.601e+07
11.500 	 1.162e+08 	 2.669e+07
11.700 	 8.011e+07 	 2.626e+07
11.900 	 1.393e+08 	 2.738e+07
12.100 	 3.943e+07 	 2.591e+07
12.300 	 3.311e+07 	 2.596e+07
12.500 	 3.033e+07 	 2.608e+07
12.700 	 2.843e+07 	 2.621e+07
12.900 	 -5.761e+06 	 2.580e+07
13.100 	 4.396e+07 	 2.679e+07
13.300 	 2.118e+07 	 2.657e+07
13.500 	 4.996e+07 	 2.720e+07
13.700 	 3.509e+07 	 2.711e+07
13.900 	 5.606e+07 	 2.760e+07
14.100 	 2.290e+07 	 2.723e+07
14.300 	 2.033e+07 	 2.734e+07
14.500 	 -2.591e+07 	 2.675e+07
14.700 	 3.621e+07 	 2.789e+07
14.900 	 3.457e+07 	 2.802e+07
15.100 	 3.643e+07 	 2.820e+07
15.300 	 1.474e+07 	 2.801e+07
15.500 	 2.191e+07 	 2.827e+07
15.700 	 9.726e+07 	 2.955e+07
15.900 	 -3.880e+07 	 2.761e+07
16.100 	 3.426e+06 	 2.842e+07
16.300 	 4.128e+07 	 2.914e+07
16.500 	 3.124e+06 	 2.870e+07
16.700 	 1.693e+06 	 2.882e+07
16.900 	 -2.244e+07 	 2.860e+07
17.100 	 -3.257e+07 	 2.859e+07
17.300 	 -1.036e+07 	 2.907e+07
17.500 	 1.885e+07 	 2.964e+07
17.700 	 1.776e+06 	 2.953e+07
17.900 	 1.879e+07 	 2.992e+07
18.100 	 -2.646e+06 	 2.974e+07
18.300 	 5.110e+07 	 3.065e+07
18.500 	 3.234e+07 	 3.052e+07
18.700 	 -5.635e+06 	 3.011e+07
18.900 	 -9.499e+06 	 3.019e+07
19.100 	 1.373e+07 	 3.065e+07
19.300 	 -1.531e+07 	 3.753e+07
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
