WRF ANALYSIS
Date & time = ,2024-12-02, 10:30
Display format=,3
Program version:,2021-05-25

Scan file = ,N241014-001-999_WRF_090-078_4_13425856_AL_13517670_S1_40X_2HR30MIN
Port & distance (cm) =,0784,51.8
WRF ID; Al blast(um) & cal=,13425856-g026 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-31),(0-63),-1.119,-0.818,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,10.00,1.00,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.750,0.250,1.82

Fit limits (MeV):,5.000,7.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 5.843,0.430,5.925e+08
Uncertainties
    Random:, 0.161,0.658,209.63%
    Systematic calib:, 0.100,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.067,0.655,19.88%
     DvE:, 0.047,0.056,208.61%
     Dmax:, 0.099,0.000,5.69%
     WRF nonlinearity:, 0.028,0.000,0.00%
     Cal. & processing:, 0.094,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 0.000e+00 	 0.000e+00
5.025 	 0.000e+00 	 0.000e+00
5.075 	 0.000e+00 	 0.000e+00
5.125 	 9.272e+08 	 5.481e+08
5.175 	 6.174e+08 	 2.978e+08
5.225 	 1.928e+08 	 1.978e+08
5.275 	 5.089e+08 	 2.012e+08
5.325 	 5.030e+08 	 2.012e+08
5.375 	 3.474e+08 	 1.898e+08
5.425 	 4.913e+08 	 2.013e+08
5.475 	 3.357e+08 	 1.898e+08
5.525 	 1.802e+08 	 1.776e+08
5.575 	 2.642e+08 	 1.851e+08
5.625 	 2.881e+08 	 1.875e+08
5.675 	 3.422e+08 	 1.922e+08
5.725 	 4.560e+08 	 2.013e+08
5.775 	 3.604e+08 	 1.945e+08
5.825 	 3.546e+08 	 1.945e+08
5.875 	 4.085e+08 	 1.991e+08
5.925 	 5.524e+08 	 2.100e+08
5.975 	 3.371e+08 	 1.946e+08
6.025 	 4.808e+08 	 2.058e+08
6.075 	 2.057e+08 	 1.851e+08
6.125 	 6.189e+08 	 2.164e+08
6.175 	 2.241e+08 	 1.876e+08
6.225 	 3.082e+08 	 1.946e+08
6.275 	 1.229e+08 	 1.803e+08
6.325 	 1.472e+08 	 1.828e+08
6.375 	 1.713e+08 	 1.852e+08
6.425 	 3.452e+08 	 1.992e+08
6.475 	 4.593e+08 	 2.080e+08
6.525 	 -5.504e+07 	 1.675e+08
6.575 	 1.190e+08 	 1.828e+08
6.625 	 2.328e+08 	 1.924e+08
6.675 	 1.974e+08 	 1.900e+08
6.725 	 1.227e+07 	 1.753e+08
6.775 	 6.638e+07 	 1.804e+08
6.825 	 2.104e+08 	 1.924e+08
6.875 	 1.449e+08 	 1.877e+08
6.925 	 -1.299e+08 	 1.648e+08
6.975 	 2.833e+08 	 1.993e+08
7.025 	 2.178e+08 	 1.947e+08
7.075 	 -2.066e+08 	 1.593e+08
7.125 	 2.665e+08 	 1.993e+08
7.175 	 2.610e+08 	 1.993e+08
7.225 	 -4.388e+07 	 1.754e+08
7.275 	 1.601e+08 	 1.925e+08
7.325 	 4.732e+06 	 1.805e+08
7.375 	 2.928e+07 	 1.829e+08
7.425 	 5.347e+07 	 1.854e+08
7.475 	 1.818e+07 	 1.830e+08
7.525 	 2.518e+08 	 2.016e+08
7.575 	 6.691e+07 	 1.878e+08
7.625 	 1.211e+08 	 1.925e+08
7.675 	 5.943e+08 	 2.267e+08
7.725 	 1.401e+08 	 1.949e+08
7.775 	 2.542e+08 	 2.039e+08
7.825 	 1.888e+08 	 1.994e+08
7.875 	 1.235e+08 	 1.949e+08
7.925 	 -1.706e+06 	 1.855e+08
7.975 	 -5.731e+08 	 1.638e+08
8.025 	 0.000e+00 	 0.000e+00
8.075 	 0.000e+00 	 0.000e+00
8.125 	 0.000e+00 	 0.000e+00
8.175 	 0.000e+00 	 0.000e+00
8.225 	 0.000e+00 	 0.000e+00
8.275 	 0.000e+00 	 0.000e+00
8.325 	 0.000e+00 	 0.000e+00
8.375 	 0.000e+00 	 0.000e+00
8.425 	 0.000e+00 	 0.000e+00
8.475 	 0.000e+00 	 0.000e+00
8.525 	 0.000e+00 	 0.000e+00
8.575 	 0.000e+00 	 0.000e+00
8.625 	 0.000e+00 	 0.000e+00
8.675 	 0.000e+00 	 0.000e+00
8.725 	 0.000e+00 	 0.000e+00
8.775 	 0.000e+00 	 0.000e+00
8.825 	 0.000e+00 	 0.000e+00
8.875 	 0.000e+00 	 0.000e+00
8.925 	 0.000e+00 	 0.000e+00
8.975 	 0.000e+00 	 0.000e+00
9.025 	 0.000e+00 	 0.000e+00
9.075 	 0.000e+00 	 0.000e+00
9.125 	 0.000e+00 	 0.000e+00
9.175 	 0.000e+00 	 0.000e+00
9.225 	 0.000e+00 	 0.000e+00
9.275 	 0.000e+00 	 0.000e+00
9.325 	 0.000e+00 	 0.000e+00
9.375 	 0.000e+00 	 0.000e+00
9.425 	 0.000e+00 	 0.000e+00
9.475 	 0.000e+00 	 0.000e+00
9.525 	 0.000e+00 	 0.000e+00
9.575 	 0.000e+00 	 0.000e+00
9.625 	 0.000e+00 	 0.000e+00
9.675 	 0.000e+00 	 0.000e+00
9.725 	 0.000e+00 	 0.000e+00
9.775 	 0.000e+00 	 0.000e+00
9.825 	 0.000e+00 	 0.000e+00
9.875 	 0.000e+00 	 0.000e+00
9.925 	 0.000e+00 	 0.000e+00
9.975 	 0.000e+00 	 0.000e+00
10.025 	 0.000e+00 	 0.000e+00
10.075 	 0.000e+00 	 0.000e+00
10.125 	 0.000e+00 	 0.000e+00
10.175 	 0.000e+00 	 0.000e+00
10.225 	 0.000e+00 	 0.000e+00
10.275 	 0.000e+00 	 0.000e+00
10.325 	 0.000e+00 	 0.000e+00
10.375 	 0.000e+00 	 0.000e+00
10.425 	 0.000e+00 	 0.000e+00
10.475 	 0.000e+00 	 0.000e+00
10.525 	 0.000e+00 	 0.000e+00
10.575 	 0.000e+00 	 0.000e+00
10.625 	 0.000e+00 	 0.000e+00
10.675 	 0.000e+00 	 0.000e+00
10.725 	 0.000e+00 	 0.000e+00
10.775 	 0.000e+00 	 0.000e+00
10.825 	 0.000e+00 	 0.000e+00
10.875 	 0.000e+00 	 0.000e+00
10.925 	 0.000e+00 	 0.000e+00
10.975 	 0.000e+00 	 0.000e+00
11.025 	 0.000e+00 	 0.000e+00
11.075 	 0.000e+00 	 0.000e+00
11.125 	 0.000e+00 	 0.000e+00
11.175 	 0.000e+00 	 0.000e+00
11.225 	 0.000e+00 	 0.000e+00
11.275 	 0.000e+00 	 0.000e+00
11.325 	 0.000e+00 	 0.000e+00
11.375 	 0.000e+00 	 0.000e+00
11.425 	 0.000e+00 	 0.000e+00
11.475 	 0.000e+00 	 0.000e+00
11.525 	 0.000e+00 	 0.000e+00
11.575 	 0.000e+00 	 0.000e+00
11.625 	 0.000e+00 	 0.000e+00
11.675 	 0.000e+00 	 0.000e+00
11.725 	 0.000e+00 	 0.000e+00
11.775 	 0.000e+00 	 0.000e+00
11.825 	 0.000e+00 	 0.000e+00
11.875 	 0.000e+00 	 0.000e+00
11.925 	 0.000e+00 	 0.000e+00
11.975 	 0.000e+00 	 0.000e+00
12.025 	 0.000e+00 	 0.000e+00
12.075 	 0.000e+00 	 0.000e+00
12.125 	 0.000e+00 	 0.000e+00
12.175 	 0.000e+00 	 0.000e+00
12.225 	 0.000e+00 	 0.000e+00
12.275 	 0.000e+00 	 0.000e+00
12.325 	 0.000e+00 	 0.000e+00
12.375 	 0.000e+00 	 0.000e+00
12.425 	 0.000e+00 	 0.000e+00
12.475 	 0.000e+00 	 0.000e+00
12.525 	 0.000e+00 	 0.000e+00
12.575 	 0.000e+00 	 0.000e+00
12.625 	 0.000e+00 	 0.000e+00
12.675 	 0.000e+00 	 0.000e+00
12.725 	 0.000e+00 	 0.000e+00
12.775 	 0.000e+00 	 0.000e+00
12.825 	 0.000e+00 	 0.000e+00
12.875 	 0.000e+00 	 0.000e+00
12.925 	 0.000e+00 	 0.000e+00
12.975 	 0.000e+00 	 0.000e+00
13.025 	 0.000e+00 	 0.000e+00
13.075 	 0.000e+00 	 0.000e+00
13.125 	 0.000e+00 	 0.000e+00
13.175 	 0.000e+00 	 0.000e+00
13.225 	 0.000e+00 	 0.000e+00
13.275 	 0.000e+00 	 0.000e+00
13.325 	 0.000e+00 	 0.000e+00
13.375 	 0.000e+00 	 0.000e+00
13.425 	 0.000e+00 	 0.000e+00
13.475 	 0.000e+00 	 0.000e+00
13.525 	 0.000e+00 	 0.000e+00
13.575 	 0.000e+00 	 0.000e+00
13.625 	 0.000e+00 	 0.000e+00
13.675 	 0.000e+00 	 0.000e+00
13.725 	 0.000e+00 	 0.000e+00
13.775 	 0.000e+00 	 0.000e+00
13.825 	 0.000e+00 	 0.000e+00
13.875 	 0.000e+00 	 0.000e+00
13.925 	 0.000e+00 	 0.000e+00
13.975 	 0.000e+00 	 0.000e+00
14.025 	 0.000e+00 	 0.000e+00
14.075 	 0.000e+00 	 0.000e+00
14.125 	 0.000e+00 	 0.000e+00
14.175 	 0.000e+00 	 0.000e+00
14.225 	 0.000e+00 	 0.000e+00
14.275 	 0.000e+00 	 0.000e+00
14.325 	 0.000e+00 	 0.000e+00
14.375 	 0.000e+00 	 0.000e+00
14.425 	 0.000e+00 	 0.000e+00
14.475 	 0.000e+00 	 0.000e+00
14.525 	 0.000e+00 	 0.000e+00
14.575 	 0.000e+00 	 0.000e+00
14.625 	 0.000e+00 	 0.000e+00
14.675 	 0.000e+00 	 0.000e+00
14.725 	 0.000e+00 	 0.000e+00
14.775 	 0.000e+00 	 0.000e+00
14.825 	 0.000e+00 	 0.000e+00
14.875 	 0.000e+00 	 0.000e+00
14.925 	 0.000e+00 	 0.000e+00
14.975 	 0.000e+00 	 0.000e+00
15.025 	 0.000e+00 	 0.000e+00
15.075 	 0.000e+00 	 0.000e+00
15.125 	 0.000e+00 	 0.000e+00
15.175 	 0.000e+00 	 0.000e+00
15.225 	 0.000e+00 	 0.000e+00
15.275 	 0.000e+00 	 0.000e+00
15.325 	 0.000e+00 	 0.000e+00
15.375 	 0.000e+00 	 0.000e+00
15.425 	 0.000e+00 	 0.000e+00
15.475 	 0.000e+00 	 0.000e+00
15.525 	 0.000e+00 	 0.000e+00
15.575 	 0.000e+00 	 0.000e+00
15.625 	 0.000e+00 	 0.000e+00
15.675 	 0.000e+00 	 0.000e+00
15.725 	 0.000e+00 	 0.000e+00
15.775 	 0.000e+00 	 0.000e+00
15.825 	 0.000e+00 	 0.000e+00
15.875 	 0.000e+00 	 0.000e+00
15.925 	 0.000e+00 	 0.000e+00
15.975 	 0.000e+00 	 0.000e+00
16.025 	 0.000e+00 	 0.000e+00
16.075 	 0.000e+00 	 0.000e+00
16.125 	 0.000e+00 	 0.000e+00
16.175 	 0.000e+00 	 0.000e+00
16.225 	 0.000e+00 	 0.000e+00
16.275 	 0.000e+00 	 0.000e+00
16.325 	 0.000e+00 	 0.000e+00
16.375 	 0.000e+00 	 0.000e+00
16.425 	 0.000e+00 	 0.000e+00
16.475 	 0.000e+00 	 0.000e+00
16.525 	 0.000e+00 	 0.000e+00
16.575 	 0.000e+00 	 0.000e+00
16.625 	 0.000e+00 	 0.000e+00
16.675 	 0.000e+00 	 0.000e+00
16.725 	 0.000e+00 	 0.000e+00
16.775 	 0.000e+00 	 0.000e+00
16.825 	 0.000e+00 	 0.000e+00
16.875 	 0.000e+00 	 0.000e+00
16.925 	 0.000e+00 	 0.000e+00
16.975 	 0.000e+00 	 0.000e+00
17.025 	 0.000e+00 	 0.000e+00
17.075 	 0.000e+00 	 0.000e+00
17.125 	 0.000e+00 	 0.000e+00
17.175 	 0.000e+00 	 0.000e+00
17.225 	 0.000e+00 	 0.000e+00
17.275 	 0.000e+00 	 0.000e+00
17.325 	 0.000e+00 	 0.000e+00
17.375 	 0.000e+00 	 0.000e+00
17.425 	 0.000e+00 	 0.000e+00
17.475 	 0.000e+00 	 0.000e+00
17.525 	 0.000e+00 	 0.000e+00
17.575 	 0.000e+00 	 0.000e+00
17.625 	 0.000e+00 	 0.000e+00
17.675 	 0.000e+00 	 0.000e+00
17.725 	 0.000e+00 	 0.000e+00
17.775 	 0.000e+00 	 0.000e+00
17.825 	 0.000e+00 	 0.000e+00
17.875 	 0.000e+00 	 0.000e+00
17.925 	 0.000e+00 	 0.000e+00
17.975 	 0.000e+00 	 0.000e+00
18.025 	 0.000e+00 	 0.000e+00
18.075 	 0.000e+00 	 0.000e+00
18.125 	 0.000e+00 	 0.000e+00
18.175 	 0.000e+00 	 0.000e+00
18.225 	 0.000e+00 	 0.000e+00
18.275 	 0.000e+00 	 0.000e+00
18.325 	 0.000e+00 	 0.000e+00
18.375 	 0.000e+00 	 0.000e+00
18.425 	 0.000e+00 	 0.000e+00
18.475 	 0.000e+00 	 0.000e+00
18.525 	 0.000e+00 	 0.000e+00
18.575 	 0.000e+00 	 0.000e+00
18.625 	 0.000e+00 	 0.000e+00
