WRF ANALYSIS
Date & time = ,2024-11-19, 08:43
Display format=,3
Program version:,2021-05-25

Scan file = ,N241031-001-999_WRF_090-078_3_13425933_AL_13517671_S1_40X_5HR
Port & distance (cm) =,0783,51.8
WRF ID; Al blast(um) & cal=,13425933-g103 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,64,77,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,23.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.300,18.00

Fit limits (MeV):,9.500,12.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 10.999,0.677,1.292e+08
Value (raw stats):, 10.993,0.706,1.331e+08
Uncertainties
    Random:, 0.290,0.531,241.45%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.202,0.520,92.51%
     DvE:, 0.205,0.108,223.03%
     Dmax:, 0.009,0.000,0.40%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.027,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 8.591e+06 	 2.045e+07
5.300 	 -1.074e+05 	 8.139e+06
5.500 	 -3.030e+07 	 4.417e+06
5.700 	 -3.464e+07 	 5.997e+06
5.900 	 -1.803e+07 	 7.620e+06
6.100 	 3.862e+07 	 9.774e+06
6.300 	 2.498e+07 	 9.184e+06
6.500 	 4.257e+07 	 8.083e+06
6.700 	 6.063e+07 	 8.808e+06
6.900 	 4.359e+07 	 8.235e+06
7.100 	 5.602e+07 	 8.748e+06
7.300 	 5.529e+07 	 8.774e+06
7.500 	 4.641e+07 	 8.504e+06
7.700 	 2.938e+07 	 7.909e+06
7.900 	 4.936e+07 	 8.717e+06
8.100 	 1.353e+07 	 7.377e+06
8.300 	 2.098e+07 	 7.745e+06
8.500 	 2.028e+07 	 7.775e+06
8.700 	 2.336e+07 	 7.954e+06
8.900 	 2.832e+07 	 8.202e+06
9.100 	 2.828e+07 	 8.254e+06
9.300 	 3.450e+07 	 8.539e+06
9.500 	 1.816e+07 	 7.972e+06
9.700 	 2.063e+07 	 8.123e+06
9.900 	 2.562e+07 	 8.366e+06
10.100 	 3.186e+07 	 8.647e+06
10.300 	 3.623e+07 	 8.854e+06
10.500 	 5.001e+07 	 9.376e+06
10.700 	 6.881e+07 	 1.003e+07
10.900 	 7.633e+07 	 1.030e+07
11.100 	 9.827e+07 	 1.099e+07
11.300 	 6.065e+07 	 9.902e+06
11.500 	 4.623e+07 	 9.480e+06
11.700 	 4.436e+07 	 9.463e+06
11.900 	 2.681e+07 	 8.911e+06
12.100 	 2.495e+07 	 8.894e+06
12.300 	 2.183e+07 	 8.832e+06
12.500 	 1.496e+07 	 8.634e+06
12.700 	 1.624e+07 	 8.729e+06
12.900 	 1.377e+07 	 8.689e+06
13.100 	 1.882e+07 	 8.917e+06
13.300 	 2.576e+07 	 9.204e+06
13.500 	 1.639e+07 	 8.927e+06
13.700 	 1.017e+07 	 8.754e+06
13.900 	 4.572e+06 	 8.601e+06
14.100 	 1.780e+07 	 9.116e+06
14.300 	 7.818e+06 	 8.814e+06
14.500 	 2.355e+07 	 9.402e+06
14.700 	 4.800e+06 	 8.802e+06
14.900 	 1.991e+07 	 9.370e+06
15.100 	 1.559e+07 	 9.270e+06
15.300 	 1.127e+07 	 9.168e+06
15.500 	 2.012e+07 	 9.510e+06
15.700 	 3.274e+07 	 9.959e+06
15.900 	 2.655e+07 	 9.805e+06
16.100 	 1.347e+07 	 9.421e+06
16.300 	 1.105e+07 	 9.385e+06
16.500 	 2.985e+06 	 9.157e+06
16.700 	 1.123e+07 	 9.478e+06
16.900 	 6.307e+06 	 9.359e+06
17.100 	 1.330e+07 	 9.633e+06
17.300 	 -7.921e+06 	 8.962e+06
17.500 	 1.162e+07 	 9.664e+06
17.700 	 1.172e+07 	 9.710e+06
17.900 	 -6.357e+06 	 9.152e+06
18.100 	 -1.001e+07 	 9.072e+06
18.300 	 -2.379e+06 	 9.376e+06
18.500 	 1.028e+07 	 9.832e+06
18.700 	 1.917e+07 	 1.015e+07
18.900 	 -7.052e+06 	 9.351e+06
19.100 	 -1.383e+07 	 9.166e+06
19.300 	 -5.988e+06 	 1.167e+07
19.500 	 -2.166e+07 	 1.391e+07
19.700 	 0.000e+00 	 0.000e+00
