WRF ANALYSIS
Date & time = ,2024-11-19, 08:55
Display format=,3
Program version:,2021-05-25

Scan file = ,N241031-001-999_WRF_090-078_4_13425880_AL_13517662_S1_40X_5HR
Port & distance (cm) =,0784,51.8
WRF ID; Al blast(um) & cal=,13425880-g050 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(29-77),(0-63),-0.904,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,9,15,24.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.00,13.00,no

DvE fit: c; dc; red. Chi^2 =, 1.400,0.100,10.11

Fit limits (MeV):,10.000,12.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 10.952,0.444,2.590e+08
Value (raw stats):, 10.950,0.407,2.560e+08
Uncertainties
    Random:, 0.152,0.407,50.71%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.103,0.405,15.46%
     DvE:, 0.091,0.040,48.29%
     Dmax:, 0.009,0.000,0.40%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.061,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
7.150 	 0.000e+00 	 0.000e+00
7.250 	 0.000e+00 	 0.000e+00
7.350 	 0.000e+00 	 0.000e+00
7.450 	 0.000e+00 	 0.000e+00
7.550 	 0.000e+00 	 0.000e+00
7.650 	 -6.006e+07 	 4.220e+07
7.750 	 3.725e+07 	 3.956e+07
7.850 	 1.752e+07 	 3.282e+07
7.950 	 4.217e+07 	 3.062e+07
8.050 	 8.395e+07 	 3.034e+07
8.150 	 8.921e+07 	 3.074e+07
8.250 	 2.496e+07 	 2.697e+07
8.350 	 1.276e+08 	 3.302e+07
8.450 	 3.554e+07 	 2.786e+07
8.550 	 1.312e+08 	 3.339e+07
8.650 	 2.178e+07 	 2.722e+07
8.750 	 9.662e+07 	 3.173e+07
8.850 	 9.844e+07 	 3.192e+07
8.950 	 7.593e+07 	 3.077e+07
9.050 	 3.607e+07 	 2.854e+07
9.150 	 7.268e+07 	 3.078e+07
9.250 	 3.627e+07 	 2.876e+07
9.350 	 6.941e+07 	 3.079e+07
9.450 	 1.269e+08 	 3.397e+07
9.550 	 7.658e+07 	 3.138e+07
9.650 	 2.629e+07 	 2.857e+07
9.750 	 8.376e+07 	 3.197e+07
9.850 	 8.215e+07 	 3.197e+07
9.950 	 5.619e+07 	 3.062e+07
10.050 	 5.458e+07 	 3.063e+07
10.150 	 7.730e+07 	 3.198e+07
10.250 	 6.874e+07 	 3.161e+07
10.350 	 7.410e+07 	 3.199e+07
10.450 	 1.038e+08 	 3.366e+07
10.550 	 1.404e+08 	 3.558e+07
10.650 	 2.083e+08 	 3.883e+07
10.750 	 2.137e+08 	 3.915e+07
10.850 	 2.608e+08 	 4.125e+07
10.950 	 1.584e+08 	 3.677e+07
11.050 	 2.159e+08 	 3.947e+07
11.150 	 2.456e+08 	 4.082e+07
11.250 	 2.301e+08 	 4.023e+07
11.350 	 1.555e+08 	 3.695e+07
11.450 	 1.053e+08 	 3.459e+07
11.550 	 6.202e+07 	 3.243e+07
11.650 	 6.044e+07 	 3.243e+07
11.750 	 9.364e+07 	 3.425e+07
11.850 	 2.255e+07 	 3.052e+07
11.950 	 -2.767e+07 	 2.762e+07
12.050 	 3.682e+07 	 3.151e+07
12.150 	 2.483e+07 	 3.093e+07
12.250 	 4.066e+07 	 3.190e+07
12.350 	 7.820e+06 	 3.015e+07
