WRF ANALYSIS
Date & time = ,2024-12-13, 11:48
Display format=,3
Program version:,2021-05-25

Scan file = ,N241124-002-999_WRF_000-000_1_13425880_AI_13517663_S2_40X_4HR30MIN
Port & distance (cm) =,000000,53.0
WRF ID; Al blast(um) & cal=,13425880-g050 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(28-76),(0-22),-0.943,1.125,-0.988,-0.294
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,35,15,15.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,1.05

Fit limits (MeV):,9.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.206,1.469,1.470e+09
Uncertainties
    Random:, 0.420,0.246,317.07%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.052,0.239,10.56%
     DvE:, 0.413,0.060,316.90%
     Dmax:, 0.013,0.000,0.51%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.054,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
6.750 	 0.000e+00 	 0.000e+00
6.850 	 0.000e+00 	 0.000e+00
6.950 	 0.000e+00 	 0.000e+00
7.050 	 0.000e+00 	 0.000e+00
7.150 	 0.000e+00 	 0.000e+00
7.250 	 -4.569e+07 	 5.377e+07
7.350 	 -9.752e+07 	 3.221e+07
7.450 	 -1.465e+07 	 3.456e+07
7.550 	 -6.289e+07 	 2.025e+07
7.650 	 -1.050e+07 	 2.982e+07
7.750 	 -5.632e+07 	 2.211e+07
7.850 	 -3.373e+07 	 2.466e+07
7.950 	 1.464e+07 	 3.096e+07
8.050 	 -7.142e+07 	 1.892e+07
8.150 	 5.253e+06 	 3.014e+07
8.250 	 -5.249e+07 	 2.255e+07
8.350 	 -3.948e+07 	 2.467e+07
8.450 	 -5.477e+07 	 2.255e+07
8.550 	 -1.346e+07 	 2.845e+07
8.650 	 -3.582e+07 	 2.567e+07
8.750 	 4.795e+07 	 3.550e+07
8.850 	 -4.516e+07 	 2.469e+07
8.950 	 3.240e+06 	 3.098e+07
9.050 	 1.628e+07 	 3.256e+07
9.150 	 -2.728e+07 	 2.757e+07
9.250 	 6.965e+06 	 3.179e+07
9.350 	 1.293e+07 	 3.257e+07
9.450 	 -2.356e+07 	 2.847e+07
9.550 	 -1.053e+07 	 3.018e+07
9.650 	 9.589e+06 	 3.258e+07
9.750 	 3.677e+07 	 3.552e+07
9.850 	 7.812e+07 	 3.952e+07
9.950 	 5.579e+07 	 3.758e+07
10.050 	 2.639e+07 	 3.481e+07
10.150 	 3.943e+07 	 3.622e+07
10.250 	 5.248e+07 	 3.758e+07
10.350 	 1.151e+08 	 4.316e+07
10.450 	 1.069e+08 	 4.258e+07
10.550 	 5.627e+07 	 3.825e+07
10.650 	 4.810e+07 	 3.759e+07
10.750 	 1.036e+08 	 4.259e+07
10.850 	 6.008e+07 	 3.891e+07
10.950 	 2.005e+08 	 5.015e+07
11.050 	 1.570e+08 	 4.706e+07
11.150 	 1.771e+08 	 4.863e+07
11.250 	 2.326e+08 	 5.259e+07
11.350 	 1.679e+08 	 4.812e+07
11.450 	 1.597e+08 	 4.760e+07
11.550 	 2.294e+08 	 5.259e+07
11.650 	 2.708e+08 	 5.538e+07
11.750 	 3.192e+08 	 5.846e+07
11.850 	 1.837e+08 	 4.966e+07
11.950 	 3.383e+08 	 5.973e+07
12.050 	 3.655e+08 	 6.139e+07
12.150 	 3.645e+08 	 6.139e+07
12.250 	 2.785e+08 	 5.628e+07
12.350 	 4.119e+08 	 6.418e+07
12.450 	 3.188e+08 	 5.889e+07
12.550 	 2.824e+08 	 5.673e+07
12.650 	 4.370e+08 	 6.573e+07
12.750 	 3.652e+08 	 6.180e+07
12.850 	 3.358e+08 	 6.016e+07
12.950 	 3.560e+08 	 6.140e+07
13.050 	 2.984e+08 	 5.805e+07
13.150 	 3.327e+08 	 6.017e+07
13.250 	 3.600e+08 	 6.181e+07
13.350 	 4.509e+08 	 6.687e+07
13.450 	 3.296e+08 	 6.017e+07
13.550 	 3.710e+08 	 6.262e+07
13.650 	 3.275e+08 	 6.017e+07
13.750 	 4.326e+08 	 6.612e+07
13.850 	 1.697e+08 	 5.020e+07
13.950 	 3.668e+08 	 6.263e+07
14.050 	 2.950e+08 	 5.849e+07
14.150 	 3.364e+08 	 6.101e+07
14.250 	 3.000e+08 	 5.892e+07
14.350 	 2.778e+08 	 5.764e+07
14.450 	 2.131e+08 	 5.359e+07
14.550 	 1.342e+08 	 4.818e+07
14.650 	 2.464e+08 	 5.588e+07
14.750 	 3.939e+08 	 6.461e+07
14.850 	 2.939e+08 	 5.893e+07
14.950 	 2.150e+08 	 5.406e+07
15.050 	 2.211e+08 	 5.453e+07
15.150 	 2.483e+08 	 5.633e+07
15.250 	 1.270e+08 	 4.820e+07
15.350 	 1.260e+08 	 4.820e+07
15.450 	 1.816e+08 	 5.219e+07
15.550 	 1.169e+08 	 4.768e+07
15.650 	 5.223e+07 	 4.270e+07
15.750 	 1.573e+08 	 5.074e+07
15.850 	 1.563e+08 	 5.074e+07
15.950 	 1.270e+08 	 4.873e+07
16.050 	 1.331e+08 	 4.924e+07
16.150 	 1.179e+08 	 4.822e+07
16.250 	 8.156e+07 	 4.555e+07
16.350 	 4.518e+07 	 4.272e+07
16.450 	 -2.657e+07 	 3.639e+07
16.550 	 2.194e+07 	 4.093e+07
16.650 	 -4.273e+07 	 3.500e+07
16.750 	 -1.279e+06 	 3.905e+07
16.850 	 -9.353e+06 	 3.841e+07
16.950 	 3.209e+07 	 4.214e+07
17.050 	 -2.550e+07 	 3.709e+07
17.150 	 -4.772e+07 	 3.501e+07
17.250 	 -2.042e+07 	 3.777e+07
17.350 	 -9.216e+07 	 3.043e+07
17.450 	 4.127e+07 	 4.333e+07
17.550 	 -2.340e+07 	 3.777e+07
17.650 	 -5.977e+07 	 3.431e+07
17.750 	 2.918e+06 	 4.034e+07
17.850 	 -1.222e+07 	 3.909e+07
17.950 	 -8.396e+07 	 3.205e+07
18.050 	 -4.958e+07 	 3.575e+07
18.150 	 -6.472e+07 	 3.432e+07
18.250 	 -5.155e+07 	 3.575e+07
18.350 	 5.359e+07 	 4.505e+07
18.450 	 -7.475e+07 	 3.360e+07
18.550 	 -8.988e+07 	 3.208e+07
18.650 	 -5.549e+07 	 3.577e+07
18.750 	 -2.817e+07 	 3.847e+07
18.850 	 6.228e+06 	 4.160e+07
18.950 	 -5.843e+07 	 3.578e+07
19.050 	 -9.878e+06 	 4.038e+07
19.150 	 -3.738e+07 	 3.948e+07
19.250 	 -3.049e+06 	 6.056e+07
19.350 	 -6.004e+07 	 9.040e+07
19.450 	 0.000e+00 	 0.000e+00
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
