WRF ANALYSIS
Date & time = ,2024-12-13, 11:52
Display format=,3
Program version:,2021-05-25

Scan file = ,N241124-002-999_WRF_000-000_2_13425933_AL_13517664_S1_40X_4HR30MIN
Port & distance (cm) =,0002,53.0
WRF ID; Al blast(um) & cal=,13425933-g103 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,24,29,0,63,
Back x0; x1; y0; y1 (cm) =,69,77,0,63,
C; e; Dmax; dDmax; Dscale =,14,15,15.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.158,0.076,6.56

Fit limits (MeV):,8.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.309,1.678,4.825e+09
Uncertainties
    Random:, 0.065,0.040,24.44%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.030,0.035,1.95%
     DvE:, 0.050,0.019,24.35%
     Dmax:, 0.013,0.000,0.48%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.023,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 0.000e+00 	 0.000e+00
5.025 	 0.000e+00 	 0.000e+00
5.075 	 2.407e+05 	 1.001e+08
5.125 	 -5.803e+05 	 4.288e+07
5.175 	 -7.937e+05 	 2.432e+07
5.225 	 2.338e+07 	 2.432e+07
5.275 	 -1.002e+06 	 1.551e+07
5.325 	 -1.122e+06 	 1.551e+07
5.375 	 -1.245e+06 	 1.551e+07
5.425 	 -4.477e+06 	 1.062e+07
5.475 	 5.970e+06 	 1.062e+07
5.525 	 5.838e+06 	 1.063e+07
5.575 	 -8.676e+06 	 7.650e+06
5.625 	 -8.817e+06 	 7.651e+06
5.675 	 -1.387e+06 	 7.652e+06
5.725 	 -9.098e+06 	 7.653e+06
5.775 	 1.561e+07 	 1.257e+07
5.825 	 4.258e+06 	 9.765e+06
5.875 	 -7.095e+06 	 5.715e+06
5.925 	 3.950e+06 	 9.767e+06
5.975 	 -7.406e+06 	 5.718e+06
6.025 	 -1.103e+07 	 4.295e+06
6.075 	 -2.882e+06 	 7.282e+06
6.125 	 -1.136e+07 	 4.299e+06
6.175 	 -7.375e+06 	 5.981e+06
6.225 	 -3.389e+06 	 7.285e+06
6.275 	 -1.603e+07 	 4.305e+06
6.325 	 4.247e+05 	 8.390e+06
6.375 	 2.480e+05 	 8.391e+06
6.425 	 1.670e+07 	 1.181e+07
6.475 	 -8.415e+06 	 5.990e+06
6.525 	 -8.591e+06 	 5.991e+06
6.575 	 7.860e+06 	 1.025e+07
6.625 	 3.519e+06 	 9.368e+06
6.675 	 -9.129e+06 	 5.996e+06
6.725 	 -9.312e+06 	 5.997e+06
6.775 	 -1.184e+06 	 8.399e+06
6.825 	 2.788e+06 	 9.372e+06
6.875 	 6.758e+06 	 1.025e+07
6.925 	 -1.741e+06 	 8.402e+06
6.975 	 2.224e+06 	 9.375e+06
7.025 	 -6.281e+06 	 7.304e+06
7.075 	 5.999e+06 	 1.026e+07
7.125 	 -6.667e+06 	 7.307e+06
7.175 	 1.392e+07 	 1.182e+07
7.225 	 9.570e+06 	 1.107e+07
7.275 	 1.061e+06 	 9.381e+06
7.325 	 -7.454e+06 	 7.312e+06
7.375 	 -3.494e+06 	 8.412e+06
7.425 	 2.955e+07 	 1.446e+07
7.475 	 4.414e+06 	 1.026e+07
7.525 	 -4.107e+06 	 8.416e+06
7.575 	 1.232e+07 	 1.183e+07
7.625 	 7.952e+06 	 1.108e+07
7.675 	 -5.723e+05 	 9.390e+06
7.725 	 1.169e+07 	 1.183e+07
7.775 	 7.320e+06 	 1.108e+07
7.825 	 1.958e+07 	 1.321e+07
7.875 	 4.430e+07 	 1.668e+07
7.925 	 -1.636e+06 	 9.395e+06
7.975 	 2.309e+07 	 1.386e+07
8.025 	 -6.231e+06 	 8.428e+06
8.075 	 2.265e+07 	 1.386e+07
8.125 	 3.489e+07 	 1.562e+07
8.175 	 3.467e+07 	 1.562e+07
8.225 	 3.860e+07 	 1.616e+07
8.275 	 3.006e+07 	 1.506e+07
8.325 	 3.399e+07 	 1.562e+07
8.375 	 6.702e+07 	 1.955e+07
8.425 	 2.106e+07 	 1.386e+07
8.475 	 4.993e+07 	 1.770e+07
8.525 	 2.476e+07 	 1.447e+07
8.575 	 4.946e+07 	 1.770e+07
