WRF ANALYSIS
Date & time = ,2024-12-18, 09:15
Display format=,3
Program version:,2021-05-25

Scan file = ,N241124-002-999_WRF_090-078_1_13425856_AI_13517413_S2_40X_4HR30MIN
Port & distance (cm) =,0781,53.0
WRF ID; Al blast(um) & cal=,13425856-g026 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,23,29,0,63,
Back x0; x1; y0; y1 (cm) =,69,76,0,63,
C; e; Dmax; dDmax; Dscale =,17,15,15.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.60,15.50,no

DvE fit: c; dc; red. Chi^2 =, 1.322,0.051,1.51

Fit limits (MeV):,7.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.182,1.740,4.865e+09
Uncertainties
    Random:, 0.068,0.053,20.12%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.019,0.044,2.56%
     DvE:, 0.032,0.029,19.95%
     Dmax:, 0.013,0.000,0.49%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.054,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 -3.080e+06 	 1.175e+08
4.875 	 -3.187e+06 	 5.245e+07
4.925 	 -3.334e+06 	 5.246e+07
4.975 	 -4.755e+06 	 3.118e+07
5.025 	 1.444e+07 	 2.085e+07
5.075 	 -6.513e+06 	 2.085e+07
5.125 	 6.310e+06 	 1.491e+07
5.175 	 -8.697e+06 	 1.491e+07
5.225 	 -9.076e+05 	 1.116e+07
5.275 	 -1.079e+06 	 1.116e+07
5.325 	 -6.961e+06 	 8.631e+06
5.375 	 -7.144e+06 	 8.633e+06
5.425 	 -7.323e+06 	 8.635e+06
5.475 	 1.525e+07 	 1.506e+07
5.525 	 1.646e+06 	 1.170e+07
5.575 	 1.459e+06 	 1.170e+07
5.625 	 2.139e+07 	 1.649e+07
5.675 	 -1.234e+07 	 6.851e+06
5.725 	 -1.924e+07 	 6.853e+06
5.775 	 -1.943e+07 	 6.855e+06
5.825 	 -6.205e+06 	 9.593e+06
5.875 	 -1.311e+07 	 6.860e+06
5.925 	 -1.330e+07 	 6.862e+06
5.975 	 -6.792e+06 	 9.598e+06
6.025 	 6.427e+06 	 1.350e+07
6.075 	 -4.818e+05 	 1.171e+07
6.125 	 -1.410e+07 	 6.871e+06
6.175 	 -1.430e+07 	 6.873e+06
6.225 	 -1.450e+07 	 6.875e+06
6.275 	 -1.285e+06 	 1.172e+07
6.325 	 -8.196e+06 	 9.609e+06
6.375 	 -8.404e+06 	 9.611e+06
6.425 	 -8.608e+06 	 9.613e+06
6.475 	 -2.105e+06 	 1.172e+07
6.525 	 4.397e+06 	 1.351e+07
6.575 	 -1.593e+07 	 6.891e+06
6.625 	 -2.732e+06 	 1.173e+07
6.675 	 3.769e+06 	 1.351e+07
6.725 	 -3.153e+06 	 1.173e+07
6.775 	 1.676e+07 	 1.651e+07
6.825 	 -3.584e+06 	 1.173e+07
6.875 	 1.633e+07 	 1.651e+07
6.925 	 2.282e+07 	 1.783e+07
6.975 	 2.470e+06 	 1.352e+07
7.025 	 2.250e+06 	 1.352e+07
7.075 	 -4.679e+06 	 1.174e+07
7.125 	 -1.161e+07 	 9.638e+06
7.175 	 8.290e+06 	 1.510e+07
