WRF ANALYSIS
Date & time = ,2024-12-17, 10:31
Display format=,3
Program version:,2021-05-25

Scan file = ,N241124-002-999_WRF_090-124_1_13425940_AL_13517665_S1_40X_4HR30MIN
Port & distance (cm) =,0002,51.0
WRF ID; Al blast(um) & cal=,13425940-g110 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(38-63),-1.119,1.158,0.214,1.000
Back x0; x1; y0; y1 (cm) =,24,29,0,63,
Back x0; x1; y0; y1 (cm) =,68,77,0,63,
C; e; Dmax; dDmax; Dscale =,15,15,15.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,16.50,no

DvE fit: c; dc; red. Chi^2 =, 1.155,0.099,1.84

Fit limits (MeV):,7.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.971,1.667,2.969e+09
Uncertainties
    Random:, 0.075,0.070,30.68%
    Systematic calib:, 0.055,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.033,0.065,3.68%
     DvE:, 0.060,0.026,30.46%
     Dmax:, 0.013,0.000,0.50%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.023,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 0.000e+00 	 0.000e+00
5.050 	 0.000e+00 	 0.000e+00
5.150 	 0.000e+00 	 0.000e+00
5.250 	 -6.823e+06 	 4.988e+07
5.350 	 -1.278e+07 	 2.891e+07
5.450 	 -1.182e+07 	 1.884e+07
5.550 	 2.564e+07 	 2.269e+07
5.650 	 -4.907e+06 	 9.634e+06
5.750 	 -5.181e+06 	 9.637e+06
5.850 	 -8.968e+06 	 7.296e+06
5.950 	 -9.255e+06 	 7.299e+06
6.050 	 -1.084e+07 	 5.654e+06
6.150 	 -4.826e+04 	 9.654e+06
6.250 	 1.074e+07 	 1.243e+07
6.350 	 -1.719e+07 	 5.663e+06
6.450 	 4.657e+06 	 1.113e+07
6.550 	 -6.683e+06 	 7.921e+06
6.650 	 -6.965e+06 	 7.923e+06
6.750 	 9.348e+06 	 1.243e+07
6.850 	 1.459e+07 	 1.361e+07
6.950 	 -1.888e+07 	 5.682e+06
7.050 	 1.402e+07 	 1.361e+07
7.150 	 2.659e+06 	 1.114e+07
7.250 	 1.343e+07 	 1.362e+07
7.350 	 -3.465e+06 	 9.677e+06
7.450 	 7.298e+06 	 1.244e+07
7.550 	 1.465e+06 	 1.115e+07
7.650 	 1.222e+07 	 1.362e+07
7.750 	 6.386e+06 	 1.245e+07
