Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.924999999999999822e+00,-3.334000000000000000e+06,5.246000000000000000e+07
4.974999999999999645e+00,-4.755000000000000000e+06,3.118000000000000000e+07
5.025000000000000355e+00,1.444000000000000000e+07,2.085000000000000000e+07
5.075000000000000178e+00,-6.513000000000000000e+06,2.085000000000000000e+07
5.125000000000000000e+00,6.310000000000000000e+06,1.491000000000000000e+07
5.174999999999999822e+00,-8.697000000000000000e+06,1.491000000000000000e+07
5.224999999999999645e+00,-9.076000000000000000e+05,1.116000000000000000e+07
5.275000000000000355e+00,-1.079000000000000000e+06,1.116000000000000000e+07
5.325000000000000178e+00,-6.961000000000000000e+06,8.631000000000000000e+06
5.375000000000000000e+00,-7.144000000000000000e+06,8.633000000000000000e+06
5.424999999999999822e+00,-7.323000000000000000e+06,8.635000000000000000e+06
5.474999999999999645e+00,1.525000000000000000e+07,1.506000000000000000e+07
5.525000000000000355e+00,1.646000000000000000e+06,1.170000000000000000e+07
5.575000000000000178e+00,1.459000000000000000e+06,1.170000000000000000e+07
5.625000000000000000e+00,2.139000000000000000e+07,1.649000000000000000e+07
5.674999999999999822e+00,-1.234000000000000000e+07,6.851000000000000000e+06
5.724999999999999645e+00,-1.924000000000000000e+07,6.853000000000000000e+06
5.775000000000000355e+00,-1.943000000000000000e+07,6.855000000000000000e+06
5.825000000000000178e+00,-6.205000000000000000e+06,9.593000000000000000e+06
5.875000000000000000e+00,-1.311000000000000000e+07,6.860000000000000000e+06
5.924999999999999822e+00,-1.330000000000000000e+07,6.862000000000000000e+06
5.974999999999999645e+00,-6.792000000000000000e+06,9.598000000000000000e+06
6.025000000000000355e+00,6.427000000000000000e+06,1.350000000000000000e+07
6.075000000000000178e+00,-4.818000000000000000e+05,1.171000000000000000e+07
6.125000000000000000e+00,-1.410000000000000000e+07,6.871000000000000000e+06
6.174999999999999822e+00,-1.430000000000000000e+07,6.873000000000000000e+06
6.224999999999999645e+00,-1.450000000000000000e+07,6.875000000000000000e+06
6.275000000000000355e+00,-1.285000000000000000e+06,1.172000000000000000e+07
6.325000000000000178e+00,-8.196000000000000000e+06,9.609000000000000000e+06
6.375000000000000000e+00,-8.404000000000000000e+06,9.611000000000000000e+06
6.424999999999999822e+00,-8.608000000000000000e+06,9.613000000000000000e+06
6.474999999999999645e+00,-2.105000000000000000e+06,1.172000000000000000e+07
6.525000000000000355e+00,4.397000000000000000e+06,1.351000000000000000e+07
6.575000000000000178e+00,-1.593000000000000000e+07,6.891000000000000000e+06
6.625000000000000000e+00,-2.732000000000000000e+06,1.173000000000000000e+07
6.674999999999999822e+00,3.769000000000000000e+06,1.351000000000000000e+07
6.724999999999999645e+00,-3.153000000000000000e+06,1.173000000000000000e+07
6.775000000000000355e+00,1.676000000000000000e+07,1.651000000000000000e+07
6.825000000000000178e+00,-3.584000000000000000e+06,1.173000000000000000e+07
6.875000000000000000e+00,1.633000000000000000e+07,1.651000000000000000e+07
6.924999999999999822e+00,2.282000000000000000e+07,1.783000000000000000e+07
6.974999999999999645e+00,2.470000000000000000e+06,1.352000000000000000e+07
7.025000000000000355e+00,2.250000000000000000e+06,1.352000000000000000e+07
7.075000000000000178e+00,-4.679000000000000000e+06,1.174000000000000000e+07
7.125000000000000000e+00,-1.161000000000000000e+07,9.638000000000000000e+06
7.174999999999999822e+00,8.290000000000000000e+06,1.510000000000000000e+07
7.224999999999999645e+00,1.477000000000000000e+07,1.652000000000000000e+07
7.275000000000000355e+00,3.467000000000000000e+07,2.020000000000000000e+07
7.325000000000000178e+00,-5.812000000000000000e+06,1.175000000000000000e+07
7.375000000000000000e+00,1.409000000000000000e+07,1.653000000000000000e+07
7.424999999999999822e+00,3.398000000000000000e+07,2.020000000000000000e+07
7.474999999999999645e+00,2.086000000000000000e+05,1.353000000000000000e+07
7.525000000000000355e+00,-2.989000000000000000e+04,1.354000000000000000e+07
7.575000000000000178e+00,3.328000000000000000e+07,2.021000000000000000e+07
7.625000000000000000e+00,1.292000000000000000e+07,1.653000000000000000e+07
7.674999999999999822e+00,3.281000000000000000e+07,2.021000000000000000e+07
7.724999999999999645e+00,3.257000000000000000e+07,2.021000000000000000e+07
7.775000000000000355e+00,1.220000000000000000e+07,1.654000000000000000e+07
7.825000000000000178e+00,2.538000000000000000e+07,1.907000000000000000e+07
7.875000000000000000e+00,3.855000000000000000e+07,2.130000000000000000e+07
7.924999999999999822e+00,3.160000000000000000e+07,2.021000000000000000e+07
