WRF ANALYSIS
Date & time = ,2025-01-10, 16:05
Display format=,3
Program version:,2021-05-25

Scan file = ,N241201-001-999_WRF_090-078_1_13425853_AL_13517604_S1_40X_3HR30MIN
Port & distance (cm) =,0781,51.8
WRF ID; Al blast(um) & cal=,13425853-g023 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,62,77,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,15.40,0.40,new
Dlow; Dhigh; Dauto; Elims =,7.50,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.350,0.150,14.65

Fit limits (MeV):,9.500,11.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 10.454,0.430,4.579e+08
Value (raw stats):, 10.455,0.387,4.583e+08
Uncertainties
    Random:, 0.117,0.279,75.28%
    Systematic calib:, 0.065,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.069,0.274,12.17%
     DvE:, 0.079,0.054,74.28%
     Dmax:, 0.023,0.000,1.05%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.041,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 -1.664e+08 	 2.754e+07
5.050 	 -1.650e+08 	 1.184e+07
5.150 	 -1.284e+08 	 1.602e+07
5.250 	 -1.111e+08 	 1.687e+07
5.350 	 -5.794e+07 	 2.146e+07
5.450 	 -8.330e+06 	 2.292e+07
5.550 	 -2.124e+07 	 2.206e+07
5.650 	 -1.801e+06 	 2.376e+07
5.750 	 -3.147e+05 	 2.403e+07
5.850 	 4.754e+06 	 2.457e+07
5.950 	 2.653e+06 	 2.457e+07
6.050 	 -1.744e+07 	 2.323e+07
6.150 	 7.752e+07 	 2.981e+07
6.250 	 8.981e+07 	 3.067e+07
6.350 	 8.414e+07 	 3.046e+07
6.450 	 -4.192e+06 	 2.486e+07
6.550 	 5.488e+07 	 2.895e+07
6.650 	 4.562e+07 	 2.850e+07
6.750 	 2.560e+07 	 2.735e+07
6.850 	 9.183e+07 	 3.152e+07
6.950 	 1.431e+07 	 2.688e+07
7.050 	 -1.291e+07 	 2.515e+07
7.150 	 6.052e+07 	 3.007e+07
7.250 	 2.614e+07 	 2.807e+07
7.350 	 2.768e+07 	 2.830e+07
7.450 	 6.517e+07 	 3.072e+07
7.550 	 2.360e+07 	 2.831e+07
7.650 	 2.875e+07 	 2.877e+07
7.750 	 6.626e+07 	 3.115e+07
7.850 	 4.985e+07 	 3.031e+07
7.950 	 4.423e+07 	 3.010e+07
8.050 	 4.937e+07 	 3.053e+07
8.150 	 5.094e+07 	 3.075e+07
8.250 	 8.127e+07 	 3.259e+07
8.350 	 4.690e+07 	 3.076e+07
8.450 	 9.521e+07 	 3.357e+07
8.550 	 9.679e+07 	 3.377e+07
8.650 	 1.271e+08 	 3.545e+07
8.750 	 1.251e+08 	 3.546e+07
8.850 	 4.763e+07 	 3.140e+07
8.950 	 9.236e+07 	 3.397e+07
9.050 	 9.038e+07 	 3.398e+07
9.150 	 4.167e+07 	 3.141e+07
