Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.150000000000000355e+00,-8.103000000000000000e+07,1.039000000000000000e+07
5.250000000000000000e+00,-8.182000000000000000e+07,1.210000000000000000e+07
5.349999999999999645e+00,-8.314000000000000000e+07,1.247000000000000000e+07
5.450000000000000178e+00,-6.052000000000000000e+07,1.596000000000000000e+07
5.549999999999999822e+00,-4.011000000000000000e+07,1.687000000000000000e+07
5.650000000000000355e+00,2.871000000000000000e+07,2.262000000000000000e+07
5.750000000000000000e+00,1.409000000000000000e+07,2.169000000000000000e+07
5.849999999999999645e+00,6.044000000000000000e+07,2.500000000000000000e+07
5.950000000000000178e+00,2.655000000000000000e+07,2.285000000000000000e+07
6.049999999999999822e+00,1.190000000000000000e+07,2.194000000000000000e+07
6.150000000000000355e+00,7.112000000000000000e+07,2.602000000000000000e+07
6.250000000000000000e+00,2.118000000000000000e+07,2.287000000000000000e+07
6.349999999999999645e+00,8.683000000000000000e+07,2.719000000000000000e+07
6.450000000000000178e+00,5.296000000000000000e+07,2.523000000000000000e+07
6.549999999999999822e+00,8.332000000000000000e+07,2.720000000000000000e+07
6.650000000000000355e+00,3.660000000000000000e+07,2.441000000000000000e+07
6.750000000000000000e+00,6.373000000000000000e+07,2.624000000000000000e+07
6.849999999999999645e+00,5.553000000000000000e+07,2.585000000000000000e+07
6.950000000000000178e+00,1.084000000000000000e+08,2.904000000000000000e+07
7.049999999999999822e+00,8.732000000000000000e+07,2.796000000000000000e+07
7.150000000000000355e+00,7.270000000000000000e+07,2.722000000000000000e+07
7.250000000000000000e+00,8.378000000000000000e+07,2.797000000000000000e+07
7.349999999999999645e+00,4.027000000000000000e+07,2.547000000000000000e+07
7.450000000000000178e+00,5.133000000000000000e+07,2.627000000000000000e+07
7.549999999999999822e+00,3.673000000000000000e+07,2.547000000000000000e+07
7.650000000000000355e+00,3.816000000000000000e+07,2.568000000000000000e+07
7.750000000000000000e+00,6.529000000000000000e+07,2.743000000000000000e+07
7.849999999999999645e+00,9.562000000000000000e+07,2.925000000000000000e+07
7.950000000000000178e+00,3.285000000000000000e+07,2.569000000000000000e+07
8.050000000000000711e+00,7.280000000000000000e+07,2.818000000000000000e+07
8.150000000000000355e+00,1.323000000000000000e+07,2.468000000000000000e+07
8.250000000000000000e+00,6.924000000000000000e+07,2.819000000000000000e+07
8.349999999999999645e+00,8.994000000000000000e+07,2.944000000000000000e+07
8.449999999999999289e+00,7.212000000000000000e+07,2.856000000000000000e+07
8.550000000000000711e+00,6.071000000000000000e+07,2.802000000000000000e+07
8.650000000000000355e+00,1.007000000000000000e+08,3.032000000000000000e+07
8.750000000000000000e+00,1.182000000000000000e+08,3.132000000000000000e+07
8.849999999999999645e+00,8.106000000000000000e+07,2.946000000000000000e+07
8.949999999999999289e+00,8.571000000000000000e+07,2.981000000000000000e+07
9.050000000000000711e+00,5.827000000000000000e+07,2.840000000000000000e+07
9.150000000000000355e+00,1.303000000000000000e+08,3.231000000000000000e+07
9.250000000000000000e+00,8.681000000000000000e+07,3.017000000000000000e+07
9.349999999999999645e+00,1.139000000000000000e+08,3.167000000000000000e+07
9.449999999999999289e+00,1.089000000000000000e+08,3.151000000000000000e+07
9.550000000000000711e+00,3.652000000000000000e+07,2.769000000000000000e+07
9.650000000000000355e+00,7.005000000000000000e+07,2.967000000000000000e+07
9.750000000000000000e+00,1.678000000000000000e+08,3.464000000000000000e+07
9.849999999999999645e+00,1.114000000000000000e+08,3.201000000000000000e+07
9.949999999999999289e+00,1.449000000000000000e+08,3.374000000000000000e+07
1.005000000000000071e+01,1.431000000000000000e+08,3.374000000000000000e+07
1.015000000000000036e+01,2.312000000000000000e+08,3.778000000000000000e+07
1.025000000000000000e+01,2.455000000000000000e+08,3.846000000000000000e+07
1.034999999999999964e+01,3.464000000000000000e+08,4.254000000000000000e+07
1.044999999999999929e+01,3.253000000000000000e+08,4.180000000000000000e+07
1.055000000000000071e+01,3.653000000000000000e+08,4.338000000000000000e+07
1.065000000000000036e+01,4.213000000000000000e+08,4.547000000000000000e+07
1.075000000000000000e+01,2.878000000000000000e+08,4.056000000000000000e+07
1.084999999999999964e+01,3.310000000000000000e+08,4.231000000000000000e+07
1.094999999999999929e+01,4.351000000000000000e+08,4.615000000000000000e+07
1.105000000000000071e+01,3.209000000000000000e+08,4.207000000000000000e+07
1.115000000000000036e+01,1.971000000000000000e+08,3.712000000000000000e+07
1.125000000000000000e+01,1.889000000000000000e+08,3.685000000000000000e+07
1.134999999999999964e+01,1.132000000000000000e+08,3.348000000000000000e+07
1.144999999999999929e+01,1.146000000000000000e+08,3.364000000000000000e+07
1.155000000000000071e+01,5.498000000000000000e+07,3.076000000000000000e+07
1.165000000000000036e+01,4.994000000000000000e+06,2.814000000000000000e+07
1.175000000000000000e+01,4.811000000000000000e+07,3.060000000000000000e+07
1.184999999999999964e+01,3.664000000000000000e+07,3.010000000000000000e+07
1.194999999999999929e+01,1.234000000000000000e+07,2.888000000000000000e+07
1.205000000000000071e+01,5.223000000000000000e+07,3.112000000000000000e+07
1.215000000000000036e+01,-1.061000000000000000e+07,2.780000000000000000e+07
1.225000000000000000e+01,2.286000000000000000e+07,2.977000000000000000e+07
1.234999999999999964e+01,1.459000000000000000e+07,2.943000000000000000e+07
1.244999999999999929e+01,4.484000000000000000e+07,3.113000000000000000e+07
1.255000000000000071e+01,-1.801000000000000000e+07,2.781000000000000000e+07
1.265000000000000036e+01,4.434000000000000000e+07,3.131000000000000000e+07
1.275000000000000000e+01,4.248000000000000000e+07,3.131000000000000000e+07
1.284999999999999964e+01,5.345000000000000000e+07,3.196000000000000000e+07
1.294999999999999929e+01,4.196000000000000000e+07,3.148000000000000000e+07
1.305000000000000071e+01,1.762000000000000000e+07,3.032000000000000000e+07
1.315000000000000036e+01,-3.057000000000000000e+05,2.946000000000000000e+07
1.325000000000000000e+01,7.487000000000000000e+07,3.340000000000000000e+07
1.334999999999999964e+01,2.483000000000000000e+07,3.100000000000000000e+07
1.344999999999999929e+01,4.542000000000000000e+07,3.215000000000000000e+07
1.355000000000000071e+01,3.390000000000000000e+07,3.167000000000000000e+07
1.365000000000000036e+01,-9.618000000000000000e+04,3.000000000000000000e+07
1.375000000000000000e+01,-1.987000000000000000e+06,3.001000000000000000e+07
1.384999999999999964e+01,8.600000000000000000e+07,3.449000000000000000e+07
1.394999999999999929e+01,7.126000000000000000e+07,3.389000000000000000e+07
1.405000000000000071e+01,6.936000000000000000e+07,3.389000000000000000e+07
1.415000000000000036e+01,2.571000000000000000e+07,3.186000000000000000e+07
1.425000000000000000e+01,9.764000000000000000e+07,3.539000000000000000e+07
1.434999999999999964e+01,-1.022000000000000000e+07,3.020000000000000000e+07
1.444999999999999929e+01,7.123000000000000000e+06,3.122000000000000000e+07
1.455000000000000071e+01,1.804000000000000000e+07,3.187000000000000000e+07
1.465000000000000036e+01,-6.363000000000000000e+06,3.072000000000000000e+07
1.475000000000000000e+01,4.544000000000000000e+06,3.139000000000000000e+07
1.484999999999999964e+01,-1.986000000000000000e+07,3.023000000000000000e+07
1.494999999999999929e+01,1.351000000000000000e+07,3.205000000000000000e+07
1.505000000000000071e+01,2.439000000000000000e+07,3.269000000000000000e+07
1.515000000000000036e+01,-6.444000000000000000e+06,3.125000000000000000e+07
1.525000000000000000e+01,2.049000000000000000e+07,3.270000000000000000e+07
1.534999999999999964e+01,1.853000000000000000e+07,3.270000000000000000e+07
1.544999999999999929e+01,6.946000000000000000e+06,3.223000000000000000e+07
1.555000000000000071e+01,4.029000000000000000e+07,3.395000000000000000e+07
1.565000000000000036e+01,-2.909000000000000000e+07,3.060000000000000000e+07
1.575000000000000000e+01,3.315000000000000000e+07,3.381000000000000000e+07
1.584999999999999964e+01,4.722000000000000000e+07,3.456000000000000000e+07
1.594999999999999929e+01,3.240000000000000000e+07,3.397000000000000000e+07
1.605000000000000071e+01,3.685000000000000000e+07,3.427000000000000000e+07
1.614999999999999858e+01,3.807000000000000000e+07,3.443000000000000000e+07
1.625000000000000000e+01,2.967000000000000000e+07,3.413000000000000000e+07
1.635000000000000142e+01,-5.901000000000000000e+07,2.978000000000000000e+07
1.644999999999999929e+01,5.777000000000000000e+07,3.562000000000000000e+07
1.655000000000000071e+01,4.934000000000000000e+07,3.533000000000000000e+07
1.664999999999999858e+01,-1.366000000000000000e+07,3.244000000000000000e+07
1.675000000000000000e+01,8.063000000000000000e+07,3.691000000000000000e+07
1.685000000000000142e+01,7.983000000000000000e+06,3.370000000000000000e+07
1.694999999999999929e+01,2.741000000000000000e+06,3.355000000000000000e+07
1.705000000000000071e+01,3.924000000000000000e+06,3.371000000000000000e+07
1.714999999999999858e+01,2.436000000000000000e+07,3.477000000000000000e+07
1.725000000000000000e+01,2.553000000000000000e+07,3.492000000000000000e+07
1.735000000000000142e+01,-1.182000000000000000e+07,3.326000000000000000e+07
1.744999999999999929e+01,-2.029000000000000000e+07,3.295000000000000000e+07
1.755000000000000071e+01,-1.593000000000000000e+07,3.327000000000000000e+07
1.764999999999999858e+01,2.374000000000000000e+07,3.523000000000000000e+07
1.775000000000000000e+01,-1.043000000000000000e+07,3.374000000000000000e+07
1.785000000000000142e+01,-3.176000000000000000e+07,3.281000000000000000e+07
1.794999999999999929e+01,7.899000000000000000e+06,3.480000000000000000e+07
1.805000000000000071e+01,5.811000000000000000e+06,3.480000000000000000e+07
1.814999999999999858e+01,3.721000000000000000e+06,3.481000000000000000e+07
1.825000000000000000e+01,-4.652000000000000000e+07,3.252000000000000000e+07
1.835000000000000142e+01,3.164000000000000000e+07,3.627000000000000000e+07
1.844999999999999929e+01,-3.146000000000000000e+07,3.346000000000000000e+07
1.855000000000000071e+01,2.743000000000000000e+07,3.627000000000000000e+07
1.864999999999999858e+01,-5.816000000000000000e+07,3.237000000000000000e+07
1.875000000000000000e+01,3.604000000000000000e+07,3.685000000000000000e+07
1.885000000000000142e+01,1.466000000000000000e+07,3.600000000000000000e+07
1.894999999999999929e+01,-3.562000000000000000e+07,3.379000000000000000e+07
1.905000000000000071e+01,-2.491000000000000000e+07,3.440000000000000000e+07
1.914999999999999858e+01,-7.795000000000000000e+06,3.529000000000000000e+07
1.925000000000000000e+01,-8.128000000000000000e+07,3.409000000000000000e+07
1.935000000000000142e+01,5.637000000000000000e+07,6.595000000000000000e+07
