Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.650000000000000355e+00,7.068000000000000000e+06,1.100000000000000000e+07
4.750000000000000000e+00,3.828000000000000000e+06,7.112000000000000000e+06
4.849999999999999645e+00,3.777000000000000000e+06,7.112000000000000000e+06
4.950000000000000178e+00,1.667000000000000000e+06,4.932000000000000000e+06
5.049999999999999822e+00,-2.749000000000000000e+06,3.579000000000000000e+06
5.150000000000000355e+00,7.665000000000000000e+05,3.580000000000000000e+06
5.250000000000000000e+00,2.781000000000000000e+06,3.779000000000000000e+06
5.349999999999999645e+00,8.407000000000000000e+04,2.684000000000000000e+06
5.450000000000000178e+00,4.820000000000000000e+04,2.685000000000000000e+06
5.549999999999999822e+00,3.260000000000000000e+06,3.427000000000000000e+06
5.650000000000000355e+00,1.254000000000000000e+06,2.804000000000000000e+06
5.750000000000000000e+00,5.159000000000000000e+06,3.954000000000000000e+06
5.849999999999999645e+00,1.182000000000000000e+06,2.805000000000000000e+06
5.950000000000000178e+00,-2.794000000000000000e+06,1.997000000000000000e+06
6.049999999999999822e+00,1.111000000000000000e+06,2.806000000000000000e+06
6.150000000000000355e+00,-8.943000000000000000e+05,1.999000000000000000e+06
6.250000000000000000e+00,6.952000000000000000e+06,4.419000000000000000e+06
6.349999999999999645e+00,4.947000000000000000e+06,3.956000000000000000e+06
6.450000000000000178e+00,6.883000000000000000e+06,4.420000000000000000e+06
6.549999999999999822e+00,1.079000000000000000e+07,5.225000000000000000e+06
6.650000000000000355e+00,9.031000000000000000e+05,2.809000000000000000e+06
6.750000000000000000e+00,6.780000000000000000e+06,4.421000000000000000e+06
6.849999999999999645e+00,6.746000000000000000e+06,4.421000000000000000e+06
6.950000000000000178e+00,1.065000000000000000e+07,5.226000000000000000e+06
7.049999999999999822e+00,8.648000000000000000e+06,4.841000000000000000e+06
7.150000000000000355e+00,7.320000000000000000e+05,2.812000000000000000e+06
7.250000000000000000e+00,4.639000000000000000e+06,3.959000000000000000e+06
7.349999999999999645e+00,6.641000000000000000e+05,2.813000000000000000e+06
7.450000000000000178e+00,-1.340000000000000000e+06,2.008000000000000000e+06
7.549999999999999822e+00,4.537000000000000000e+06,3.960000000000000000e+06
7.650000000000000355e+00,-1.408000000000000000e+06,2.010000000000000000e+06
7.750000000000000000e+00,5.291000000000000000e+05,2.815000000000000000e+06
7.849999999999999645e+00,-1.475000000000000000e+06,2.011000000000000000e+06
7.950000000000000178e+00,4.619000000000000000e+05,2.816000000000000000e+06
8.050000000000000711e+00,8.310000000000000000e+06,4.844000000000000000e+06
8.150000000000000355e+00,-1.576000000000000000e+06,2.014000000000000000e+06
8.250000000000000000e+00,2.332000000000000000e+06,3.438000000000000000e+06
8.349999999999999645e+00,3.284000000000000000e+05,2.818000000000000000e+06
8.449999999999999289e+00,-1.675000000000000000e+06,2.016000000000000000e+06
8.550000000000000711e+00,2.233000000000000000e+06,3.440000000000000000e+06
8.650000000000000355e+00,2.292000000000000000e+05,2.820000000000000000e+06
8.750000000000000000e+00,4.137000000000000000e+06,3.965000000000000000e+06
8.849999999999999645e+00,6.075000000000000000e+06,4.428000000000000000e+06
8.949999999999999289e+00,-3.810000000000000000e+06,2.020000000000000000e+06
9.050000000000000711e+00,9.864000000000000000e+04,2.823000000000000000e+06
9.150000000000000355e+00,5.977000000000000000e+06,4.429000000000000000e+06
9.250000000000000000e+00,5.945000000000000000e+06,4.430000000000000000e+06
9.349999999999999645e+00,5.913000000000000000e+06,4.430000000000000000e+06
9.449999999999999289e+00,1.179000000000000000e+07,5.593000000000000000e+06
9.550000000000000711e+00,3.877000000000000000e+06,3.969000000000000000e+06
9.650000000000000355e+00,1.875000000000000000e+06,3.445000000000000000e+06
9.750000000000000000e+00,7.754000000000000000e+06,4.850000000000000000e+06
9.849999999999999645e+00,3.781000000000000000e+06,3.970000000000000000e+06
9.949999999999999289e+00,5.719000000000000000e+06,4.432000000000000000e+06
1.005000000000000071e+01,9.628000000000000000e+06,5.236000000000000000e+06
1.015000000000000036e+01,1.714000000000000000e+06,3.448000000000000000e+06
1.025000000000000000e+01,7.593000000000000000e+06,4.852000000000000000e+06
1.034999999999999964e+01,7.562000000000000000e+06,4.852000000000000000e+06
1.044999999999999929e+01,5.559000000000000000e+06,4.435000000000000000e+06
1.055000000000000071e+01,5.528000000000000000e+06,4.435000000000000000e+06
1.065000000000000036e+01,-2.386000000000000000e+06,2.035000000000000000e+06
1.075000000000000000e+01,-4.471000000000000000e+05,2.834000000000000000e+06
1.084999999999999964e+01,1.492000000000000000e+06,3.452000000000000000e+06
1.094999999999999929e+01,1.460000000000000000e+06,3.452000000000000000e+06
1.105000000000000071e+01,3.399000000000000000e+06,3.976000000000000000e+06
1.115000000000000036e+01,1.397000000000000000e+06,3.453000000000000000e+06
1.125000000000000000e+01,5.307000000000000000e+06,4.438000000000000000e+06
1.134999999999999964e+01,3.305000000000000000e+06,3.977000000000000000e+06
1.144999999999999929e+01,9.185000000000000000e+06,5.241000000000000000e+06
