WRF ANALYSIS
Date & time = ,2023-10-05, 15:56
Display format=,3
Program version:,2021-05-25

Scan file = ,O109090_WRF_WA1225_5h_s4_40x
Port & distance (cm) =,tim 6,10.5
WRF ID; Al blast(um) & cal=,13425932-g102 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(35-63),-1.119,1.157,0.120,1.000
Back x0; x1; y0; y1 (cm) =,0,11,35,63,
Back x0; x1; y0; y1 (cm) =,62,71,35,63,
C; e; Dmax; dDmax; Dscale =,13,15,17.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.400,0.200,6.84

Fit limits (MeV):,9.000,11.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 10.397,0.463,6.890e+06
Uncertainties
    Random:, 0.131,0.366,112.51%
    Systematic calib:, 0.065,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.112,0.366,13.20%
     DvE:, 0.049,0.021,111.73%
     Dmax:, 0.012,0.000,0.58%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.041,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 -3.905e+05 	 2.083e+06
5.050 	 1.653e+06 	 1.404e+06
5.150 	 -2.984e+05 	 7.366e+05
5.250 	 -2.533e+05 	 5.619e+05
5.350 	 5.988e+05 	 6.193e+05
5.450 	 1.583e+05 	 4.392e+05
5.550 	 1.545e+05 	 4.393e+05
5.650 	 -2.860e+05 	 4.393e+05
5.750 	 -2.898e+05 	 4.394e+05
5.850 	 -2.936e+05 	 4.395e+05
5.950 	 -2.973e+05 	 4.395e+05
6.050 	 1.357e+05 	 4.396e+05
6.150 	 -3.048e+05 	 4.397e+05
6.250 	 -3.085e+05 	 4.398e+05
6.350 	 -3.122e+05 	 4.398e+05
6.450 	 -3.158e+05 	 4.399e+05
6.550 	 -3.194e+05 	 4.400e+05
6.650 	 1.137e+05 	 4.401e+05
6.750 	 -3.267e+05 	 4.401e+05
6.850 	 1.064e+05 	 4.402e+05
6.950 	 1.028e+05 	 4.403e+05
7.050 	 5.359e+05 	 6.202e+05
7.150 	 -3.411e+05 	 4.405e+05
7.250 	 9.203e+04 	 4.405e+05
7.350 	 -3.483e+05 	 4.406e+05
7.450 	 -3.519e+05 	 4.407e+05
7.550 	 8.131e+04 	 4.408e+05
7.650 	 -3.590e+05 	 4.409e+05
7.750 	 -3.625e+05 	 4.410e+05
7.850 	 7.068e+04 	 4.410e+05
7.950 	 -3.696e+05 	 4.411e+05
8.050 	 6.362e+04 	 4.412e+05
8.150 	 6.010e+04 	 4.413e+05
8.250 	 4.933e+05 	 6.209e+05
8.350 	 5.312e+04 	 4.415e+05
8.450 	 4.964e+04 	 4.416e+05
8.550 	 4.616e+04 	 4.417e+05
8.650 	 9.162e+05 	 7.593e+05
8.750 	 9.127e+05 	 7.594e+05
8.850 	 3.582e+04 	 4.419e+05
8.950 	 4.691e+05 	 6.214e+05
9.050 	 -4.077e+05 	 4.421e+05
9.150 	 1.336e+06 	 8.762e+05
9.250 	 1.332e+06 	 8.763e+05
