WRF ANALYSIS
Date & time = ,2023-10-06, 08:53
Display format=,3
Program version:,2021-05-25

Scan file = ,O109092_WRF_TIM6_WA1226_5h_s8_40x
Port & distance (cm) =,tim 6,10.5
WRF ID; Al blast(um) & cal=,13425905-g075 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,60,77,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,17.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.579,0.105,1.59

Fit limits (MeV):,8.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.166,1.622,5.003e+07
Uncertainties
    Random:, 0.076,0.244,42.93%
    Systematic calib:, 0.058,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.058,0.236,3.24%
     DvE:, 0.027,0.062,42.81%
     Dmax:, 0.012,0.000,0.48%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.036,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 3.521e+05 	 9.972e+05
4.850 	 5.388e+05 	 7.835e+05
4.950 	 7.022e+04 	 4.868e+05
5.050 	 6.001e+04 	 4.869e+05
5.150 	 4.966e+04 	 4.870e+05
5.250 	 3.936e+04 	 4.871e+05
5.350 	 3.712e+05 	 5.954e+05
5.450 	 1.864e+04 	 4.873e+05
5.550 	 -6.762e+05 	 3.470e+05
5.650 	 -2.231e+03 	 4.875e+05
5.750 	 -3.549e+05 	 3.473e+05
5.850 	 -7.076e+05 	 3.474e+05
5.950 	 1.335e+06 	 8.405e+05
6.050 	 -3.865e+05 	 3.477e+05
6.150 	 -5.482e+04 	 4.880e+05
6.250 	 -4.076e+05 	 3.480e+05
6.350 	 6.085e+05 	 6.874e+05
6.450 	 1.282e+06 	 8.407e+05
6.550 	 -7.814e+05 	 3.484e+05
6.650 	 -4.498e+05 	 3.486e+05
6.750 	 5.662e+05 	 6.877e+05
6.850 	 5.554e+05 	 6.878e+05
6.950 	 2.025e+05 	 5.967e+05
7.050 	 -8.349e+05 	 3.492e+05
7.150 	 -1.614e+05 	 4.890e+05
7.250 	 1.700e+05 	 5.970e+05
7.350 	 -1.831e+05 	 4.892e+05
7.450 	 1.481e+05 	 5.971e+05
7.550 	 4.793e+05 	 6.883e+05
7.650 	 8.105e+05 	 7.688e+05
7.750 	 4.572e+05 	 6.885e+05
7.850 	 1.039e+05 	 5.975e+05
7.950 	 9.269e+04 	 5.976e+05
8.050 	 7.658e+05 	 7.691e+05
8.150 	 7.545e+05 	 7.691e+05
8.250 	 1.085e+06 	 8.419e+05
8.350 	 1.759e+06 	 9.712e+05
8.450 	 1.063e+06 	 8.420e+05
8.550 	 -3.175e+05 	 4.906e+05
8.650 	 1.040e+06 	 8.422e+05
8.750 	 2.739e+06 	 1.138e+06
8.850 	 4.097e+06 	 1.328e+06
8.950 	 6.629e+05 	 7.698e+05
9.050 	 2.362e+06 	 1.085e+06
9.150 	 5.431e+06 	 1.494e+06
9.250 	 3.366e+06 	 1.237e+06
9.350 	 5.407e+06 	 1.494e+06
9.450 	 5.737e+06 	 1.533e+06
9.550 	 6.068e+06 	 1.571e+06
9.650 	 5.029e+06 	 1.455e+06
9.750 	 7.413e+06 	 1.713e+06
9.850 	 8.427e+06 	 1.813e+06
9.950 	 6.704e+06 	 1.644e+06
10.050 	 7.034e+06 	 1.679e+06
10.150 	 7.706e+06 	 1.747e+06
10.250 	 6.325e+06 	 1.608e+06
10.350 	 5.628e+06 	 1.533e+06
10.450 	 6.985e+06 	 1.679e+06
10.550 	 9.710e+06 	 1.938e+06
10.650 	 8.671e+06 	 1.845e+06
10.750 	 6.263e+06 	 1.608e+06
10.850 	 8.645e+06 	 1.845e+06
10.950 	 6.579e+06 	 1.644e+06
11.050 	 7.251e+06 	 1.714e+06
11.150 	 8.607e+06 	 1.846e+06
11.250 	 6.199e+06 	 1.608e+06
11.350 	 8.581e+06 	 1.846e+06
11.450 	 9.253e+06 	 1.908e+06
11.550 	 1.027e+07 	 1.998e+06
11.650 	 9.226e+06 	 1.908e+06
11.750 	 8.529e+06 	 1.846e+06
11.850 	 6.120e+06 	 1.609e+06
11.950 	 7.818e+06 	 1.781e+06
12.050 	 8.489e+06 	 1.846e+06
12.150 	 6.080e+06 	 1.609e+06
12.250 	 8.462e+06 	 1.846e+06
12.350 	 1.016e+07 	 1.998e+06
12.450 	 6.039e+06 	 1.609e+06
12.550 	 9.105e+06 	 1.909e+06
12.650 	 9.433e+06 	 1.939e+06
12.750 	 5.997e+06 	 1.609e+06
12.850 	 1.043e+07 	 2.028e+06
12.950 	 8.365e+06 	 1.846e+06
13.050 	 7.324e+06 	 1.749e+06
13.150 	 7.994e+06 	 1.814e+06
13.250 	 1.038e+07 	 2.028e+06
13.350 	 1.207e+07 	 2.167e+06
13.450 	 8.978e+06 	 1.909e+06
13.550 	 1.273e+07 	 2.221e+06
13.650 	 1.203e+07 	 2.168e+06
13.750 	 1.338e+07 	 2.273e+06
13.850 	 1.474e+07 	 2.374e+06
13.950 	 8.220e+06 	 1.847e+06
14.050 	 1.026e+07 	 2.028e+06
14.150 	 8.875e+06 	 1.909e+06
14.250 	 1.228e+07 	 2.195e+06
14.350 	 7.134e+06 	 1.749e+06
14.450 	 1.225e+07 	 2.195e+06
14.550 	 8.472e+06 	 1.879e+06
14.650 	 7.773e+06 	 1.815e+06
14.750 	 7.415e+06 	 1.783e+06
14.850 	 4.662e+06 	 1.497e+06
14.950 	 1.977e+05 	 8.479e+05
15.050 	 3.946e+06 	 1.417e+06
15.150 	 -1.759e+05 	 7.760e+05
15.250 	 2.204e+06 	 1.193e+06
15.350 	 1.346e+05 	 8.484e+05
15.450 	 -5.658e+05 	 6.969e+05
15.550 	 4.448e+05 	 9.150e+05
15.650 	 4.287e+05 	 9.151e+05
15.750 	 -2.719e+05 	 7.768e+05
15.850 	 -6.304e+05 	 6.975e+05
15.950 	 -6.467e+05 	 6.976e+05
16.050 	 7.058e+05 	 9.774e+05
16.150 	 1.716e+06 	 1.143e+06
16.250 	 -1.168e+04 	 8.494e+05
16.350 	 6.561e+05 	 9.777e+05
16.450 	 6.393e+05 	 9.778e+05
16.550 	 -1.089e+06 	 6.089e+05
16.650 	 2.633e+05 	 9.162e+05
16.750 	 2.462e+05 	 9.163e+05
16.850 	 -4.553e+05 	 7.782e+05
16.950 	 -1.841e+06 	 3.707e+05
17.050 	 -1.476e+05 	 8.504e+05
17.150 	 -1.650e+05 	 8.505e+05
17.250 	 -5.247e+05 	 7.788e+05
17.350 	 -1.227e+06 	 6.103e+05
17.450 	 1.493e+06 	 1.144e+06
17.550 	 4.490e+05 	 9.790e+05
17.650 	 -2.533e+05 	 8.512e+05
17.750 	 -2.712e+05 	 8.513e+05
17.850 	 -2.892e+05 	 8.514e+05
17.950 	 -1.676e+06 	 5.067e+05
18.050 	 3.588e+05 	 9.796e+05
18.150 	 -6.861e+05 	 7.801e+05
18.250 	 3.221e+05 	 9.798e+05
18.350 	 -3.856e+04 	 9.183e+05
18.450 	 -7.416e+05 	 7.805e+05
18.550 	 -7.602e+05 	 7.807e+05
18.650 	 1.959e+06 	 1.244e+06
18.750 	 1.255e+06 	 1.146e+06
18.850 	 -1.324e+05 	 9.189e+05
18.950 	 1.217e+06 	 1.146e+06
19.050 	 -8.550e+05 	 7.814e+05
19.150 	 -9.331e+05 	 2.404e+06
19.250 	 0.000e+00 	 0.000e+00
19.350 	 0.000e+00 	 0.000e+00
