WRF ANALYSIS
Date & time = ,2023-10-05, 16:30
Display format=,3
Program version:,2021-05-25

Scan file = ,O109094_WRF_P2_WA1203_1.5h_s7_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425921-g091 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-60),-1.122,1.148,-0.976,0.906
Back x0; x1; y0; y1 (cm) =,0,11,0,60,
Back x0; x1; y0; y1 (cm) =,62,71,0,60,
C; e; Dmax; dDmax; Dscale =,35,15
Dlow; Dhigh; Dauto; Elims =,0.00,200.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,14.81

Fit limits (MeV):,9.000,11.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 10.742,0.324,1.860e+06
Uncertainties
    Random:, 1.004,1.361,297.03%
    Systematic calib:, 0.063,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.851,1.339,116.03%
     DvE:, 0.528,0.245,273.42%
     Dmax:, 0.050,0.000,2.28%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.040,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 -9.925e+05 	 5.632e+05
5.750 	 -7.005e+05 	 4.284e+05
6.250 	 -1.942e+05 	 5.270e+05
6.750 	 -1.350e+05 	 5.510e+05
7.250 	 3.814e+05 	 6.308e+05
7.750 	 -1.212e+06 	 4.162e+05
8.250 	 6.725e+05 	 6.877e+05
8.750 	 9.008e+05 	 7.224e+05
9.250 	 3.793e+05 	 6.760e+05
9.750 	 -2.887e+05 	 6.076e+05
10.250 	 1.011e+06 	 7.602e+05
10.750 	 1.108e+06 	 7.773e+05
11.250 	 1.512e+06 	 8.222e+05
11.750 	 8.632e+05 	 7.671e+05
12.250 	 1.730e+06 	 8.537e+05
12.750 	 1.243e+06 	 8.148e+05
13.250 	 9.125e+05 	 7.885e+05
13.750 	 1.341e+05 	 7.151e+05
14.250 	 1.324e+06 	 8.350e+05
14.750 	 -8.025e+05 	 6.176e+05
15.250 	 -1.112e+06 	 5.825e+05
15.750 	 -6.601e+05 	 6.412e+05
16.250 	 -1.260e+06 	 5.686e+05
16.750 	 2.604e+05 	 7.447e+05
17.250 	 4.273e+05 	 7.620e+05
17.750 	 -3.986e+03 	 7.180e+05
18.250 	 -7.314e+05 	 6.362e+05
18.750 	 1.114e+06 	 8.256e+05
19.250 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
