WRF ANALYSIS
Date & time = ,2023-10-06, 09:23
Display format=,3
Program version:,2021-05-25

Scan file = ,O109098_NDI_P2_WA1204_5h_s4_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425847-g017 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(35-63),-1.119,1.157,0.120,1.000
Back x0; x1; y0; y1 (cm) =,0,11,35,63,
C; e; Dmax; dDmax; Dscale =,14,15,18.00,1.00,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,1.16

Fit limits (MeV):,8.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.661,1.755,3.070e+07
Uncertainties
    Random:, 0.237,2.019,281.12%
    Systematic calib:, 0.056,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.165,2.017,7.79%
     DvE:, 0.159,0.088,281.00%
     Dmax:, 0.045,0.000,1.79%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.034,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.250 	 0.000e+00 	 0.000e+00
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 -4.338e+05 	 2.886e+06
5.250 	 4.229e+05 	 5.961e+05
5.750 	 -1.256e+05 	 3.372e+05
6.250 	 1.640e+05 	 4.656e+05
6.750 	 4.543e+05 	 5.656e+05
7.250 	 4.264e+05 	 5.672e+05
7.750 	 1.036e+06 	 7.255e+05
8.250 	 -2.653e+05 	 3.503e+05
8.750 	 1.300e+06 	 7.948e+05
9.250 	 2.229e+06 	 9.685e+05
9.750 	 9.286e+05 	 7.311e+05
10.250 	 3.768e+06 	 1.204e+06
10.750 	 3.424e+06 	 1.162e+06
11.250 	 4.991e+06 	 1.364e+06
11.750 	 6.557e+06 	 1.539e+06
12.250 	 4.940e+06 	 1.365e+06
12.750 	 6.189e+06 	 1.508e+06
13.250 	 4.253e+06 	 1.291e+06
13.750 	 8.368e+06 	 1.728e+06
14.250 	 5.159e+06 	 1.406e+06
14.750 	 4.179e+06 	 1.294e+06
15.250 	 2.563e+06 	 1.082e+06
15.750 	 1.902e+06 	 9.852e+05
16.250 	 9.229e+05 	 8.182e+05
16.750 	 -3.746e+05 	 5.165e+05
17.250 	 1.194e+06 	 8.814e+05
17.750 	 -1.033e+05 	 6.118e+05
18.250 	 1.917e+05 	 6.919e+05
18.750 	 1.684e+05 	 6.942e+05
19.250 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
