WRF ANALYSIS
Date & time = ,2023-10-06, 09:54
Display format=,3
Program version:,2021-05-25

Scan file = ,O109100_WRF_TIM6_WA1218_5h_s7_40x
Port & distance (cm) =,tim 6,10.5
WRF ID; Al blast(um) & cal=,13425927-g097 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-89),(34-63),-1.122,1.662,0.091,1.000
Back x0; x1; y0; y1 (cm) =,0,11,34,63,
C; e; Dmax; dDmax; Dscale =,18,15,17.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.600,0.300,6.63

Fit limits (MeV):,8.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 10.894,1.559,1.015e+08
Uncertainties
    Random:, 0.177,0.280,198.83%
    Systematic calib:, 0.063,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.131,0.280,17.58%
     DvE:, 0.110,0.012,198.05%
     Dmax:, 0.012,0.000,0.55%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.039,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 1.792e+06 	 2.636e+06
4.850 	 -8.280e+05 	 1.200e+06
4.950 	 7.406e+04 	 9.701e+05
5.050 	 1.987e+06 	 1.672e+06
5.150 	 -9.156e+05 	 9.705e+05
5.250 	 1.961e+06 	 1.673e+06
5.350 	 -9.419e+05 	 9.709e+05
5.450 	 8.109e+03 	 9.712e+05
5.550 	 9.582e+05 	 1.368e+06
5.650 	 -1.811e+04 	 9.716e+05
5.750 	 9.321e+05 	 1.368e+06
5.850 	 9.190e+05 	 1.368e+06
5.950 	 -1.020e+06 	 9.723e+05
6.050 	 8.931e+05 	 1.369e+06
6.150 	 8.803e+05 	 1.369e+06
6.250 	 1.831e+06 	 1.674e+06
6.350 	 -1.072e+06 	 9.732e+05
6.450 	 1.805e+06 	 1.674e+06
6.550 	 8.297e+05 	 1.370e+06
6.650 	 -1.461e+05 	 9.739e+05
6.750 	 8.046e+05 	 1.370e+06
6.850 	 2.718e+06 	 1.932e+06
6.950 	 -1.836e+05 	 9.747e+05
7.050 	 1.730e+06 	 1.675e+06
7.150 	 7.546e+05 	 1.371e+06
7.250 	 2.669e+06 	 1.932e+06
7.350 	 -2.334e+05 	 9.757e+05
7.450 	 7.174e+05 	 1.371e+06
7.550 	 2.631e+06 	 1.933e+06
7.650 	 1.656e+06 	 1.676e+06
7.750 	 3.570e+06 	 2.160e+06
7.850 	 1.631e+06 	 1.676e+06
7.950 	 3.545e+06 	 2.160e+06
8.050 	 2.570e+06 	 1.934e+06
8.150 	 1.595e+06 	 1.677e+06
8.250 	 1.582e+06 	 1.677e+06
8.350 	 8.313e+06 	 3.051e+06
8.450 	 3.485e+06 	 2.161e+06
8.550 	 1.599e+07 	 4.090e+06
8.650 	 1.213e+07 	 3.608e+06
8.750 	 1.212e+07 	 3.608e+06
8.850 	 1.692e+07 	 4.202e+06
8.950 	 2.269e+07 	 4.819e+06
9.050 	 2.268e+07 	 4.819e+06
9.150 	 1.977e+07 	 4.521e+06
9.250 	 2.747e+07 	 5.279e+06
9.350 	 4.768e+07 	 6.881e+06
9.450 	 3.611e+07 	 6.018e+06
9.550 	 5.055e+07 	 7.080e+06
9.650 	 4.283e+07 	 6.535e+06
9.750 	 2.741e+07 	 5.279e+06
9.850 	 2.066e+07 	 4.623e+06
9.950 	 2.353e+07 	 4.915e+06
10.050 	 2.545e+07 	 5.100e+06
10.150 	 1.580e+07 	 4.091e+06
10.250 	 1.965e+07 	 4.522e+06
10.350 	 1.867e+07 	 4.418e+06
10.450 	 2.155e+07 	 4.723e+06
10.550 	 2.154e+07 	 4.723e+06
10.650 	 1.382e+07 	 3.858e+06
10.750 	 1.766e+07 	 4.312e+06
10.850 	 9.944e+06 	 3.343e+06
10.950 	 1.475e+07 	 3.977e+06
11.050 	 7.995e+06 	 3.053e+06
11.150 	 1.665e+07 	 4.204e+06
11.250 	 6.046e+06 	 2.733e+06
11.350 	 9.887e+06 	 3.344e+06
11.450 	 1.565e+07 	 4.092e+06
11.550 	 9.864e+06 	 3.344e+06
11.650 	 1.852e+07 	 4.419e+06
11.750 	 2.140e+07 	 4.724e+06
11.850 	 1.754e+07 	 4.313e+06
11.950 	 1.271e+07 	 3.737e+06
12.050 	 1.270e+07 	 3.737e+06
12.150 	 1.461e+07 	 3.978e+06
12.250 	 1.653e+07 	 4.205e+06
12.350 	 1.074e+07 	 3.480e+06
12.450 	 1.265e+07 	 3.738e+06
12.550 	 1.553e+07 	 4.093e+06
12.650 	 1.552e+07 	 4.093e+06
12.750 	 1.454e+07 	 3.978e+06
12.850 	 1.164e+07 	 3.612e+06
12.950 	 9.706e+06 	 3.345e+06
13.050 	 1.451e+07 	 3.979e+06
13.150 	 1.354e+07 	 3.860e+06
13.250 	 2.027e+07 	 4.626e+06
13.350 	 1.159e+07 	 3.612e+06
13.450 	 1.350e+07 	 3.861e+06
13.550 	 8.677e+06 	 3.204e+06
13.650 	 3.850e+06 	 2.373e+06
13.750 	 6.728e+06 	 2.901e+06
13.850 	 6.717e+06 	 2.901e+06
13.950 	 6.706e+06 	 2.901e+06
14.050 	 4.769e+06 	 2.561e+06
14.150 	 4.758e+06 	 2.561e+06
14.250 	 4.747e+06 	 2.561e+06
14.350 	 8.833e+05 	 1.689e+06
14.450 	 2.799e+06 	 2.170e+06
14.550 	 2.788e+06 	 2.170e+06
14.650 	 8.506e+05 	 1.689e+06
14.750 	 3.729e+06 	 2.374e+06
14.850 	 3.718e+06 	 2.374e+06
14.950 	 1.781e+06 	 1.945e+06
15.050 	 2.733e+06 	 2.171e+06
15.150 	 -1.670e+05 	 1.389e+06
15.250 	 1.749e+06 	 1.946e+06
15.350 	 -1.886e+05 	 1.390e+06
15.450 	 2.690e+06 	 2.171e+06
15.550 	 3.642e+06 	 2.376e+06
15.650 	 1.705e+06 	 1.947e+06
15.750 	 3.621e+06 	 2.376e+06
15.850 	 -1.206e+06 	 1.004e+06
15.950 	 -2.531e+05 	 1.391e+06
16.050 	 -1.227e+06 	 1.004e+06
16.150 	 3.578e+06 	 2.377e+06
16.250 	 -2.850e+05 	 1.392e+06
16.350 	 -2.222e+06 	 1.006e+06
16.450 	 6.568e+05 	 1.693e+06
16.550 	 -3.170e+05 	 1.393e+06
16.650 	 -1.291e+06 	 1.007e+06
16.750 	 -3.382e+05 	 1.394e+06
16.850 	 -1.312e+06 	 1.008e+06
16.950 	 1.567e+06 	 1.949e+06
17.050 	 -3.700e+05 	 1.395e+06
17.150 	 -1.344e+06 	 1.009e+06
17.250 	 -3.911e+05 	 1.395e+06
17.350 	 2.488e+06 	 2.175e+06
17.450 	 -1.375e+06 	 1.010e+06
17.550 	 -2.349e+06 	 1.011e+06
17.650 	 -1.396e+06 	 1.011e+06
17.750 	 -2.370e+06 	 1.011e+06
17.850 	 -2.381e+06 	 1.012e+06
17.950 	 -1.428e+06 	 1.012e+06
18.050 	 -4.753e+05 	 1.398e+06
18.150 	 -1.449e+06 	 1.013e+06
18.250 	 -2.423e+06 	 1.013e+06
18.350 	 4.309e+06 	 2.568e+06
18.450 	 -5.171e+05 	 1.399e+06
18.550 	 -1.491e+06 	 1.015e+06
18.650 	 -5.380e+05 	 1.399e+06
18.750 	 1.378e+06 	 1.953e+06
18.850 	 4.257e+06 	 2.569e+06
18.950 	 -5.691e+05 	 1.400e+06
19.050 	 3.837e+05 	 1.700e+06
19.150 	 -5.899e+05 	 1.401e+06
19.250 	 -6.002e+05 	 1.401e+06
19.350 	 -1.574e+06 	 1.018e+06
19.450 	 0.000e+00 	 0.000e+00
