WRF ANALYSIS
Date & time = ,2023-10-06, 10:26
Display format=,3
Program version:,2021-05-25

Scan file = ,O109102_NDI_P2_WA1208_5h_s3_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g168 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(34-63),-1.122,1.148,0.091,1.000
Back x0; x1; y0; y1 (cm) =,0,11,34,63,
C; e; Dmax; dDmax; Dscale =,15,15,17.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.000,0.300,12.48

Fit limits (MeV):,8.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.071,1.607,2.580e+07
Uncertainties
    Random:, 0.500,3.046,124.07%
    Systematic calib:, 0.058,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.407,3.045,10.66%
     DvE:, 0.287,0.087,123.61%
     Dmax:, 0.012,0.000,0.50%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.036,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 -6.833e+05 	 2.666e+06
5.300 	 1.132e+06 	 1.702e+06
5.500 	 1.883e+06 	 1.644e+06
5.700 	 3.659e+05 	 8.387e+05
5.900 	 -4.190e+05 	 6.220e+05
6.100 	 -4.099e+05 	 4.716e+05
6.300 	 4.410e+04 	 4.720e+05
6.500 	 3.417e+04 	 4.723e+05
6.700 	 4.884e+05 	 6.625e+05
6.900 	 1.440e+04 	 4.731e+05
7.100 	 -4.596e+05 	 4.735e+05
7.300 	 4.589e+05 	 6.633e+05
7.500 	 4.491e+05 	 6.636e+05
7.700 	 4.394e+05 	 6.639e+05
7.900 	 8.939e+05 	 8.103e+05
8.100 	 -4.405e+04 	 4.756e+05
8.300 	 -5.364e+04 	 4.760e+05
8.500 	 8.651e+05 	 8.110e+05
8.700 	 8.556e+05 	 8.113e+05
8.900 	 3.820e+05 	 6.658e+05
9.100 	 2.693e+06 	 1.233e+06
9.300 	 3.148e+06 	 1.318e+06
9.500 	 1.746e+06 	 1.044e+06
9.700 	 2.665e+06 	 1.234e+06
9.900 	 3.120e+06 	 1.318e+06
10.100 	 3.111e+06 	 1.318e+06
10.300 	 4.494e+06 	 1.544e+06
10.500 	 3.557e+06 	 1.398e+06
10.700 	 7.725e+06 	 1.973e+06
10.900 	 3.074e+06 	 1.319e+06
11.100 	 3.994e+06 	 1.474e+06
11.300 	 7.233e+06 	 1.918e+06
11.500 	 4.904e+06 	 1.613e+06
11.700 	 5.823e+06 	 1.742e+06
11.900 	 1.637e+06 	 1.047e+06
12.100 	 4.877e+06 	 1.614e+06
12.300 	 4.868e+06 	 1.614e+06
12.500 	 5.787e+06 	 1.743e+06
12.700 	 4.850e+06 	 1.614e+06
12.900 	 5.770e+06 	 1.743e+06
13.100 	 6.689e+06 	 1.863e+06
13.300 	 4.360e+06 	 1.547e+06
13.500 	 5.279e+06 	 1.680e+06
13.700 	 3.878e+06 	 1.476e+06
13.900 	 4.798e+06 	 1.615e+06
14.100 	 3.397e+06 	 1.401e+06
14.300 	 3.388e+06 	 1.402e+06
14.500 	 3.380e+06 	 1.402e+06
14.700 	 5.862e+05 	 8.205e+05
14.900 	 2.898e+06 	 1.323e+06
15.100 	 1.033e+06 	 9.433e+05
15.300 	 5.605e+05 	 8.216e+05
15.500 	 5.520e+05 	 8.220e+05
15.700 	 1.008e+06 	 9.443e+05
15.900 	 9.992e+05 	 9.446e+05
16.100 	 -8.657e+05 	 4.966e+05
16.300 	 5.183e+05 	 8.234e+05
16.500 	 -4.184e+05 	 4.978e+05
16.700 	 -8.908e+05 	 4.985e+05
16.900 	 -4.351e+05 	 4.991e+05
17.100 	 2.069e+04 	 6.820e+05
17.300 	 -9.159e+05 	 5.004e+05
17.500 	 4.047e+03 	 6.829e+05
17.700 	 -4.684e+05 	 5.016e+05
17.900 	 -9.408e+05 	 5.023e+05
18.100 	 9.074e+05 	 9.482e+05
18.300 	 4.351e+05 	 8.273e+05
18.500 	 -5.014e+05 	 5.042e+05
18.700 	 -5.096e+05 	 5.049e+05
18.900 	 -5.178e+05 	 5.055e+05
19.100 	 1.602e+05 	 7.552e+05
19.300 	 2.977e+05 	 1.085e+06
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
