WRF ANALYSIS
Date & time = ,2023-10-06, 10:31
Display format=,3
Program version:,2021-05-25

Scan file = ,O109102_WRF_TIM6_WA12520_5h_s8_40x
Port & distance (cm) =,tim 6,10.5
WRF ID; Al blast(um) & cal=,g157 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(34-63),-1.122,1.148,0.091,1.000
Back x0; x1; y0; y1 (cm) =,0,11,34,63,
Back x0; x1; y0; y1 (cm) =,64,77,34,63,
C; e; Dmax; dDmax; Dscale =,16,15,17.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.257,0.061,3.83

Fit limits (MeV):,8.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.794,1.278,5.341e+07
Uncertainties
    Random:, 0.086,0.721,25.42%
    Systematic calib:, 0.055,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.050,0.721,3.39%
     DvE:, 0.058,0.010,25.19%
     Dmax:, 0.011,0.000,0.45%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.034,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 -5.851e+05 	 9.015e+06
4.975 	 -6.291e+05 	 3.867e+06
5.025 	 -5.539e+05 	 2.190e+06
5.075 	 -5.577e+05 	 2.191e+06
5.125 	 -4.565e+05 	 1.393e+06
5.175 	 9.314e+05 	 1.393e+06
5.225 	 9.282e+05 	 1.393e+06
5.275 	 -4.347e+05 	 9.478e+05
5.325 	 -4.377e+05 	 9.479e+05
5.375 	 -4.408e+05 	 9.479e+05
5.425 	 -4.230e+05 	 6.761e+05
5.475 	 2.485e+05 	 6.761e+05
5.525 	 -4.287e+05 	 6.761e+05
5.575 	 9.172e+05 	 9.550e+05
5.625 	 3.456e+04 	 4.991e+05
5.675 	 -4.657e+05 	 4.991e+05
5.725 	 2.840e+04 	 4.991e+05
5.775 	 5.225e+05 	 7.045e+05
5.825 	 1.873e+05 	 5.233e+05
5.875 	 -1.853e+05 	 3.712e+05
5.925 	 1.801e+05 	 5.234e+05
5.975 	 -1.924e+05 	 3.713e+05
6.025 	 -1.961e+05 	 3.713e+05
6.075 	 -1.997e+05 	 3.714e+05
6.125 	 -5.722e+05 	 3.714e+05
6.175 	 -5.757e+05 	 3.714e+05
6.225 	 -2.104e+05 	 3.714e+05
6.275 	 -5.829e+05 	 3.715e+05
6.325 	 -5.864e+05 	 3.715e+05
6.375 	 -2.211e+05 	 3.715e+05
6.425 	 -2.246e+05 	 3.716e+05
6.475 	 5.097e+05 	 6.405e+05
6.525 	 -2.316e+05 	 3.716e+05
6.575 	 -6.039e+05 	 3.717e+05
6.625 	 -2.387e+05 	 3.717e+05
6.675 	 -2.421e+05 	 3.717e+05
6.725 	 1.233e+05 	 5.237e+05
6.775 	 -6.181e+05 	 3.718e+05
6.825 	 8.540e+05 	 7.393e+05
6.875 	 1.127e+05 	 5.238e+05
6.925 	 1.093e+05 	 5.238e+05
6.975 	 1.057e+05 	 5.238e+05
7.025 	 -2.667e+05 	 3.719e+05
7.075 	 -6.390e+05 	 3.720e+05
7.125 	 9.516e+04 	 5.239e+05
7.175 	 -2.772e+05 	 3.720e+05
7.225 	 8.821e+04 	 5.239e+05
7.275 	 -2.841e+05 	 3.721e+05
7.325 	 8.118e+04 	 5.240e+05
7.375 	 -2.911e+05 	 3.722e+05
7.425 	 4.431e+05 	 6.409e+05
7.475 	 -6.670e+05 	 3.722e+05
7.525 	 -3.017e+05 	 3.723e+05
7.575 	 -6.739e+05 	 3.723e+05
7.625 	 6.035e+04 	 5.241e+05
7.675 	 5.683e+04 	 5.242e+05
7.725 	 -6.843e+05 	 3.724e+05
7.775 	 -3.190e+05 	 3.724e+05
7.825 	 4.647e+04 	 5.242e+05
7.875 	 -6.948e+05 	 3.725e+05
7.925 	 -3.293e+05 	 3.725e+05
7.975 	 -3.328e+05 	 3.726e+05
8.025 	 4.015e+05 	 6.411e+05
8.075 	 7.670e+05 	 7.397e+05
8.125 	 -3.433e+05 	 3.727e+05
8.175 	 -7.155e+05 	 3.727e+05
8.225 	 1.879e+04 	 5.244e+05
8.275 	 3.842e+05 	 6.412e+05
8.325 	 1.193e+04 	 5.245e+05
8.375 	 -3.604e+05 	 3.728e+05
8.425 	 -3.638e+05 	 3.729e+05
8.475 	 1.592e+03 	 5.245e+05
8.525 	 -1.806e+03 	 5.246e+05
8.575 	 -3.742e+05 	 3.730e+05
8.625 	 3.602e+05 	 6.413e+05
8.675 	 -3.810e+05 	 3.731e+05
8.725 	 -3.844e+05 	 3.731e+05
8.775 	 1.088e+06 	 8.268e+05
8.825 	 -7.602e+05 	 3.732e+05
8.875 	 -3.946e+05 	 3.732e+05
8.925 	 7.086e+05 	 7.400e+05
8.975 	 3.364e+05 	 6.415e+05
9.025 	 7.019e+05 	 7.400e+05
9.075 	 6.986e+05 	 7.400e+05
9.125 	 3.263e+05 	 6.415e+05
9.175 	 -4.603e+04 	 5.249e+05
9.225 	 -4.183e+05 	 3.735e+05
9.275 	 -5.286e+04 	 5.250e+05
9.325 	 6.816e+05 	 7.401e+05
9.375 	 -5.955e+04 	 5.250e+05
9.425 	 -6.305e+04 	 5.250e+05
9.475 	 -6.632e+04 	 5.251e+05
9.525 	 -4.386e+05 	 3.737e+05
9.575 	 6.646e+05 	 7.402e+05
9.625 	 -4.454e+05 	 3.738e+05
9.675 	 1.396e+06 	 9.056e+05
9.725 	 -8.332e+04 	 5.252e+05
9.775 	 1.758e+06 	 9.779e+05
9.825 	 1.754e+06 	 9.779e+05
9.875 	 1.013e+06 	 8.271e+05
9.925 	 1.748e+06 	 9.779e+05
9.975 	 1.375e+06 	 9.057e+05
10.025 	 6.342e+05 	 7.404e+05
10.075 	 2.844e+06 	 1.168e+06
10.125 	 2.103e+06 	 1.045e+06
10.175 	 2.100e+06 	 1.045e+06
10.225 	 2.465e+06 	 1.108e+06
10.275 	 3.200e+06 	 1.225e+06
10.325 	 2.459e+06 	 1.109e+06
10.375 	 5.406e+06 	 1.522e+06
10.425 	 4.665e+06 	 1.430e+06
10.475 	 3.555e+06 	 1.280e+06
10.525 	 3.183e+06 	 1.225e+06
10.575 	 3.180e+06 	 1.225e+06
10.625 	 4.652e+06 	 1.430e+06
10.675 	 7.600e+06 	 1.770e+06
10.725 	 4.276e+06 	 1.382e+06
10.775 	 4.273e+06 	 1.382e+06
10.825 	 6.483e+06 	 1.651e+06
10.875 	 8.693e+06 	 1.882e+06
10.925 	 1.090e+07 	 2.088e+06
10.975 	 1.016e+07 	 2.022e+06
11.025 	 1.127e+07 	 2.120e+06
11.075 	 7.204e+06 	 1.732e+06
11.125 	 1.163e+07 	 2.152e+06
11.175 	 9.780e+06 	 1.988e+06
11.225 	 9.039e+06 	 1.918e+06
11.275 	 7.191e+06 	 1.732e+06
11.325 	 6.818e+06 	 1.692e+06
11.375 	 9.029e+06 	 1.918e+06
11.425 	 9.394e+06 	 1.953e+06
11.475 	 7.546e+06 	 1.771e+06
11.525 	 7.543e+06 	 1.771e+06
11.575 	 1.381e+07 	 2.334e+06
11.625 	 1.381e+07 	 2.334e+06
11.675 	 9.009e+06 	 1.918e+06
11.725 	 1.011e+07 	 2.022e+06
11.775 	 9.371e+06 	 1.953e+06
11.825 	 1.232e+07 	 2.215e+06
11.875 	 1.121e+07 	 2.120e+06
11.925 	 1.600e+07 	 2.503e+06
11.975 	 1.342e+07 	 2.305e+06
12.025 	 1.046e+07 	 2.055e+06
12.075 	 1.193e+07 	 2.184e+06
12.125 	 1.488e+07 	 2.420e+06
