WRF ANALYSIS
Date & time = ,2023-10-06, 10:35
Display format=,3
Program version:,2021-05-25

Scan file = ,O109103_WRF_TIM6_WA1238_5h_s3_40x
Port & distance (cm) =,tim 6,10.5
WRF ID; Al blast(um) & cal=,13425848-g018 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(34-63),-1.122,1.148,0.091,1.000
Back x0; x1; y0; y1 (cm) =,0,11,34,63,
Back x0; x1; y0; y1 (cm) =,62,77,34,63,
C; e; Dmax; dDmax; Dscale =,14,15,17.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.050,0.150,9.14

Fit limits (MeV):,8.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.714,1.503,2.359e+07
Uncertainties
    Random:, 0.176,6.671,44.56%
    Systematic calib:, 0.059,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.129,6.671,4.39%
     DvE:, 0.112,0.058,44.34%
     Dmax:, 0.012,0.000,0.51%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.037,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 -1.925e+05 	 3.971e+06
4.750 	 -2.043e+05 	 1.704e+06
4.850 	 -2.306e+05 	 9.708e+05
4.950 	 4.291e+05 	 6.227e+05
5.050 	 -1.593e+05 	 4.281e+05
5.150 	 -1.615e+05 	 4.281e+05
5.250 	 1.732e+05 	 3.083e+05
5.350 	 1.713e+05 	 3.084e+05
5.450 	 3.249e+05 	 3.239e+05
5.550 	 -1.339e+05 	 2.296e+05
5.650 	 9.302e+04 	 2.296e+05
5.750 	 3.169e+04 	 1.736e+05
5.850 	 -1.425e+05 	 1.736e+05
5.950 	 3.734e+05 	 2.994e+05
6.050 	 2.675e+04 	 1.737e+05
6.150 	 2.514e+04 	 1.737e+05
6.250 	 3.685e+05 	 2.995e+05
6.350 	 1.945e+05 	 2.448e+05
6.450 	 2.041e+04 	 1.738e+05
6.550 	 -1.536e+05 	 1.738e+05
6.650 	 1.735e+04 	 1.738e+05
6.750 	 1.883e+05 	 2.449e+05
6.850 	 1.431e+04 	 1.739e+05
6.950 	 1.853e+05 	 2.450e+05
7.050 	 1.838e+05 	 2.450e+05
7.150 	 3.548e+05 	 2.996e+05
7.250 	 -1.641e+05 	 1.740e+05
7.350 	 6.931e+03 	 1.740e+05
7.450 	 1.780e+05 	 2.451e+05
7.550 	 1.766e+05 	 2.451e+05
7.650 	 2.634e+03 	 1.741e+05
7.750 	 3.462e+05 	 2.997e+05
