Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.950000000000000178e+00,7.022000000000000000e+04,4.868000000000000000e+05
5.049999999999999822e+00,6.001000000000000000e+04,4.869000000000000000e+05
5.150000000000000355e+00,4.966000000000000000e+04,4.870000000000000000e+05
5.250000000000000000e+00,3.936000000000000000e+04,4.871000000000000000e+05
5.349999999999999645e+00,3.712000000000000000e+05,5.954000000000000000e+05
5.450000000000000178e+00,1.864000000000000000e+04,4.873000000000000000e+05
5.549999999999999822e+00,-6.762000000000000000e+05,3.470000000000000000e+05
5.650000000000000355e+00,-2.231000000000000000e+03,4.875000000000000000e+05
5.750000000000000000e+00,-3.549000000000000000e+05,3.473000000000000000e+05
5.849999999999999645e+00,-7.076000000000000000e+05,3.474000000000000000e+05
5.950000000000000178e+00,1.335000000000000000e+06,8.405000000000000000e+05
6.049999999999999822e+00,-3.865000000000000000e+05,3.477000000000000000e+05
6.150000000000000355e+00,-5.482000000000000000e+04,4.880000000000000000e+05
6.250000000000000000e+00,-4.076000000000000000e+05,3.480000000000000000e+05
6.349999999999999645e+00,6.085000000000000000e+05,6.874000000000000000e+05
6.450000000000000178e+00,1.282000000000000000e+06,8.407000000000000000e+05
6.549999999999999822e+00,-7.814000000000000000e+05,3.484000000000000000e+05
6.650000000000000355e+00,-4.498000000000000000e+05,3.486000000000000000e+05
6.750000000000000000e+00,5.662000000000000000e+05,6.877000000000000000e+05
6.849999999999999645e+00,5.554000000000000000e+05,6.878000000000000000e+05
6.950000000000000178e+00,2.025000000000000000e+05,5.967000000000000000e+05
7.049999999999999822e+00,-8.349000000000000000e+05,3.492000000000000000e+05
7.150000000000000355e+00,-1.614000000000000000e+05,4.890000000000000000e+05
7.250000000000000000e+00,1.700000000000000000e+05,5.970000000000000000e+05
7.349999999999999645e+00,-1.831000000000000000e+05,4.892000000000000000e+05
7.450000000000000178e+00,1.481000000000000000e+05,5.971000000000000000e+05
7.549999999999999822e+00,4.793000000000000000e+05,6.883000000000000000e+05
7.650000000000000355e+00,8.105000000000000000e+05,7.688000000000000000e+05
7.750000000000000000e+00,4.572000000000000000e+05,6.885000000000000000e+05
7.849999999999999645e+00,1.039000000000000000e+05,5.975000000000000000e+05
