Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
6.250000000000000000e+00,-2.209000000000000000e+05,1.924000000000000000e+05
6.750000000000000000e+00,2.229000000000000000e+05,2.440000000000000000e+05
7.250000000000000000e+00,2.123000000000000000e+05,2.446000000000000000e+05
7.750000000000000000e+00,-2.115000000000000000e+05,1.489000000000000000e+05
8.250000000000000000e+00,-8.408000000000000000e+04,1.500000000000000000e+05
8.750000000000000000e+00,3.190000000000000000e+05,2.825000000000000000e+05
9.250000000000000000e+00,7.223000000000000000e+05,3.702000000000000000e+05
9.750000000000000000e+00,2.989000000000000000e+05,2.837000000000000000e+05
1.025000000000000000e+01,3.182000000000000000e+06,6.924000000000000000e+05
1.075000000000000000e+01,1.244000000000000000e+06,4.627000000000000000e+05
1.125000000000000000e+01,1.234000000000000000e+06,4.631000000000000000e+05
1.175000000000000000e+01,1.362000000000000000e+06,4.836000000000000000e+05
1.225000000000000000e+01,1.077000000000000000e+06,4.431000000000000000e+05
1.275000000000000000e+01,1.618000000000000000e+06,5.222000000000000000e+05
1.325000000000000000e+01,2.849000000000000000e+06,6.663000000000000000e+05
1.375000000000000000e+01,1.600000000000000000e+06,5.230000000000000000e+05
1.425000000000000000e+01,1.315000000000000000e+06,4.858000000000000000e+05
1.475000000000000000e+01,8.920000000000000000e+05,4.237000000000000000e+05
1.525000000000000000e+01,-8.163000000000000000e+04,2.170000000000000000e+05
1.575000000000000000e+01,-2.285000000000000000e+05,1.690000000000000000e+05
1.625000000000000000e+01,-9.983000000000000000e+04,2.192000000000000000e+05
1.675000000000000000e+01,-1.089000000000000000e+05,2.203000000000000000e+05
1.725000000000000000e+01,-3.934000000000000000e+05,1.733000000000000000e+05
1.775000000000000000e+01,-1.268000000000000000e+05,2.225000000000000000e+05
1.825000000000000000e+01,-2.735000000000000000e+05,1.762000000000000000e+05
1.875000000000000000e+01,-6.751000000000000000e+03,2.637000000000000000e+05
1.925000000000000000e+01,-2.786000000000000000e+05,3.428000000000000000e+05
