Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
6.250000000000000000e+00,-1.942000000000000000e+05,5.270000000000000000e+05
6.750000000000000000e+00,-1.350000000000000000e+05,5.510000000000000000e+05
7.250000000000000000e+00,3.814000000000000000e+05,6.308000000000000000e+05
7.750000000000000000e+00,-1.212000000000000000e+06,4.162000000000000000e+05
8.250000000000000000e+00,6.725000000000000000e+05,6.877000000000000000e+05
8.750000000000000000e+00,9.008000000000000000e+05,7.224000000000000000e+05
9.250000000000000000e+00,3.793000000000000000e+05,6.760000000000000000e+05
9.750000000000000000e+00,-2.887000000000000000e+05,6.076000000000000000e+05
1.025000000000000000e+01,1.011000000000000000e+06,7.602000000000000000e+05
1.075000000000000000e+01,1.108000000000000000e+06,7.773000000000000000e+05
1.125000000000000000e+01,1.512000000000000000e+06,8.222000000000000000e+05
1.175000000000000000e+01,8.632000000000000000e+05,7.671000000000000000e+05
1.225000000000000000e+01,1.730000000000000000e+06,8.537000000000000000e+05
1.275000000000000000e+01,1.243000000000000000e+06,8.148000000000000000e+05
1.325000000000000000e+01,9.125000000000000000e+05,7.885000000000000000e+05
1.375000000000000000e+01,1.341000000000000000e+05,7.151000000000000000e+05
1.425000000000000000e+01,1.324000000000000000e+06,8.350000000000000000e+05
1.475000000000000000e+01,-8.025000000000000000e+05,6.176000000000000000e+05
1.525000000000000000e+01,-1.112000000000000000e+06,5.825000000000000000e+05
1.575000000000000000e+01,-6.601000000000000000e+05,6.412000000000000000e+05
1.625000000000000000e+01,-1.260000000000000000e+06,5.686000000000000000e+05
1.675000000000000000e+01,2.604000000000000000e+05,7.447000000000000000e+05
1.725000000000000000e+01,4.273000000000000000e+05,7.620000000000000000e+05
1.775000000000000000e+01,-3.986000000000000000e+03,7.180000000000000000e+05
1.825000000000000000e+01,-7.314000000000000000e+05,6.362000000000000000e+05
1.875000000000000000e+01,1.114000000000000000e+06,8.256000000000000000e+05
