WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Temperature (keV), Temperature unc. (keV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
109090 TIM6,40730000.0,42583215.0,12.348,0.23016950275829334,380.9088435446003,220.12034979040595,3544.2749999999996,1012.65,84.7206961434667,13.932699675202073,nan,inf,nan,inf,nan,nan
109092 NDI,36520000.0,102953532.0,11.821,0.3786251444370804,468.86785715170174,1155.118615510071,3928.14,4794.78,102.09887718084899,19.78105572847454,nan,inf,nan,inf,nan,nan
109092 TIM6,50030000.0,21477879.0,12.166,0.09560334722173697,443.1297619131211,134.61709524985292,3819.8100000000004,574.62,90.79010459149234,9.840790571496399,nan,inf,nan,inf,nan,nan
109093 NDI,8609000.0,4901103.7,11.996,0.43884963256222514,427.2734693958151,354.3620333669385,3751.515,1540.17,96.39272809694836,21.4648363381299,nan,inf,nan,inf,nan,nan
109093 TIM6,154000000.0,326125800.0,11.379,0.24956962956257317,421.87210885149557,702.120136143279,3727.9649999999997,3070.92,116.21001626598394,16.436685683105907,nan,inf,nan,inf,nan,nan
109094 NDI,5080000.0,14098016.0,11.855,1.2315116727014812,338.1428571492358,1740.4471034974413,3341.745,8492.13,100.99434990742319,47.32837610070115,nan,inf,nan,inf,nan,nan
109094 TIM6,9536000.0,7315065.599999999,12.343,0.23889956048515454,457.5889455868631,447.3149265080886,3881.04,1879.2900000000002,84.88811886142517,14.234509301926686,nan,inf,nan,inf,nan,nan
109098 NDI,30700000.0,86303840.0,12.661,0.2435261792908516,519.5142857240858,1205.2196256039354,4133.025,4754.745,74.12051555100815,13.751167858843079,nan,inf,nan,inf,nan,nan
109098 TIM6,50390000.0,58054319.0,12.723,0.09929753269845128,249.24489796388548,106.32106329909996,2875.4550000000004,602.88,71.9969559394859,8.677575376771603,nan,inf,nan,inf,nan,nan
109099 TIM6,14850000.0,2756160.0,11.89,0.12131364309095659,464.9047619135318,58.196422070633915,3911.655,242.565,99.85539237429933,11.302325417805982,nan,inf,nan,inf,nan,nan
109100 TIM6,101500000.0,201812450.0,10.894,0.1878776197422141,409.0476190553353,148.47812096218033,3671.4449999999997,659.4000000000001,131.21147539274708,15.447719863607574,nan,inf,nan,inf,nan,nan
109101 NDI,43320000.0,80830788.0,11.448,0.27756260555053164,421.33384354536287,196.40622130072074,3725.61,859.5749999999999,114.03526202314325,17.19197634434923,nan,inf,nan,inf,nan,nan
109101 TIM6,88530000.0,95506164.0,11.933,0.15338839591051207,367.7142857212222,912.0503142901107,3483.045,4269.615,98.4533095148857,12.253658873693588,nan,inf,nan,inf,nan,nan
109102 NDI,25800000.0,32010060.0,12.071,0.5033527590070407,434.89251701500655,1664.9396279717148,3784.485,7173.33,93.92990858967495,23.469828656108838,nan,inf,nan,inf,nan,nan
109102 TIM6,53410000.0,13576822.0,12.794,0.10208329931972222,273.4698979643424,313.41520026764493,3009.69,1697.955,69.55190615765329,8.606787898739896,nan,inf,nan,inf,nan,nan
109103 TIM6,23590000.0,10511704.0,11.714,0.18562596801094397,379.88571429288027,3410.3786555400684,3539.5649999999996,15710.205,105.55348992972539,13.753135787973072,nan,inf,nan,inf,nan,nan
