WRF ANALYSIS
Date & time = ,2025-02-03, 10:00
Display format=,3
Program version:,2021-05-25

Scan file = ,O93303_TIM3_WRF-G152_ma8806_5h_s5
Port & distance (cm) =,tim3,10.5
WRF ID; Al blast(um) & cal=,g152 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,64,73,0,63,
C; e; Dmax; dDmax; Dscale =,14,15,19.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.150,0.100,2.69

Fit limits (MeV):,7.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.043,1.808,3.490e+07
Uncertainties
    Random:, 0.093,2.800,30.11%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.055,2.798,6.79%
     DvE:, 0.061,0.112,29.33%
     Dmax:, 0.011,0.000,0.49%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.039,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 -2.573e+05 	 4.449e+06
5.025 	 -1.940e+05 	 1.939e+06
5.075 	 -1.788e+05 	 1.119e+06
5.125 	 9.384e+05 	 1.119e+06
5.175 	 5.493e+05 	 7.258e+05
5.225 	 -1.770e+05 	 7.258e+05
5.275 	 3.569e+05 	 5.030e+05
5.325 	 8.582e+05 	 7.109e+05
5.375 	 2.201e+05 	 3.648e+05
5.425 	 2.191e+05 	 3.648e+05
5.475 	 -1.461e+05 	 3.649e+05
5.525 	 3.982e+05 	 3.864e+05
5.575 	 3.972e+05 	 3.864e+05
5.625 	 1.233e+05 	 2.736e+05
5.675 	 -1.506e+05 	 2.736e+05
5.725 	 2.021e+01 	 2.104e+05
5.775 	 2.082e+05 	 2.969e+05
5.825 	 -2.590e+03 	 2.104e+05
5.875 	 -2.134e+05 	 2.105e+05
5.925 	 -2.146e+05 	 2.105e+05
5.975 	 4.125e+05 	 3.634e+05
6.025 	 4.112e+05 	 3.634e+05
6.075 	 2.004e+05 	 2.970e+05
6.125 	 -2.198e+05 	 2.105e+05
6.175 	 1.979e+05 	 2.970e+05
6.225 	 1.966e+05 	 2.970e+05
6.275 	 4.048e+05 	 3.635e+05
6.325 	 -1.536e+04 	 2.106e+05
6.375 	 -1.664e+04 	 2.106e+05
6.425 	 -1.787e+04 	 2.106e+05
6.475 	 -1.910e+04 	 2.106e+05
6.525 	 3.986e+05 	 3.635e+05
6.575 	 8.164e+05 	 4.689e+05
6.625 	 6.056e+05 	 4.195e+05
6.675 	 1.855e+05 	 2.971e+05
6.725 	 1.843e+05 	 2.971e+05
6.775 	 1.830e+05 	 2.971e+05
6.825 	 1.818e+05 	 2.971e+05
6.875 	 1.228e+06 	 5.547e+05
6.925 	 5.983e+05 	 4.196e+05
6.975 	 3.876e+05 	 3.636e+05
7.025 	 8.054e+05 	 4.690e+05
7.075 	 3.852e+05 	 3.636e+05
7.125 	 8.029e+05 	 4.690e+05
7.175 	 8.018e+05 	 4.690e+05
7.225 	 5.911e+05 	 4.196e+05
7.275 	 1.637e+06 	 6.289e+05
7.325 	 7.982e+05 	 4.690e+05
7.375 	 1.006e+06 	 5.137e+05
7.425 	 1.843e+06 	 6.629e+05
7.475 	 1.842e+06 	 6.629e+05
7.525 	 1.631e+06 	 6.289e+05
7.575 	 7.923e+05 	 4.690e+05
7.625 	 2.048e+06 	 6.952e+05
7.675 	 7.899e+05 	 4.691e+05
7.725 	 1.208e+06 	 5.548e+05
7.775 	 9.971e+05 	 5.137e+05
7.825 	 1.834e+06 	 6.629e+05
7.875 	 2.461e+06 	 7.557e+05
7.925 	 1.622e+06 	 6.289e+05
7.975 	 1.621e+06 	 6.290e+05
8.025 	 2.458e+06 	 7.557e+05
8.075 	 2.038e+06 	 6.952e+05
8.125 	 2.246e+06 	 7.261e+05
8.175 	 2.035e+06 	 6.952e+05
8.225 	 1.615e+06 	 6.290e+05
8.275 	 2.242e+06 	 7.261e+05
8.325 	 3.079e+06 	 8.383e+05
8.375 	 2.869e+06 	 8.117e+05
8.425 	 1.820e+06 	 6.630e+05
8.475 	 2.028e+06 	 6.953e+05
8.525 	 4.122e+06 	 9.603e+05
8.575 	 3.912e+06 	 9.372e+05
8.625 	 4.539e+06 	 1.005e+06
