Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.075000000000000178e+00,-1.930000000000000000e+05,1.297000000000000000e+06
5.125000000000000000e+00,-1.902000000000000000e+05,8.516000000000000000e+05
5.174999999999999822e+00,-1.916000000000000000e+05,8.516000000000000000e+05
5.224999999999999645e+00,-1.795000000000000000e+05,5.966000000000000000e+05
5.275000000000000355e+00,1.011000000000000000e+06,8.432000000000000000e+05
5.325000000000000178e+00,-1.763000000000000000e+05,4.368000000000000000e+05
5.375000000000000000e+00,-1.775000000000000000e+05,4.368000000000000000e+05
5.424999999999999822e+00,-1.787000000000000000e+05,4.368000000000000000e+05
5.474999999999999645e+00,1.555000000000000000e+05,3.303000000000000000e+05
5.525000000000000355e+00,-1.752000000000000000e+05,3.303000000000000000e+05
5.575000000000000178e+00,-1.841000000000000000e+05,2.560000000000000000e+05
5.625000000000000000e+00,-1.853000000000000000e+05,2.560000000000000000e+05
5.674999999999999822e+00,-1.864000000000000000e+05,2.560000000000000000e+05
5.724999999999999645e+00,-1.876000000000000000e+05,2.560000000000000000e+05
5.775000000000000355e+00,-1.888000000000000000e+05,2.560000000000000000e+05
5.825000000000000178e+00,3.204000000000000000e+05,3.615000000000000000e+05
5.875000000000000000e+00,-1.911000000000000000e+05,2.560000000000000000e+05
5.924999999999999822e+00,6.293000000000000000e+04,2.561000000000000000e+05
5.974999999999999645e+00,3.169000000000000000e+05,3.615000000000000000e+05
6.025000000000000355e+00,8.260000000000000000e+05,5.108000000000000000e+05
6.075000000000000178e+00,5.945000000000000000e+04,2.561000000000000000e+05
6.125000000000000000e+00,5.831000000000000000e+04,2.561000000000000000e+05
6.174999999999999822e+00,-1.980000000000000000e+05,2.561000000000000000e+05
6.224999999999999645e+00,-1.991000000000000000e+05,2.561000000000000000e+05
6.275000000000000355e+00,3.101000000000000000e+05,3.615000000000000000e+05
6.325000000000000178e+00,-2.013000000000000000e+05,2.561000000000000000e+05
6.375000000000000000e+00,-2.025000000000000000e+05,2.562000000000000000e+05
6.424999999999999822e+00,5.157000000000000000e+04,2.562000000000000000e+05
6.474999999999999645e+00,-2.047000000000000000e+05,2.562000000000000000e+05
6.525000000000000355e+00,-2.058000000000000000e+05,2.562000000000000000e+05
6.575000000000000178e+00,3.035000000000000000e+05,3.616000000000000000e+05
6.625000000000000000e+00,4.717000000000000000e+04,2.562000000000000000e+05
6.674999999999999822e+00,-2.090000000000000000e+05,2.562000000000000000e+05
6.724999999999999645e+00,3.002000000000000000e+05,3.616000000000000000e+05
6.775000000000000355e+00,-2.112000000000000000e+05,2.563000000000000000e+05
6.825000000000000178e+00,2.980000000000000000e+05,3.616000000000000000e+05
6.875000000000000000e+00,4.173000000000000000e+04,2.563000000000000000e+05
6.924999999999999822e+00,1.061000000000000000e+06,5.710000000000000000e+05
6.974999999999999645e+00,3.956000000000000000e+04,2.563000000000000000e+05
7.025000000000000355e+00,3.848000000000000000e+04,2.563000000000000000e+05
7.075000000000000178e+00,3.742000000000000000e+04,2.563000000000000000e+05
7.125000000000000000e+00,2.915000000000000000e+05,3.617000000000000000e+05
7.174999999999999822e+00,3.527000000000000000e+04,2.563000000000000000e+05
7.224999999999999645e+00,7.996000000000000000e+05,5.109000000000000000e+05
7.275000000000000355e+00,7.986000000000000000e+05,5.109000000000000000e+05
7.325000000000000178e+00,7.975000000000000000e+05,5.109000000000000000e+05
7.375000000000000000e+00,1.307000000000000000e+06,6.255000000000000000e+05
7.424999999999999822e+00,5.402000000000000000e+05,4.427000000000000000e+05
7.474999999999999645e+00,2.841000000000000000e+05,3.617000000000000000e+05
7.525000000000000355e+00,7.933000000000000000e+05,5.109000000000000000e+05
7.575000000000000178e+00,2.681000000000000000e+04,2.565000000000000000e+05
7.625000000000000000e+00,7.912000000000000000e+05,5.110000000000000000e+05
7.674999999999999822e+00,2.468000000000000000e+04,2.565000000000000000e+05
7.724999999999999645e+00,2.788000000000000000e+05,3.618000000000000000e+05
7.775000000000000355e+00,7.881000000000000000e+05,5.110000000000000000e+05
7.825000000000000178e+00,1.808000000000000000e+06,7.222000000000000000e+05
7.875000000000000000e+00,-2.346000000000000000e+05,2.565000000000000000e+05
7.924999999999999822e+00,2.747000000000000000e+05,3.618000000000000000e+05
7.974999999999999645e+00,1.039000000000000000e+06,5.712000000000000000e+05
8.025000000000000355e+00,2.726000000000000000e+05,3.618000000000000000e+05
8.074999999999999289e+00,2.716000000000000000e+05,3.619000000000000000e+05
8.125000000000000000e+00,1.540000000000000000e+04,2.566000000000000000e+05
8.175000000000000711e+00,7.798000000000000000e+05,5.110000000000000000e+05
8.224999999999999645e+00,1.034000000000000000e+06,5.712000000000000000e+05
8.275000000000000355e+00,2.054000000000000000e+06,7.659000000000000000e+05
8.324999999999999289e+00,7.768000000000000000e+05,5.110000000000000000e+05
8.375000000000000000e+00,7.758000000000000000e+05,5.111000000000000000e+05
8.425000000000000711e+00,7.748000000000000000e+05,5.111000000000000000e+05
8.474999999999999645e+00,1.284000000000000000e+06,6.256000000000000000e+05
