WRF ANALYSIS
Date & time = ,2023-07-13, 14:28
Display format=,3
Program version:,2021-05-25

Scan file = ,96836_TIM6_ma9924_g069_6hr_s4
Port & distance (cm) =,tim6,10.0
WRF ID; Al blast(um) & cal=,13425899-g069 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,17,15,18.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.270,0.123,3.30

Fit limits (MeV):,8.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.564,1.617,3.009e+06
Uncertainties
    Random:, 0.264,0.766,52.93%
    Systematic calib:, 0.060,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.246,0.760,11.02%
     DvE:, 0.085,0.096,51.77%
     Dmax:, 0.011,0.000,0.49%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.037,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.250 	 0.000e+00 	 0.000e+00
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 -6.467e+04 	 1.242e+05
5.250 	 6.145e+03 	 4.441e+04
5.750 	 2.601e+04 	 4.815e+04
6.250 	 -1.712e+03 	 4.232e+04
6.750 	 -5.979e+03 	 4.255e+04
7.250 	 8.318e+04 	 6.333e+04
7.750 	 -1.439e+04 	 4.303e+04
8.250 	 1.449e+05 	 7.542e+04
8.750 	 2.342e+05 	 8.884e+04
9.250 	 3.236e+05 	 1.005e+05
9.750 	 5.297e+05 	 1.226e+05
10.250 	 4.557e+05 	 1.158e+05
10.750 	 6.152e+05 	 1.314e+05
11.250 	 7.047e+05 	 1.395e+05
11.750 	 4.907e+05 	 1.208e+05
12.250 	 6.036e+05 	 1.317e+05
12.750 	 5.064e+05 	 1.232e+05
13.250 	 5.493e+05 	 1.277e+05
13.750 	 3.588e+05 	 1.094e+05
14.250 	 3.317e+05 	 1.070e+05
14.750 	 2.346e+05 	 9.647e+04
15.250 	 4.418e+04 	 7.055e+04
15.750 	 -1.229e+05 	 3.454e+04
16.250 	 1.356e+04 	 6.706e+04
16.750 	 -3.674e+04 	 5.865e+04
17.250 	 -8.702e+04 	 4.881e+04
17.750 	 -1.139e+05 	 4.327e+04
18.250 	 -1.175e+05 	 4.367e+04
18.750 	 6.576e+04 	 7.939e+04
19.250 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
