Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
6.250000000000000000e+00,1.676000000000000000e+05,1.996000000000000000e+05
6.750000000000000000e+00,6.081000000000000000e+05,3.019000000000000000e+05
7.250000000000000000e+00,1.442000000000000000e+05,2.005000000000000000e+05
7.750000000000000000e+00,1.922000000000000000e+04,1.662000000000000000e+05
8.250000000000000000e+00,3.463000000000000000e+05,2.573000000000000000e+05
8.750000000000000000e+00,3.341000000000000000e+05,2.577000000000000000e+05
9.250000000000000000e+00,8.870000000000000000e+05,3.613000000000000000e+05
9.750000000000000000e+00,7.613000000000000000e+05,3.435000000000000000e+05
1.025000000000000000e+01,1.540000000000000000e+06,4.557000000000000000e+05
1.075000000000000000e+01,5.095000000000000000e+05,3.048000000000000000e+05
1.125000000000000000e+01,1.288000000000000000e+06,4.274000000000000000e+05
1.175000000000000000e+01,1.048000000000000000e+06,3.967000000000000000e+05
1.225000000000000000e+01,1.260000000000000000e+06,4.281000000000000000e+05
1.275000000000000000e+01,1.585000000000000000e+06,4.710000000000000000e+05
1.325000000000000000e+01,1.458000000000000000e+06,4.576000000000000000e+05
1.375000000000000000e+01,1.783000000000000000e+06,4.981000000000000000e+05
1.425000000000000000e+01,1.655000000000000000e+06,4.855000000000000000e+05
1.475000000000000000e+01,6.222000000000000000e+05,3.479000000000000000e+05
1.525000000000000000e+01,2.675000000000000000e+05,2.882000000000000000e+05
1.575000000000000000e+01,-2.005000000000000000e+05,1.799000000000000000e+05
1.625000000000000000e+01,2.356000000000000000e+05,2.897000000000000000e+05
1.675000000000000000e+01,-3.462000000000000000e+05,1.432000000000000000e+05
1.725000000000000000e+01,-1.369000000000000000e+05,2.157000000000000000e+05
1.775000000000000000e+01,1.850000000000000000e+05,2.923000000000000000e+05
1.825000000000000000e+01,5.431000000000000000e+04,2.705000000000000000e+05
1.875000000000000000e+01,-7.673000000000000000e+04,2.470000000000000000e+05
