Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.750000000000000000e+00,8.811000000000000000e+04,5.411000000000000000e+04
6.250000000000000000e+00,1.451000000000000000e+05,6.447000000000000000e+04
6.750000000000000000e+00,8.135000000000000000e+04,5.435000000000000000e+04
7.250000000000000000e+00,1.585000000000000000e+05,6.773000000000000000e+04
7.750000000000000000e+00,4.169000000000000000e+05,9.934000000000000000e+04
8.250000000000000000e+00,4.137000000000000000e+05,9.941000000000000000e+04
8.750000000000000000e+00,7.526000000000000000e+05,1.296000000000000000e+05
9.250000000000000000e+00,6.488000000000000000e+05,1.215000000000000000e+05
9.750000000000000000e+00,4.243000000000000000e+05,1.017000000000000000e+05
1.025000000000000000e+01,4.615000000000000000e+05,1.056000000000000000e+05
1.075000000000000000e+01,5.791000000000000000e+05,1.167000000000000000e+05
1.125000000000000000e+01,7.371000000000000000e+05,1.299000000000000000e+05
1.175000000000000000e+01,1.378000000000000000e+06,1.728000000000000000e+05
1.225000000000000000e+01,1.798000000000000000e+06,1.959000000000000000e+05
1.275000000000000000e+01,1.473000000000000000e+06,1.786000000000000000e+05
1.325000000000000000e+01,8.660000000000000000e+05,1.406000000000000000e+05
1.375000000000000000e+01,5.813000000000000000e+05,1.189000000000000000e+05
1.425000000000000000e+01,2.966000000000000000e+05,9.206000000000000000e+04
1.475000000000000000e+01,2.535000000000000000e+05,8.767000000000000000e+04
1.525000000000000000e+01,1.701000000000000000e+05,7.802000000000000000e+04
1.575000000000000000e+01,6.216000000000000000e+03,5.355000000000000000e+04
1.625000000000000000e+01,1.040000000000000000e+05,7.011000000000000000e+04
1.675000000000000000e+01,1.817000000000000000e+05,8.098000000000000000e+04
1.725000000000000000e+01,1.185000000000000000e+05,7.325000000000000000e+04
1.775000000000000000e+01,1.358000000000000000e+05,7.612000000000000000e+04
1.825000000000000000e+01,3.243000000000000000e+04,6.158000000000000000e+04
1.875000000000000000e+01,-1.059000000000000000e+04,5.482000000000000000e+04
