WRF ANALYSIS
Date & time = ,2023-07-13, 14:08
Display format=,3
Program version:,2021-05-25

Scan file = ,96832_TIM6_ma9934_g069_s7
Port & distance (cm) =,tim6,26.0
WRF ID; Al blast(um) & cal=,13425899-g069 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,67,77,0,63,
C; e; Dmax; dDmax; Dscale =,18,15,17.50,0.50,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,30.38

Fit limits (MeV):,6.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.334,1.802,9.305e+06
Uncertainties
    Random:, 1.290,2.292,292.16%
    Systematic calib:, 0.061,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 1.263,2.284,26.60%
     DvE:, 0.261,0.191,290.95%
     Dmax:, 0.024,0.000,1.06%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.038,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.250 	 0.000e+00 	 0.000e+00
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 4.405e+05 	 7.020e+05
5.250 	 9.797e+04 	 2.422e+05
5.750 	 -2.373e+04 	 1.886e+05
6.250 	 -4.311e+04 	 1.896e+05
6.750 	 -6.229e+04 	 1.907e+05
7.250 	 3.019e+05 	 2.930e+05
7.750 	 1.548e+05 	 2.645e+05
8.250 	 7.744e+05 	 3.900e+05
8.750 	 3.715e+05 	 3.219e+05
9.250 	 6.077e+05 	 3.699e+05
9.750 	 1.994e+06 	 5.631e+05
10.250 	 2.358e+06 	 6.056e+05
10.750 	 2.465e+06 	 6.194e+05
11.250 	 1.678e+06 	 5.351e+05
11.750 	 1.658e+06 	 5.358e+05
12.250 	 1.254e+06 	 4.887e+05
12.750 	 1.106e+06 	 4.725e+05
13.250 	 1.213e+06 	 4.904e+05
13.750 	 1.575e+06 	 5.388e+05
14.250 	 4.030e+05 	 3.798e+05
14.750 	 6.369e+05 	 4.218e+05
15.250 	 4.870e+05 	 4.033e+05
15.750 	 -4.652e+04 	 3.138e+05
16.250 	 -1.969e+05 	 2.887e+05
16.750 	 -9.191e+04 	 3.178e+05
17.250 	 1.271e+04 	 3.446e+05
17.750 	 -6.499e+05 	 1.963e+05
18.250 	 7.322e+05 	 4.689e+05
18.750 	 -5.702e+05 	 2.412e+05
19.250 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
