WRF ANALYSIS
Date & time = ,2023-07-13, 14:11
Display format=,3
Program version:,2021-05-25

Scan file = ,96834_TIM6_ma9938_g096_s4
Port & distance (cm) =,tim6,26.0
WRF ID; Al blast(um) & cal=,13425926-g096 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,15,15,18.00,0.50,new
Dlow; Dhigh; Dauto; Elims =,7.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.199,0.145,1.35

Fit limits (MeV):,7.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.986,2.047,1.402e+07
Uncertainties
    Random:, 0.227,0.496,74.24%
    Systematic calib:, 0.058,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.166,0.496,7.52%
     DvE:, 0.148,0.015,73.85%
     Dmax:, 0.023,0.000,0.96%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.036,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 -1.902e+04 	 3.368e+05
5.750 	 -8.548e+04 	 1.818e+05
6.250 	 -1.171e+05 	 1.326e+05
6.750 	 3.999e+04 	 1.819e+05
7.250 	 2.281e+04 	 1.828e+05
7.750 	 9.305e+04 	 2.033e+05
8.250 	 3.379e+05 	 2.539e+05
8.750 	 1.455e+06 	 4.047e+05
9.250 	 2.573e+06 	 5.129e+05
9.750 	 2.208e+06 	 4.827e+05
10.250 	 1.668e+06 	 4.332e+05
10.750 	 1.740e+06 	 4.424e+05
11.250 	 2.160e+06 	 4.839e+05
11.750 	 1.446e+06 	 4.167e+05
12.250 	 1.518e+06 	 4.262e+05
12.750 	 1.415e+06 	 4.177e+05
13.250 	 2.534e+06 	 5.233e+05
13.750 	 3.566e+06 	 6.047e+05
14.250 	 2.155e+06 	 4.943e+05
14.750 	 1.791e+06 	 4.630e+05
15.250 	 9.908e+05 	 3.825e+05
15.750 	 3.652e+05 	 3.058e+05
16.250 	 1.575e+03 	 2.522e+05
16.750 	 -3.620e+05 	 1.834e+05
17.250 	 -5.511e+05 	 1.376e+05
17.750 	 -5.656e+05 	 1.395e+05
18.250 	 -5.659e+04 	 2.562e+05
18.750 	 -3.327e+05 	 2.082e+05
19.250 	 -3.333e+04 	 3.447e+05
19.750 	 0.000e+00 	 0.000e+00
