WRF ANALYSIS
Date & time = ,2023-07-13, 14:31
Display format=,3
Program version:,2021-05-25

Scan file = ,96837_TIM6_ma9923_g017_6hr_s4
Port & distance (cm) =,tim5,10.5
WRF ID; Al blast(um) & cal=,13425847-g017 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,16,15,19.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.265,0.094,0.48

Fit limits (MeV):,7.000,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.464,1.890,5.704e+06
Uncertainties
    Random:, 0.097,0.210,38.46%
    Systematic calib:, 0.060,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.061,0.210,8.09%
     DvE:, 0.062,0.012,37.60%
     Dmax:, 0.011,0.000,0.48%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.038,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.250 	 0.000e+00 	 0.000e+00
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 -8.974e+04 	 2.007e+05
5.250 	 8.439e+04 	 7.248e+04
5.750 	 8.811e+04 	 5.411e+04
6.250 	 1.451e+05 	 6.447e+04
6.750 	 8.135e+04 	 5.435e+04
7.250 	 1.585e+05 	 6.773e+04
7.750 	 4.169e+05 	 9.934e+04
8.250 	 4.137e+05 	 9.941e+04
8.750 	 7.526e+05 	 1.296e+05
9.250 	 6.488e+05 	 1.215e+05
9.750 	 4.243e+05 	 1.017e+05
10.250 	 4.615e+05 	 1.056e+05
10.750 	 5.791e+05 	 1.167e+05
11.250 	 7.371e+05 	 1.299e+05
11.750 	 1.378e+06 	 1.728e+05
12.250 	 1.798e+06 	 1.959e+05
12.750 	 1.473e+06 	 1.786e+05
13.250 	 8.660e+05 	 1.406e+05
13.750 	 5.813e+05 	 1.189e+05
14.250 	 2.966e+05 	 9.206e+04
14.750 	 2.535e+05 	 8.767e+04
15.250 	 1.701e+05 	 7.802e+04
15.750 	 6.216e+03 	 5.355e+04
16.250 	 1.040e+05 	 7.011e+04
16.750 	 1.817e+05 	 8.098e+04
17.250 	 1.185e+05 	 7.325e+04
17.750 	 1.358e+05 	 7.612e+04
18.250 	 3.243e+04 	 6.158e+04
18.750 	 -1.059e+04 	 5.482e+04
19.250 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
