WRF ANALYSIS
Date & time = ,2023-06-12, 10:37
Display format=,3
Program version:,2021-05-25

Scan file = ,98257_t6_ma9909_g166_5hr_s7
Port & distance (cm) =,t6,10.5
WRF ID; Al blast(um) & cal=,g166 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,62,73,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,13.65,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.800,0.200,5.61

Fit limits (MeV):,9.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.503,1.442,7.585e+07
Uncertainties
    Random:, 0.124,0.917,177.67%
    Systematic calib:, 0.056,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.114,0.917,19.63%
     DvE:, 0.025,0.007,176.58%
     Dmax:, 0.015,0.000,0.60%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.035,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 -5.194e+05 	 9.166e+05
5.050 	 -5.657e+05 	 7.573e+05
5.150 	 1.790e+05 	 7.574e+05
5.250 	 9.239e+05 	 1.068e+06
5.350 	 -5.900e+05 	 7.577e+05
5.450 	 9.078e+05 	 1.068e+06
5.550 	 -6.060e+05 	 7.580e+05
5.650 	 -6.140e+05 	 7.581e+05
5.750 	 -6.219e+05 	 7.582e+05
5.850 	 8.760e+05 	 1.069e+06
5.950 	 1.621e+06 	 1.307e+06
6.050 	 -6.456e+05 	 7.586e+05
6.150 	 -6.534e+05 	 7.588e+05
6.250 	 8.447e+05 	 1.069e+06
6.350 	 -6.688e+05 	 7.591e+05
6.450 	 8.294e+05 	 1.069e+06
6.550 	 -6.839e+05 	 7.593e+05
6.650 	 -6.915e+05 	 7.595e+05
6.750 	 -6.990e+05 	 7.596e+05
6.850 	 -7.066e+05 	 7.598e+05
6.950 	 -7.140e+05 	 7.599e+05
7.050 	 7.844e+05 	 1.070e+06
7.150 	 7.769e+05 	 1.070e+06
7.250 	 1.659e+04 	 7.604e+05
7.350 	 1.515e+06 	 1.309e+06
7.450 	 1.780e+03 	 7.607e+05
7.550 	 -5.525e+03 	 7.608e+05
7.650 	 -7.658e+05 	 7.610e+05
7.750 	 -2.011e+04 	 7.611e+05
7.850 	 -7.803e+05 	 7.613e+05
7.950 	 -7.875e+05 	 7.615e+05
8.050 	 -4.186e+04 	 7.616e+05
8.150 	 -8.020e+05 	 7.618e+05
8.250 	 -5.621e+04 	 7.619e+05
8.350 	 6.896e+05 	 1.071e+06
8.450 	 -8.233e+05 	 7.623e+05
8.550 	 -8.304e+05 	 7.624e+05
8.650 	 1.421e+06 	 1.310e+06
8.750 	 6.615e+05 	 1.072e+06
8.850 	 -9.845e+04 	 7.629e+05
8.950 	 -1.054e+05 	 7.631e+05
9.050 	 6.407e+05 	 1.072e+06
9.150 	 1.387e+06 	 1.310e+06
9.250 	 1.380e+06 	 1.310e+06
