WRF ANALYSIS
Date & time = ,2023-06-12, 10:53
Display format=,3
Program version:,2021-05-25

Scan file = ,98263_T6_ma9903_g095_5hr_s7
Port & distance (cm) =,t6,10.5
WRF ID; Al blast(um) & cal=,13425925-g095 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,13.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,18.81

Fit limits (MeV):,9.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.936,1.458,2.223e+06
Uncertainties
    Random:, 0.412,1.495,285.22%
    Systematic calib:, 0.055,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.327,1.441,10.87%
     DvE:, 0.247,0.399,285.02%
     Dmax:, 0.015,0.000,0.57%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.034,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 -1.119e+05 	 2.417e+06
4.950 	 -6.648e+04 	 1.061e+06
5.050 	 3.058e+05 	 4.023e+05
5.150 	 -9.919e+04 	 2.802e+05
5.250 	 -7.985e+04 	 2.039e+05
5.350 	 -8.099e+04 	 2.040e+05
5.450 	 6.537e+04 	 1.535e+05
5.550 	 -9.440e+04 	 1.185e+05
5.650 	 -9.567e+04 	 1.185e+05
5.750 	 1.385e+05 	 1.671e+05
5.850 	 -9.821e+04 	 1.186e+05
5.950 	 -9.947e+04 	 1.186e+05
6.050 	 1.698e+04 	 1.186e+05
6.150 	 1.334e+05 	 1.671e+05
6.250 	 1.448e+04 	 1.187e+05
6.350 	 1.324e+04 	 1.187e+05
6.450 	 -1.057e+05 	 1.187e+05
6.550 	 1.080e+04 	 1.187e+05
6.650 	 9.567e+03 	 1.188e+05
6.750 	 -1.094e+05 	 1.188e+05
6.850 	 7.123e+03 	 1.188e+05
6.950 	 5.912e+03 	 1.188e+05
7.050 	 4.693e+03 	 1.189e+05
7.150 	 -1.142e+05 	 1.189e+05
7.250 	 2.269e+03 	 1.189e+05
7.350 	 -1.167e+05 	 1.189e+05
7.450 	 1.176e+05 	 1.674e+05
7.550 	 -1.353e+03 	 1.190e+05
7.650 	 -1.203e+05 	 1.190e+05
7.750 	 -3.750e+03 	 1.190e+05
7.850 	 1.128e+05 	 1.674e+05
7.950 	 -6.141e+03 	 1.191e+05
8.050 	 -1.251e+05 	 1.191e+05
8.150 	 -1.262e+05 	 1.191e+05
8.250 	 -1.274e+05 	 1.192e+05
8.350 	 -1.090e+04 	 1.192e+05
8.450 	 1.056e+05 	 1.675e+05
8.550 	 1.045e+05 	 1.676e+05
8.650 	 -1.321e+05 	 1.193e+05
8.750 	 -1.559e+04 	 1.193e+05
8.850 	 -1.345e+05 	 1.193e+05
8.950 	 -1.356e+05 	 1.194e+05
9.050 	 9.864e+04 	 1.677e+05
9.150 	 2.152e+05 	 2.049e+05
9.250 	 -2.139e+04 	 1.195e+05
9.350 	 -1.403e+05 	 1.195e+05
9.450 	 3.295e+05 	 2.363e+05
9.550 	 -2.485e+04 	 1.195e+05
9.650 	 9.172e+04 	 1.678e+05
9.750 	 -1.449e+05 	 1.196e+05
9.850 	 -2.829e+04 	 1.196e+05
9.950 	 8.828e+04 	 1.679e+05
10.050 	 8.715e+04 	 1.679e+05
10.150 	 5.569e+05 	 2.892e+05
10.250 	 2.026e+05 	 2.051e+05
10.350 	 8.374e+04 	 1.679e+05
10.450 	 2.003e+05 	 2.051e+05
10.550 	 -3.625e+04 	 1.198e+05
10.650 	 8.034e+04 	 1.680e+05
10.750 	 1.969e+05 	 2.052e+05
10.850 	 5.490e+05 	 2.893e+05
10.950 	 1.947e+05 	 2.052e+05
11.050 	 7.821e+05 	 3.338e+05
11.150 	 1.924e+05 	 2.052e+05
11.250 	 6.622e+05 	 3.123e+05
11.350 	 4.256e+05 	 2.643e+05
11.450 	 3.068e+05 	 2.366e+05
11.550 	 4.234e+05 	 2.643e+05
11.650 	 4.223e+05 	 2.643e+05
11.750 	 6.566e+05 	 3.124e+05
11.850 	 3.024e+05 	 2.367e+05
11.950 	 1.125e+06 	 3.912e+05
12.050 	 4.179e+05 	 2.644e+05
12.150 	 5.345e+05 	 2.894e+05
12.250 	 2.980e+05 	 2.368e+05
12.350 	 6.144e+04 	 1.684e+05
12.450 	 -5.737e+04 	 1.205e+05
12.550 	 5.301e+05 	 2.895e+05
12.650 	 4.113e+05 	 2.645e+05
12.750 	 2.925e+05 	 2.369e+05
12.850 	 5.268e+05 	 2.895e+05
12.950 	 5.489e+04 	 1.685e+05
13.050 	 1.715e+05 	 2.056e+05
13.150 	 5.236e+05 	 2.896e+05
13.250 	 2.871e+05 	 2.370e+05
13.350 	 4.037e+05 	 2.646e+05
13.450 	 8.735e+05 	 3.542e+05
13.550 	 6.370e+05 	 3.126e+05
13.650 	 9.891e+05 	 3.733e+05
13.750 	 1.640e+05 	 2.058e+05
13.850 	 2.806e+05 	 2.371e+05
13.950 	 9.858e+05 	 3.733e+05
14.050 	 9.848e+05 	 3.733e+05
14.150 	 3.951e+05 	 2.647e+05
14.250 	 9.826e+05 	 3.733e+05
14.350 	 1.576e+05 	 2.059e+05
14.450 	 1.098e+06 	 3.915e+05
14.550 	 1.554e+05 	 2.059e+05
14.650 	 6.252e+05 	 3.128e+05
14.750 	 1.533e+05 	 2.060e+05
14.850 	 2.700e+05 	 2.373e+05
14.950 	 3.346e+04 	 1.691e+05
15.050 	 -8.532e+04 	 1.214e+05
15.150 	 7.376e+05 	 3.343e+05
15.250 	 7.366e+05 	 3.343e+05
15.350 	 1.469e+05 	 2.061e+05
15.450 	 2.636e+05 	 2.374e+05
15.550 	 -2.083e+05 	 1.216e+05
15.650 	 -9.164e+04 	 1.216e+05
15.750 	 1.427e+05 	 2.062e+05
15.850 	 2.398e+04 	 1.693e+05
15.950 	 2.294e+04 	 1.693e+05
16.050 	 -9.581e+04 	 1.218e+05
16.150 	 3.740e+05 	 2.651e+05
16.250 	 -9.789e+04 	 1.218e+05
16.350 	 -2.166e+05 	 1.219e+05
16.450 	 -9.997e+04 	 1.219e+05
16.550 	 2.521e+05 	 2.376e+05
16.650 	 3.688e+05 	 2.652e+05
16.750 	 1.464e+04 	 1.696e+05
16.850 	 -1.041e+05 	 1.221e+05
16.950 	 1.257e+04 	 1.696e+05
17.050 	 3.647e+05 	 2.652e+05
17.150 	 -1.072e+05 	 1.222e+05
17.250 	 3.626e+05 	 2.653e+05
17.350 	 -1.093e+05 	 1.223e+05
17.450 	 -1.103e+05 	 1.223e+05
17.550 	 -1.113e+05 	 1.224e+05
17.650 	 3.585e+05 	 2.654e+05
17.750 	 -1.134e+05 	 1.224e+05
17.850 	 -1.144e+05 	 1.225e+05
17.950 	 2.377e+05 	 2.379e+05
18.050 	 3.544e+05 	 2.654e+05
18.150 	 1.180e+05 	 2.068e+05
18.250 	 3.524e+05 	 2.655e+05
18.350 	 1.159e+05 	 2.068e+05
18.450 	 -2.799e+03 	 1.701e+05
18.550 	 1.139e+05 	 2.069e+05
18.650 	 2.306e+05 	 2.380e+05
18.750 	 -1.236e+05 	 1.229e+05
18.850 	 4.640e+05 	 2.905e+05
18.950 	 -7.868e+03 	 1.702e+05
19.050 	 1.088e+05 	 2.070e+05
19.150 	 3.773e+05 	 2.791e+05
19.250 	 1.804e+05 	 2.912e+05
19.350 	 0.000e+00 	 0.000e+00
19.450 	 0.000e+00 	 0.000e+00
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
