WRF ANALYSIS
Date & time = ,2023-06-12, 10:50
Display format=,3
Program version:,2021-05-25

Scan file = ,98264_T6_ma9905_g093_5hr_s4
Port & distance (cm) =,t6,10.5
WRF ID; Al blast(um) & cal=,13425923-g093 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-66),(0-63),-1.122,0.677,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
Back x0; x1; y0; y1 (cm) =,60,66,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,14.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.300,4.18

Fit limits (MeV):,9.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.390,1.336,5.468e+06
Uncertainties
    Random:, 0.248,1.026,171.71%
    Systematic calib:, 0.057,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.143,1.024,11.47%
     DvE:, 0.198,0.070,171.32%
     Dmax:, 0.014,0.000,0.58%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.035,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 -1.562e+05 	 1.061e+06
5.050 	 -1.430e+05 	 6.169e+05
5.150 	 -1.077e+05 	 4.023e+05
5.250 	 -1.197e+05 	 2.804e+05
5.350 	 8.752e+04 	 2.043e+05
5.450 	 4.194e+04 	 1.538e+05
5.550 	 -1.122e+05 	 1.539e+05
5.650 	 -1.252e+05 	 1.190e+05
5.750 	 1.084e+05 	 1.673e+05
5.850 	 -1.084e+04 	 1.191e+05
5.950 	 2.227e+05 	 2.046e+05
6.050 	 -1.407e+04 	 1.191e+05
6.150 	 -1.333e+05 	 1.192e+05
6.250 	 -1.349e+05 	 1.192e+05
6.350 	 -1.364e+05 	 1.193e+05
6.450 	 -2.039e+04 	 1.193e+05
6.550 	 9.567e+04 	 1.675e+05
6.650 	 -2.349e+04 	 1.194e+05
6.750 	 -1.426e+05 	 1.194e+05
6.850 	 -1.442e+05 	 1.195e+05
6.950 	 2.071e+05 	 2.048e+05
7.050 	 2.056e+05 	 2.048e+05
7.150 	 -1.488e+05 	 1.196e+05
7.250 	 -3.270e+04 	 1.196e+05
7.350 	 8.337e+04 	 1.678e+05
7.450 	 -3.575e+04 	 1.197e+05
7.550 	 1.979e+05 	 2.050e+05
7.650 	 -1.564e+05 	 1.198e+05
7.750 	 -4.025e+04 	 1.199e+05
7.850 	 1.934e+05 	 2.050e+05
7.950 	 7.436e+04 	 1.680e+05
8.050 	 7.287e+04 	 1.680e+05
8.150 	 1.890e+05 	 2.051e+05
8.250 	 -1.653e+05 	 1.201e+05
8.350 	 -1.668e+05 	 1.202e+05
8.450 	 6.698e+04 	 1.682e+05
8.550 	 6.552e+04 	 1.682e+05
8.650 	 6.407e+04 	 1.683e+05
8.750 	 -5.497e+04 	 1.204e+05
8.850 	 1.788e+05 	 2.053e+05
8.950 	 1.774e+05 	 2.054e+05
9.050 	 -5.925e+04 	 1.206e+05
9.150 	 5.693e+04 	 1.685e+05
