WRF ANALYSIS
Date & time = ,2022-12-07, 13:42
Display format=,3
Program version:,2021-05-25

Scan file = ,O105750_TIM2_G095_wa0508_2hr_s6
Port & distance (cm) =,tim2,13.0
WRF ID; Al blast(um) & cal=,13425925-g095 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(21-74),(0-59),-1.208,1.170,-0.968,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,59,
C; e; Dmax; dDmax; Dscale =,20,15,9.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.461,0.095,1.15

Fit limits (MeV):,9.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.956,1.544,1.923e+08
Uncertainties
    Random:, 0.069,0.041,42.35%
    Systematic calib:, 0.055,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.025,0.028,7.88%
     DvE:, 0.048,0.030,41.60%
     Dmax:, 0.020,0.000,0.80%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.034,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.950 	 0.000e+00 	 0.000e+00
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 -3.063e+06 	 5.560e+06
4.550 	 -2.368e+06 	 1.442e+06
4.650 	 -1.864e+06 	 1.444e+06
4.750 	 2.087e+06 	 1.910e+06
4.850 	 -1.916e+05 	 1.339e+06
4.950 	 1.450e+06 	 1.366e+06
5.050 	 -2.044e+06 	 8.935e+05
5.150 	 2.252e+06 	 1.469e+06
5.250 	 -9.306e+05 	 1.090e+06
5.350 	 -3.737e+05 	 1.176e+06
5.450 	 4.952e+05 	 1.294e+06
5.550 	 1.364e+06 	 1.402e+06
5.650 	 9.866e+05 	 1.368e+06
5.750 	 -9.482e+05 	 1.135e+06
5.850 	 2.326e+05 	 1.295e+06
5.950 	 -2.014e+06 	 9.992e+05
6.050 	 7.254e+05 	 1.369e+06
6.150 	 -5.856e+05 	 1.219e+06
6.250 	 -1.585e+06 	 1.093e+06
6.350 	 -9.047e+04 	 1.297e+06
6.450 	 7.808e+05 	 1.405e+06
6.550 	 -2.165e+05 	 1.297e+06
6.650 	 3.432e+05 	 1.370e+06
6.750 	 -3.428e+05 	 1.298e+06
6.850 	 5.288e+05 	 1.406e+06
6.950 	 1.401e+06 	 1.506e+06
7.050 	 -8.430e+05 	 1.261e+06
7.150 	 -5.942e+05 	 1.299e+06
7.250 	 2.148e+06 	 1.600e+06
7.350 	 -4.073e+05 	 1.336e+06
7.450 	 1.535e+05 	 1.407e+06
7.550 	 9.165e+04 	 1.408e+06
7.650 	 -9.053e+05 	 1.300e+06
7.750 	 -3.436e+05 	 1.373e+06
7.850 	 -1.029e+06 	 1.301e+06
7.950 	 -1.553e+05 	 1.409e+06
8.050 	 1.029e+06 	 1.541e+06
8.150 	 3.447e+05 	 1.477e+06
8.250 	 2.835e+05 	 1.477e+06
8.350 	 -8.887e+04 	 1.444e+06
8.450 	 -1.497e+05 	 1.444e+06
8.550 	 -5.221e+05 	 1.411e+06
8.650 	 3.523e+05 	 1.511e+06
8.750 	 2.922e+05 	 1.511e+06
8.850 	 -7.985e+04 	 1.479e+06
8.950 	 7.949e+05 	 1.574e+06
9.050 	 -1.134e+06 	 1.377e+06
9.150 	 3.648e+05 	 1.544e+06
9.250 	 6.163e+05 	 1.575e+06
9.350 	 2.427e+06 	 1.751e+06
9.450 	 -2.619e+06 	 1.230e+06
9.550 	 1.373e+06 	 1.666e+06
9.650 	 1.002e+06 	 1.637e+06
9.750 	 5.305e+06 	 2.010e+06
9.850 	 1.819e+06 	 1.724e+06
9.950 	 7.057e+06 	 2.150e+06
10.050 	 6.063e+06 	 2.082e+06
10.150 	 1.192e+07 	 2.486e+06
10.250 	 1.592e+07 	 2.728e+06
10.350 	 1.929e+07 	 2.917e+06
10.450 	 1.985e+07 	 2.951e+06
10.550 	 2.104e+07 	 3.016e+06
10.650 	 2.036e+07 	 2.984e+06
10.750 	 2.466e+07 	 3.204e+06
10.850 	 3.800e+07 	 3.800e+06
10.950 	 3.358e+07 	 3.617e+06
11.050 	 3.072e+07 	 3.494e+06
11.150 	 4.469e+07 	 4.072e+06
11.250 	 3.528e+07 	 3.697e+06
11.350 	 4.239e+07 	 3.988e+06
11.450 	 3.890e+07 	 3.851e+06
11.550 	 4.259e+07 	 4.000e+06
11.650 	 4.191e+07 	 3.976e+06
11.750 	 3.873e+07 	 3.852e+06
11.850 	 4.366e+07 	 4.049e+06
11.950 	 3.924e+07 	 3.877e+06
12.050 	 3.669e+07 	 3.776e+06
12.150 	 3.539e+07 	 3.724e+06
12.250 	 3.751e+07 	 3.815e+06
12.350 	 3.309e+07 	 3.632e+06
12.450 	 4.301e+07 	 4.037e+06
12.550 	 4.171e+07 	 3.989e+06
12.650 	 3.324e+07 	 3.646e+06
12.750 	 3.972e+07 	 3.916e+06
12.850 	 4.247e+07 	 4.026e+06
12.950 	 3.463e+07 	 3.712e+06
13.050 	 3.270e+07 	 3.633e+06
13.150 	 3.389e+07 	 3.686e+06
13.250 	 3.259e+07 	 3.633e+06
13.350 	 3.877e+07 	 3.892e+06
13.450 	 2.780e+07 	 3.428e+06
13.550 	 3.741e+07 	 3.842e+06
13.650 	 3.611e+07 	 3.791e+06
13.750 	 3.885e+07 	 3.905e+06
13.850 	 3.101e+07 	 3.581e+06
13.950 	 3.532e+07 	 3.766e+06
14.050 	 3.277e+07 	 3.661e+06
14.150 	 4.050e+07 	 3.979e+06
14.250 	 2.456e+07 	 3.299e+06
14.350 	 4.164e+07 	 4.028e+06
14.450 	 3.286e+07 	 3.675e+06
14.550 	 3.935e+07 	 3.943e+06
14.650 	 3.213e+07 	 3.649e+06
14.750 	 3.924e+07 	 3.943e+06
14.850 	 3.638e+07 	 3.831e+06
14.950 	 3.446e+07 	 3.754e+06
15.050 	 3.658e+07 	 3.844e+06
15.150 	 2.905e+07 	 3.528e+06
15.250 	 2.744e+07 	 3.459e+06
15.350 	 2.489e+07 	 3.345e+06
15.450 	 2.110e+07 	 3.166e+06
15.550 	 1.481e+07 	 2.843e+06
15.650 	 1.725e+07 	 2.977e+06
15.750 	 1.252e+07 	 2.721e+06
15.850 	 1.652e+07 	 2.944e+06
15.950 	 7.115e+06 	 2.399e+06
16.050 	 5.192e+06 	 2.275e+06
16.150 	 2.022e+06 	 2.051e+06
16.250 	 4.773e+06 	 2.254e+06
16.350 	 4.720e+06 	 2.254e+06
16.450 	 9.266e+05 	 1.979e+06
16.550 	 3.366e+06 	 2.167e+06
16.650 	 -4.789e+06 	 1.474e+06
16.750 	 -4.531e+06 	 1.507e+06
16.850 	 2.583e+06 	 2.123e+06
16.950 	 3.653e+04 	 1.931e+06
17.050 	 6.066e+05 	 1.981e+06
17.150 	 -2.874e+06 	 1.691e+06
17.250 	 -1.228e+05 	 1.932e+06
17.350 	 -2.357e+06 	 1.748e+06
17.450 	 2.576e+06 	 2.147e+06
17.550 	 3.002e+04 	 1.958e+06
17.650 	 -2.204e+06 	 1.777e+06
17.750 	 -1.322e+06 	 1.857e+06
17.850 	 -1.288e+05 	 1.959e+06
17.950 	 1.302e+05 	 1.984e+06
18.050 	 -1.481e+06 	 1.858e+06
18.150 	 2.829e+06 	 2.194e+06
18.250 	 9.069e+05 	 2.057e+06
18.350 	 1.478e+06 	 2.104e+06
18.450 	 1.737e+06 	 2.128e+06
18.550 	 -8.086e+05 	 1.937e+06
18.650 	 -1.796e+06 	 1.861e+06
18.750 	 -2.902e+05 	 1.987e+06
18.850 	 -1.900e+06 	 1.861e+06
18.950 	 -1.329e+06 	 1.913e+06
19.050 	 7.998e+05 	 2.083e+06
19.150 	 1.244e+05 	 2.037e+06
19.250 	 9.139e+05 	 2.266e+06
19.350 	 0.000e+00 	 0.000e+00
19.450 	 0.000e+00 	 0.000e+00
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
