WRF ANALYSIS
Date & time = ,2022-12-07, 14:17
Display format=,3
Program version:,2021-05-25

Scan file = ,O105752_TIM4_G160_wa0496_4hr_s2
Port & distance (cm) =,tim4,10.5
WRF ID; Al blast(um) & cal=,g160 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(21-74),(0-59),-1.205,1.180,-0.974,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,14,15,15.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.193,0.046,1.91

Fit limits (MeV):,6.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.857,1.854,1.670e+08
Uncertainties
    Random:, 0.056,0.030,15.04%
    Systematic calib:, 0.059,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.020,0.028,3.51%
     DvE:, 0.031,0.011,14.62%
     Dmax:, 0.013,0.000,0.55%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.036,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.850 	 0.000e+00 	 0.000e+00
3.950 	 0.000e+00 	 0.000e+00
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 -1.051e+06 	 2.098e+06
4.450 	 -1.096e+06 	 9.081e+05
4.550 	 9.247e+04 	 7.300e+05
4.650 	 -7.850e+05 	 3.341e+05
4.750 	 4.709e+05 	 5.047e+05
4.850 	 2.361e+05 	 4.520e+05
4.950 	 -2.810e+05 	 2.314e+05
5.050 	 -1.287e+05 	 2.821e+05
5.150 	 -2.937e+04 	 2.697e+05
5.250 	 1.038e+06 	 4.488e+05
5.350 	 -2.823e+05 	 2.051e+05
5.450 	 6.121e+05 	 3.520e+05
5.550 	 -3.137e+04 	 2.582e+05
5.650 	 4.887e+04 	 2.737e+05
5.750 	 6.720e+05 	 3.636e+05
5.850 	 5.714e+05 	 3.522e+05
5.950 	 3.804e+05 	 3.282e+05
6.050 	 1.094e+06 	 4.162e+05
6.150 	 7.220e+05 	 3.749e+05
6.250 	 1.074e+06 	 4.163e+05
6.350 	 1.335e+06 	 4.448e+05
6.450 	 1.959e+06 	 5.052e+05
6.550 	 1.768e+06 	 4.887e+05
6.650 	 2.211e+06 	 5.290e+05
6.750 	 2.834e+06 	 5.806e+05
6.850 	 2.643e+06 	 5.664e+05
6.950 	 2.362e+06 	 5.443e+05
7.050 	 3.348e+06 	 6.216e+05
7.150 	 2.886e+06 	 5.878e+05
7.250 	 3.419e+06 	 6.282e+05
7.350 	 2.595e+06 	 5.666e+05
7.450 	 4.123e+06 	 6.784e+05
7.550 	 4.113e+06 	 6.784e+05
7.650 	 4.918e+06 	 7.307e+05
7.750 	 4.547e+06 	 7.080e+05
7.850 	 5.804e+06 	 7.847e+05
7.950 	 6.337e+06 	 8.154e+05
8.050 	 8.498e+06 	 9.281e+05
8.150 	 7.494e+06 	 8.783e+05
8.250 	 7.213e+06 	 8.642e+05
8.350 	 8.741e+06 	 9.413e+05
8.450 	 6.923e+06 	 8.500e+05
8.550 	 8.541e+06 	 9.326e+05
8.650 	 8.351e+06 	 9.238e+05
8.750 	 8.794e+06 	 9.457e+05
8.850 	 8.423e+06 	 9.283e+05
8.950 	 9.318e+06 	 9.714e+05
9.050 	 1.039e+07 	 1.021e+06
9.150 	 1.020e+07 	 1.013e+06
9.250 	 1.119e+07 	 1.056e+06
9.350 	 1.290e+07 	 1.127e+06
9.450 	 1.208e+07 	 1.094e+06
9.550 	 1.053e+07 	 1.029e+06
9.650 	 1.522e+07 	 1.218e+06
9.750 	 1.494e+07 	 1.208e+06
9.850 	 1.313e+07 	 1.138e+06
9.950 	 1.619e+07 	 1.255e+06
10.050 	 1.555e+07 	 1.232e+06
10.150 	 2.033e+07 	 1.397e+06
10.250 	 1.734e+07 	 1.296e+06
10.350 	 1.986e+07 	 1.382e+06
10.450 	 2.212e+07 	 1.454e+06
10.550 	 2.193e+07 	 1.449e+06
10.650 	 2.237e+07 	 1.463e+06
10.750 	 2.462e+07 	 1.531e+06
10.850 	 2.651e+07 	 1.586e+06
10.950 	 2.714e+07 	 1.604e+06
11.050 	 2.821e+07 	 1.634e+06
11.150 	 3.390e+07 	 1.785e+06
11.250 	 3.227e+07 	 1.743e+06
11.350 	 3.181e+07 	 1.732e+06
11.450 	 3.451e+07 	 1.801e+06
11.550 	 3.224e+07 	 1.744e+06
11.650 	 3.847e+07 	 1.899e+06
11.750 	 3.629e+07 	 1.846e+06
11.850 	 3.638e+07 	 1.848e+06
11.950 	 3.763e+07 	 1.879e+06
12.050 	 3.762e+07 	 1.879e+06
12.150 	 3.988e+07 	 1.933e+06
12.250 	 3.670e+07 	 1.857e+06
12.350 	 3.479e+07 	 1.810e+06
12.450 	 3.895e+07 	 1.912e+06
12.550 	 3.903e+07 	 1.914e+06
12.650 	 4.029e+07 	 1.943e+06
12.750 	 3.367e+07 	 1.783e+06
12.850 	 3.701e+07 	 1.866e+06
12.950 	 3.592e+07 	 1.840e+06
13.050 	 3.528e+07 	 1.824e+06
13.150 	 3.364e+07 	 1.783e+06
13.250 	 3.182e+07 	 1.737e+06
13.350 	 2.973e+07 	 1.682e+06
13.450 	 2.619e+07 	 1.584e+06
13.550 	 2.628e+07 	 1.587e+06
13.650 	 2.600e+07 	 1.579e+06
13.750 	 1.966e+07 	 1.386e+06
13.850 	 2.155e+07 	 1.446e+06
13.950 	 2.000e+07 	 1.397e+06
14.050 	 1.782e+07 	 1.325e+06
14.150 	 1.727e+07 	 1.307e+06
14.250 	 1.617e+07 	 1.269e+06
14.350 	 1.463e+07 	 1.212e+06
14.450 	 1.516e+07 	 1.233e+06
14.550 	 1.298e+07 	 1.150e+06
14.650 	 1.288e+07 	 1.147e+06
14.750 	 9.166e+06 	 9.896e+05
14.850 	 9.158e+06 	 9.896e+05
14.950 	 1.078e+07 	 1.061e+06
15.050 	 8.508e+06 	 9.603e+05
15.150 	 7.685e+06 	 9.212e+05
15.250 	 6.682e+06 	 8.710e+05
15.350 	 7.487e+06 	 9.123e+05
15.450 	 5.127e+06 	 7.871e+05
15.550 	 5.480e+06 	 8.077e+05
15.650 	 4.567e+06 	 7.554e+05
15.750 	 2.026e+06 	 5.844e+05
15.850 	 2.470e+06 	 6.185e+05
15.950 	 2.823e+06 	 6.444e+05
16.050 	 2.272e+06 	 6.052e+05
16.150 	 1.993e+06 	 5.846e+05
16.250 	 2.165e+06 	 5.985e+05
16.350 	 8.905e+05 	 4.937e+05
16.450 	 -2.248e+04 	 4.024e+05
16.550 	 -3.079e+04 	 4.025e+05
16.650 	 5.942e+05 	 4.683e+05
16.750 	 4.314e+04 	 4.127e+05
16.850 	 -5.558e+04 	 4.027e+05
16.950 	 8.408e+05 	 4.940e+05
17.050 	 1.088e+05 	 4.227e+05
17.150 	 1.011e+04 	 4.130e+05
17.250 	 9.234e+04 	 4.228e+05
17.350 	 1.351e+06 	 5.417e+05
17.450 	 -3.764e+05 	 3.715e+05
17.550 	 -2.941e+05 	 3.824e+05
17.650 	 6.022e+05 	 4.776e+05
17.750 	 2.322e+05 	 4.421e+05
17.850 	 1.335e+05 	 4.328e+05
17.950 	 -3.269e+05 	 3.828e+05
18.050 	 2.076e+05 	 4.423e+05
18.150 	 1.994e+05 	 4.424e+05
18.250 	 -2.610e+05 	 3.936e+05
18.350 	 -3.596e+05 	 3.831e+05
18.450 	 3.559e+05 	 4.608e+05
18.550 	 -4.663e+05 	 3.724e+05
18.650 	 -1.127e+05 	 4.141e+05
18.750 	 -3.017e+05 	 3.940e+05
18.850 	 -3.098e+05 	 3.941e+05
18.950 	 -4.648e+04 	 4.241e+05
19.050 	 3.591e+04 	 4.338e+05
19.150 	 -1.531e+05 	 4.145e+05
19.250 	 4.530e+05 	 4.815e+05
19.350 	 -3.523e+05 	 5.162e+05
19.450 	 -1.623e+06 	 6.794e+05
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
