WRF ANALYSIS
Date & time = ,2022-12-07, 14:46
Display format=,3
Program version:,2021-05-25

Scan file = ,O105758_TIM4_G165_wa0500_2.5hr_s6
Port & distance (cm) =,tim4,10.5
WRF ID; Al blast(um) & cal=,g165 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(21-74),(0-59),-1.201,1.195,-0.982,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,15,15,11.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.389,0.118,3.10

Fit limits (MeV):,5.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 10.003,2.141,8.323e+07
Uncertainties
    Random:, 0.104,0.245,53.43%
    Systematic calib:, 0.067,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.063,0.245,6.08%
     DvE:, 0.066,0.003,53.08%
     Dmax:, 0.020,0.000,0.94%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.043,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.950 	 0.000e+00 	 0.000e+00
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 -6.106e+05 	 3.401e+06
4.550 	 6.936e+05 	 8.694e+05
4.650 	 3.881e+06 	 1.378e+06
4.750 	 1.475e+06 	 7.897e+05
4.850 	 2.237e+06 	 8.137e+05
4.950 	 1.005e+06 	 5.416e+05
5.050 	 2.715e+06 	 7.884e+05
5.150 	 2.517e+06 	 7.649e+05
5.250 	 1.554e+06 	 6.347e+05
5.350 	 2.501e+06 	 7.650e+05
5.450 	 2.875e+06 	 8.113e+05
5.550 	 3.440e+06 	 8.762e+05
5.650 	 2.669e+06 	 7.886e+05
5.750 	 1.897e+06 	 6.900e+05
5.850 	 3.226e+06 	 8.552e+05
5.950 	 3.601e+06 	 8.969e+05
6.050 	 3.975e+06 	 9.367e+05
6.150 	 4.349e+06 	 9.748e+05
6.250 	 3.960e+06 	 9.367e+05
6.350 	 5.289e+06 	 1.064e+06
6.450 	 5.664e+06 	 1.098e+06
6.550 	 4.702e+06 	 1.012e+06
6.650 	 5.076e+06 	 1.047e+06
6.750 	 5.451e+06 	 1.081e+06
6.850 	 6.971e+06 	 1.209e+06
6.950 	 7.345e+06 	 1.239e+06
7.050 	 5.429e+06 	 1.081e+06
7.150 	 7.522e+06 	 1.253e+06
7.250 	 8.660e+06 	 1.338e+06
7.350 	 1.056e+07 	 1.468e+06
7.450 	 9.409e+06 	 1.391e+06
7.550 	 9.975e+06 	 1.430e+06
7.650 	 1.035e+07 	 1.455e+06
7.750 	 8.051e+06 	 1.296e+06
7.850 	 9.953e+06 	 1.430e+06
7.950 	 7.846e+06 	 1.282e+06
8.050 	 1.070e+07 	 1.480e+06
8.150 	 1.184e+07 	 1.552e+06
8.250 	 1.088e+07 	 1.493e+06
8.350 	 1.068e+07 	 1.480e+06
8.450 	 9.910e+06 	 1.430e+06
8.550 	 1.162e+07 	 1.541e+06
8.650 	 1.200e+07 	 1.564e+06
8.750 	 1.046e+07 	 1.468e+06
8.850 	 1.179e+07 	 1.553e+06
8.950 	 1.140e+07 	 1.529e+06
9.050 	 1.235e+07 	 1.587e+06
9.150 	 1.043e+07 	 1.468e+06
9.250 	 1.081e+07 	 1.493e+06
9.350 	 1.252e+07 	 1.599e+06
9.450 	 1.309e+07 	 1.633e+06
9.550 	 1.136e+07 	 1.529e+06
9.650 	 1.326e+07 	 1.644e+06
9.750 	 1.402e+07 	 1.688e+06
9.850 	 1.650e+07 	 1.823e+06
9.950 	 1.076e+07 	 1.493e+06
10.050 	 1.515e+07 	 1.751e+06
10.150 	 1.418e+07 	 1.699e+06
10.250 	 1.189e+07 	 1.565e+06
10.350 	 1.264e+07 	 1.611e+06
10.450 	 1.359e+07 	 1.666e+06
10.550 	 1.626e+07 	 1.813e+06
10.650 	 1.377e+07 	 1.677e+06
10.750 	 1.510e+07 	 1.752e+06
10.850 	 1.356e+07 	 1.666e+06
10.950 	 1.356e+07 	 1.666e+06
11.050 	 1.527e+07 	 1.762e+06
11.150 	 1.240e+07 	 1.599e+06
11.250 	 1.430e+07 	 1.710e+06
11.350 	 1.353e+07 	 1.666e+06
11.450 	 1.581e+07 	 1.793e+06
11.550 	 1.447e+07 	 1.720e+06
11.650 	 1.485e+07 	 1.741e+06
11.750 	 1.503e+07 	 1.752e+06
11.850 	 1.140e+07 	 1.542e+06
11.950 	 1.311e+07 	 1.645e+06
12.050 	 8.136e+06 	 1.325e+06
12.150 	 1.214e+07 	 1.588e+06
12.250 	 1.061e+07 	 1.494e+06
12.350 	 8.307e+06 	 1.339e+06
12.450 	 9.064e+06 	 1.393e+06
12.550 	 6.193e+06 	 1.180e+06
12.650 	 5.614e+06 	 1.133e+06
12.750 	 8.090e+06 	 1.326e+06
12.850 	 7.128e+06 	 1.255e+06
12.950 	 4.830e+06 	 1.066e+06
13.050 	 5.397e+06 	 1.117e+06
13.150 	 5.199e+06 	 1.100e+06
13.250 	 3.856e+06 	 9.774e+05
13.350 	 4.995e+06 	 1.084e+06
13.450 	 3.079e+06 	 8.998e+05
13.550 	 3.454e+06 	 9.395e+05
13.650 	 4.975e+06 	 1.084e+06
13.750 	 2.868e+06 	 8.795e+05
13.850 	 2.098e+06 	 7.923e+05
13.950 	 3.428e+06 	 9.397e+05
14.050 	 3.422e+06 	 9.397e+05
14.150 	 1.506e+06 	 7.201e+05
14.250 	 2.454e+06 	 8.372e+05
14.350 	 2.639e+06 	 8.588e+05
14.450 	 2.441e+06 	 8.374e+05
14.550 	 2.244e+06 	 8.153e+05
14.650 	 1.474e+06 	 7.204e+05
14.750 	 1.849e+06 	 7.694e+05
14.850 	 1.079e+06 	 6.680e+05
14.950 	 1.073e+06 	 6.681e+05
15.050 	 1.830e+06 	 7.696e+05
15.150 	 -8.591e+04 	 4.772e+05
15.250 	 1.435e+06 	 7.208e+05
15.350 	 2.833e+05 	 5.485e+05
15.450 	 8.597e+04 	 5.143e+05
15.550 	 1.034e+06 	 6.685e+05
15.650 	 1.601e+06 	 7.459e+05
15.750 	 -1.240e+05 	 4.778e+05
15.850 	 -3.213e+05 	 4.381e+05
15.950 	 -1.366e+05 	 4.780e+05
16.050 	 4.301e+05 	 5.814e+05
16.150 	 1.760e+06 	 7.703e+05
16.250 	 -3.463e+05 	 4.386e+05
16.350 	 6.022e+05 	 6.122e+05
16.450 	 2.140e+05 	 5.495e+05
16.550 	 -1.742e+05 	 4.786e+05
16.650 	 9.653e+05 	 6.693e+05
16.750 	 1.953e+05 	 5.497e+05
16.850 	 3.800e+05 	 5.821e+05
16.950 	 -1.991e+05 	 4.790e+05
17.050 	 -5.873e+05 	 3.958e+05
17.150 	 -5.935e+05 	 3.959e+05
17.250 	 3.551e+05 	 5.824e+05
17.350 	 1.579e+05 	 5.503e+05
17.450 	 3.427e+05 	 5.826e+05
17.550 	 3.365e+05 	 5.827e+05
17.650 	 -4.335e+05 	 4.401e+05
17.750 	 5.151e+05 	 6.133e+05
17.850 	 5.089e+05 	 6.134e+05
17.950 	 1.208e+05 	 5.508e+05
18.050 	 -2.673e+05 	 4.802e+05
18.150 	 1.084e+05 	 5.510e+05
18.250 	 -8.865e+04 	 5.170e+05
18.350 	 6.690e+05 	 6.428e+05
18.450 	 -4.829e+05 	 4.411e+05
18.550 	 1.230e+06 	 7.231e+05
18.650 	 -1.132e+05 	 5.174e+05
18.750 	 -5.013e+05 	 4.414e+05
18.850 	 -5.074e+05 	 4.416e+05
18.950 	 8.232e+05 	 6.711e+05
19.050 	 2.443e+05 	 5.840e+05
19.150 	 4.719e+04 	 5.520e+05
19.250 	 1.187e+06 	 7.236e+05
19.350 	 -5.600e+05 	 4.524e+05
19.450 	 -2.090e+06 	 9.127e+05
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
