WRF ANALYSIS
Date & time = ,2022-12-07, 14:51
Display format=,3
Program version:,2021-05-25

Scan file = ,O105760_TIM4_G091_wa0516_4hr_s6
Port & distance (cm) =,tim4,10.5
WRF ID; Al blast(um) & cal=,13425921-g091 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(21-74),(0-59),-1.201,1.195,-0.982,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,35,15
Dlow; Dhigh; Dauto; Elims =,0.00,200.00,no

DvE fit: c; dc; red. Chi^2 =, 1.086,0.062,2.16

Fit limits (MeV):,5.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.822,1.503,1.060e+08
Uncertainties
    Random:, 0.061,0.047,17.24%
    Systematic calib:, 0.055,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.023,0.045,4.30%
     DvE:, 0.041,0.016,16.69%
     Dmax:, 0.013,0.000,0.51%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.034,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 -8.240e+05 	 8.632e+05
4.650 	 -3.539e+05 	 4.969e+05
4.750 	 -9.349e+05 	 3.229e+05
4.850 	 -7.814e+05 	 2.254e+05
4.950 	 5.085e+05 	 5.786e+05
5.050 	 7.478e+05 	 5.466e+05
5.150 	 2.600e+05 	 4.742e+05
5.250 	 4.395e+03 	 3.917e+05
5.350 	 4.546e+05 	 4.565e+05
5.450 	 -3.487e+05 	 3.121e+05
5.550 	 3.445e+05 	 4.012e+05
5.650 	 -3.130e+04 	 3.596e+05
5.750 	 4.839e+05 	 4.207e+05
5.850 	 -2.481e+05 	 3.370e+05
5.950 	 4.454e+05 	 4.208e+05
6.050 	 4.261e+05 	 4.209e+05
6.150 	 1.398e+05 	 3.917e+05
6.250 	 -1.464e+05 	 3.601e+05
6.350 	 -6.998e+05 	 2.866e+05
6.450 	 6.177e+05 	 4.486e+05
6.550 	 -2.025e+05 	 3.604e+05
6.650 	 -1.322e+05 	 3.713e+05
6.750 	 -6.164e+04 	 3.819e+05
6.850 	 -3.475e+05 	 3.495e+05
6.950 	 -2.769e+05 	 3.608e+05
7.050 	 5.954e+05 	 4.578e+05
7.150 	 -3.140e+05 	 3.609e+05
7.250 	 -1.542e+05 	 3.824e+05
7.350 	 1.837e+05 	 4.219e+05
7.450 	 -1.293e+04 	 4.028e+05
7.550 	 1.470e+05 	 4.221e+05
7.650 	 -1.386e+05 	 3.930e+05
7.750 	 6.450e+05 	 4.753e+05
7.850 	 4.486e+05 	 4.584e+05
7.950 	 -1.932e+05 	 3.933e+05
8.050 	 1.214e+06 	 5.308e+05
8.150 	 1.268e+05 	 4.319e+05
8.250 	 4.650e+05 	 4.673e+05
8.350 	 3.580e+05 	 4.588e+05
8.450 	 1.231e+06 	 5.385e+05
8.550 	 2.330e+05 	 4.503e+05
8.650 	 3.934e+05 	 4.676e+05
8.750 	 1.975e+05 	 4.504e+05
8.850 	 -4.440e+05 	 3.840e+05
8.950 	 -1.054e+05 	 4.234e+05
9.050 	 2.335e+05 	 4.594e+05
9.150 	 7.504e+05 	 5.087e+05
9.250 	 7.327e+05 	 5.088e+05
9.350 	 8.043e+05 	 5.166e+05
9.450 	 1.767e+06 	 5.952e+05
9.550 	 1.749e+06 	 5.952e+05
9.650 	 3.063e+05 	 4.769e+05
9.750 	 1.358e+06 	 5.681e+05
9.850 	 1.429e+06 	 5.751e+05
9.950 	 2.392e+06 	 6.466e+05
10.050 	 4.156e+06 	 7.596e+05
10.150 	 3.782e+06 	 7.384e+05
10.250 	 5.903e+06 	 8.578e+05
10.350 	 8.469e+06 	 9.829e+05
10.450 	 7.383e+06 	 9.332e+05
