WRF ANALYSIS
Date & time = ,2022-12-07, 14:54
Display format=,3
Program version:,2021-05-25

Scan file = ,O105762_TIM2_G095_wa0512_3.5hr_s2
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,13425925-g095 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(21-74),(0-59),-1.205,1.180,-0.974,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,13,15,14.20,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.150,10.37

Fit limits (MeV):,5.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.253,1.741,2.791e+07
Uncertainties
    Random:, 0.157,0.396,61.04%
    Systematic calib:, 0.061,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.113,0.396,3.13%
     DvE:, 0.100,0.027,60.96%
     Dmax:, 0.015,0.000,0.66%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.038,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 -2.550e+05 	 9.833e+05
4.650 	 -1.842e+05 	 5.662e+05
4.750 	 2.209e+05 	 3.660e+05
4.850 	 9.851e+04 	 2.531e+05
4.950 	 3.099e+04 	 1.833e+05
5.050 	 -1.533e+05 	 1.833e+05
5.150 	 4.049e+05 	 2.725e+05
5.250 	 -1.410e+05 	 1.372e+05
5.350 	 2.835e+05 	 2.086e+05
5.450 	 7.352e+04 	 1.480e+05
5.550 	 7.168e+04 	 1.480e+05
5.650 	 6.983e+04 	 1.480e+05
5.750 	 6.800e+04 	 1.480e+05
5.850 	 1.702e+05 	 1.810e+05
5.950 	 5.845e+05 	 2.758e+05
6.050 	 2.706e+05 	 2.088e+05
6.150 	 4.769e+05 	 2.554e+05
6.250 	 2.670e+05 	 2.088e+05
6.350 	 5.773e+05 	 2.758e+05
6.450 	 4.715e+05 	 2.555e+05
6.550 	 5.738e+05 	 2.758e+05
6.650 	 3.639e+05 	 2.333e+05
6.750 	 5.004e+04 	 1.483e+05
6.850 	 5.685e+05 	 2.759e+05
6.950 	 2.546e+05 	 2.089e+05
7.050 	 5.650e+05 	 2.759e+05
7.150 	 3.551e+05 	 2.334e+05
7.250 	 3.534e+05 	 2.334e+05
7.350 	 6.637e+05 	 2.949e+05
7.450 	 1.390e+06 	 4.034e+05
7.550 	 9.724e+05 	 3.456e+05
7.650 	 1.283e+06 	 3.898e+05
7.750 	 5.528e+05 	 2.760e+05
7.850 	 1.175e+06 	 3.757e+05
7.950 	 1.069e+06 	 3.610e+05
8.050 	 1.484e+06 	 4.167e+05
8.150 	 1.378e+06 	 4.035e+05
8.250 	 2.625e+06 	 5.410e+05
8.350 	 1.895e+06 	 4.658e+05
8.450 	 1.685e+06 	 4.419e+05
8.550 	 1.892e+06 	 4.658e+05
8.650 	 2.410e+06 	 5.207e+05
8.750 	 3.865e+06 	 6.501e+05
8.850 	 1.782e+06 	 4.541e+05
8.950 	 2.197e+06 	 4.995e+05
9.050 	 2.091e+06 	 4.885e+05
9.150 	 2.090e+06 	 4.885e+05
9.250 	 3.857e+06 	 6.501e+05
9.350 	 3.959e+06 	 6.584e+05
9.450 	 2.813e+06 	 5.608e+05
9.550 	 4.268e+06 	 6.827e+05
9.650 	 3.330e+06 	 6.071e+05
9.750 	 3.640e+06 	 6.333e+05
9.850 	 4.263e+06 	 6.827e+05
9.950 	 4.469e+06 	 6.984e+05
10.050 	 4.467e+06 	 6.984e+05
10.150 	 4.050e+06 	 6.666e+05
10.250 	 5.401e+06 	 7.649e+05
10.350 	 5.711e+06 	 7.859e+05
10.450 	 5.813e+06 	 7.928e+05
