Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.549999999999999822e+00,-1.225000000000000000e+05,4.752000000000000000e+05
4.650000000000000355e+00,9.033000000000000000e+05,5.752000000000000000e+05
4.750000000000000000e+00,1.625000000000000000e+05,2.429000000000000000e+05
4.849999999999999645e+00,-6.690000000000000000e+04,1.831000000000000000e+05
4.950000000000000178e+00,2.973000000000000000e+05,2.586000000000000000e+05
5.049999999999999822e+00,6.929000000000000000e+04,1.417000000000000000e+05
5.150000000000000355e+00,4.914000000000000000e+05,2.824000000000000000e+05
5.250000000000000000e+00,2.083000000000000000e+05,1.999000000000000000e+05
5.349999999999999645e+00,6.614000000000000000e+04,1.417000000000000000e+05
5.450000000000000178e+00,6.510000000000000000e+04,1.417000000000000000e+05
5.549999999999999822e+00,2.051000000000000000e+05,2.000000000000000000e+05
5.650000000000000355e+00,3.452000000000000000e+05,2.447000000000000000e+05
5.750000000000000000e+00,4.852000000000000000e+05,2.825000000000000000e+05
5.849999999999999645e+00,1.048000000000000000e+06,3.993000000000000000e+05
5.950000000000000178e+00,2.010000000000000000e+05,2.000000000000000000e+05
6.049999999999999822e+00,1.999000000000000000e+05,2.000000000000000000e+05
6.150000000000000355e+00,5.786000000000000000e+04,1.419000000000000000e+05
6.250000000000000000e+00,-8.423000000000000000e+04,1.419000000000000000e+05
6.349999999999999645e+00,4.790000000000000000e+05,2.826000000000000000e+05
6.450000000000000178e+00,4.780000000000000000e+05,2.826000000000000000e+05
6.549999999999999822e+00,4.770000000000000000e+05,2.826000000000000000e+05
6.650000000000000355e+00,6.171000000000000000e+05,3.158000000000000000e+05
6.750000000000000000e+00,7.572000000000000000e+05,3.459000000000000000e+05
6.849999999999999645e+00,8.973000000000000000e+05,3.736000000000000000e+05
6.950000000000000178e+00,4.731000000000000000e+05,2.826000000000000000e+05
7.049999999999999822e+00,1.899000000000000000e+05,2.002000000000000000e+05
7.150000000000000355e+00,4.711000000000000000e+05,2.826000000000000000e+05
7.250000000000000000e+00,1.034000000000000000e+06,3.994000000000000000e+05
7.349999999999999645e+00,8.923000000000000000e+05,3.736000000000000000e+05
7.450000000000000178e+00,6.092000000000000000e+05,3.159000000000000000e+05
7.549999999999999822e+00,4.392000000000000000e+04,1.421000000000000000e+05
7.650000000000000355e+00,1.313000000000000000e+06,4.465000000000000000e+05
7.750000000000000000e+00,7.473000000000000000e+05,3.460000000000000000e+05
7.849999999999999645e+00,3.231000000000000000e+05,2.450000000000000000e+05
7.950000000000000178e+00,3.222000000000000000e+05,2.450000000000000000e+05
8.050000000000000711e+00,6.033000000000000000e+05,3.160000000000000000e+05
8.150000000000000355e+00,8.845000000000000000e+05,3.737000000000000000e+05
8.250000000000000000e+00,7.424000000000000000e+05,3.461000000000000000e+05
8.349999999999999645e+00,6.004000000000000000e+05,3.160000000000000000e+05
8.449999999999999289e+00,5.995000000000000000e+05,3.160000000000000000e+05
8.550000000000000711e+00,1.304000000000000000e+06,4.465000000000000000e+05
8.650000000000000355e+00,8.797000000000000000e+05,3.737000000000000000e+05
8.750000000000000000e+00,1.020000000000000000e+06,3.995000000000000000e+05
8.849999999999999645e+00,8.778000000000000000e+05,3.738000000000000000e+05
8.949999999999999289e+00,1.159000000000000000e+06,4.237000000000000000e+05
9.050000000000000711e+00,1.158000000000000000e+06,4.237000000000000000e+05
9.150000000000000355e+00,1.157000000000000000e+06,4.237000000000000000e+05
9.250000000000000000e+00,1.438000000000000000e+06,4.683000000000000000e+05
9.349999999999999645e+00,1.578000000000000000e+06,4.891000000000000000e+05
9.449999999999999289e+00,1.154000000000000000e+06,4.237000000000000000e+05
9.550000000000000711e+00,1.435000000000000000e+06,4.683000000000000000e+05
9.650000000000000355e+00,1.435000000000000000e+06,4.683000000000000000e+05
9.750000000000000000e+00,1.293000000000000000e+06,4.466000000000000000e+05
9.849999999999999645e+00,1.009000000000000000e+06,3.996000000000000000e+05
9.949999999999999289e+00,1.432000000000000000e+06,4.684000000000000000e+05
1.005000000000000071e+01,1.572000000000000000e+06,4.892000000000000000e+05
1.015000000000000036e+01,1.712000000000000000e+06,5.091000000000000000e+05
1.025000000000000000e+01,8.646000000000000000e+05,3.739000000000000000e+05
1.034999999999999964e+01,1.005000000000000000e+06,3.996000000000000000e+05
1.044999999999999929e+01,8.628000000000000000e+05,3.739000000000000000e+05
1.055000000000000071e+01,2.132000000000000000e+06,5.647000000000000000e+05
1.065000000000000036e+01,1.707000000000000000e+06,5.091000000000000000e+05
1.075000000000000000e+01,2.412000000000000000e+06,5.989000000000000000e+05
1.084999999999999964e+01,1.282000000000000000e+06,4.467000000000000000e+05
1.094999999999999929e+01,1.846000000000000000e+06,5.283000000000000000e+05
1.105000000000000071e+01,8.573000000000000000e+05,3.740000000000000000e+05
1.115000000000000036e+01,2.408000000000000000e+06,5.990000000000000000e+05
1.125000000000000000e+01,8.555000000000000000e+05,3.740000000000000000e+05
1.134999999999999964e+01,1.842000000000000000e+06,5.284000000000000000e+05
1.144999999999999929e+01,1.277000000000000000e+06,4.467000000000000000e+05
1.155000000000000071e+01,1.981000000000000000e+06,5.469000000000000000e+05
1.165000000000000036e+01,1.839000000000000000e+06,5.284000000000000000e+05
1.175000000000000000e+01,1.415000000000000000e+06,4.685000000000000000e+05
1.184999999999999964e+01,2.120000000000000000e+06,5.648000000000000000e+05
1.194999999999999929e+01,2.401000000000000000e+06,5.990000000000000000e+05
1.205000000000000071e+01,1.130000000000000000e+06,4.239000000000000000e+05
1.215000000000000036e+01,2.117000000000000000e+06,5.648000000000000000e+05
1.225000000000000000e+01,1.834000000000000000e+06,5.284000000000000000e+05
1.234999999999999964e+01,2.115000000000000000e+06,5.649000000000000000e+05
1.244999999999999929e+01,1.691000000000000000e+06,5.093000000000000000e+05
1.255000000000000071e+01,2.795000000000000000e+05,2.457000000000000000e+05
1.265000000000000036e+01,1.125000000000000000e+06,4.240000000000000000e+05
1.275000000000000000e+01,1.547000000000000000e+06,4.894000000000000000e+05
1.284999999999999964e+01,1.405000000000000000e+06,4.686000000000000000e+05
1.294999999999999929e+01,1.687000000000000000e+06,5.093000000000000000e+05
1.305000000000000071e+01,1.545000000000000000e+06,4.894000000000000000e+05
1.315000000000000036e+01,1.544000000000000000e+06,4.894000000000000000e+05
1.325000000000000000e+01,9.786000000000000000e+05,3.999000000000000000e+05
1.334999999999999964e+01,9.777000000000000000e+05,3.999000000000000000e+05
1.344999999999999929e+01,9.768000000000000000e+05,3.999000000000000000e+05
1.355000000000000071e+01,5.528000000000000000e+05,3.166000000000000000e+05
1.365000000000000036e+01,8.340000000000000000e+05,3.743000000000000000e+05
1.375000000000000000e+01,6.921000000000000000e+05,3.467000000000000000e+05
1.384999999999999964e+01,8.323000000000000000e+05,3.743000000000000000e+05
1.394999999999999929e+01,4.082000000000000000e+05,2.835000000000000000e+05
1.405000000000000071e+01,9.716000000000000000e+05,4.000000000000000000e+05
1.415000000000000036e+01,5.475000000000000000e+05,3.167000000000000000e+05
1.425000000000000000e+01,5.466000000000000000e+05,3.167000000000000000e+05
1.434999999999999964e+01,1.226000000000000000e+05,2.016000000000000000e+05
1.444999999999999929e+01,4.038000000000000000e+05,2.836000000000000000e+05
1.455000000000000071e+01,1.208000000000000000e+05,2.016000000000000000e+05
1.465000000000000036e+01,5.432000000000000000e+05,3.168000000000000000e+05
1.475000000000000000e+01,-2.199000000000000000e+04,1.441000000000000000e+05
1.484999999999999964e+01,-2.286000000000000000e+04,1.441000000000000000e+05
1.494999999999999929e+01,-2.372000000000000000e+04,1.441000000000000000e+05
1.505000000000000071e+01,1.165000000000000000e+05,2.017000000000000000e+05
1.515000000000000036e+01,1.156000000000000000e+05,2.017000000000000000e+05
1.525000000000000000e+01,1.148000000000000000e+05,2.018000000000000000e+05
1.534999999999999964e+01,-2.717000000000000000e+04,1.443000000000000000e+05
1.544999999999999929e+01,1.130000000000000000e+05,2.018000000000000000e+05
1.555000000000000071e+01,-2.889000000000000000e+04,1.443000000000000000e+05
1.565000000000000036e+01,-2.974000000000000000e+04,1.444000000000000000e+05
1.575000000000000000e+01,-1.717000000000000000e+05,1.444000000000000000e+05
1.584999999999999964e+01,-1.725000000000000000e+05,1.444000000000000000e+05
1.594999999999999929e+01,1.088000000000000000e+05,2.019000000000000000e+05
1.605000000000000071e+01,1.079000000000000000e+05,2.019000000000000000e+05
1.614999999999999858e+01,1.071000000000000000e+05,2.020000000000000000e+05
1.625000000000000000e+01,-3.484000000000000000e+04,1.446000000000000000e+05
1.635000000000000142e+01,-3.569000000000000000e+04,1.446000000000000000e+05
1.644999999999999929e+01,-1.776000000000000000e+05,1.446000000000000000e+05
1.655000000000000071e+01,3.858000000000000000e+05,2.840000000000000000e+05
1.664999999999999858e+01,-1.793000000000000000e+05,1.447000000000000000e+05
1.675000000000000000e+01,-3.907000000000000000e+04,1.447000000000000000e+05
1.685000000000000142e+01,-3.991000000000000000e+04,1.448000000000000000e+05
1.694999999999999929e+01,-4.076000000000000000e+04,1.448000000000000000e+05
1.705000000000000071e+01,9.947000000000000000e+04,2.022000000000000000e+05
1.714999999999999858e+01,-1.835000000000000000e+05,1.449000000000000000e+05
1.725000000000000000e+01,2.389000000000000000e+05,2.466000000000000000e+05
