WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
O105748 TIM2,11960000.0,2028416.0,12.96,0.21828650897387133,1.366,0.274,71.47185430463571,11.00514974213742,nan,nan
O105748 TIM4,15630000.0,9476469.0,11.122,0.2754723216586378,1.827,0.33,128.45847682119205,15.246145169642617,nan,nan
O105750 TIM2,192300000.0,81439050.0,12.956,0.2186000914912892,1.544,0.041,71.60396026490066,11.022394694523975,nan,nan
O105750 TIM4,237800000.0,39189440.0,13.375,0.21311030007955978,1.467,0.004,57.6235,10.206343589321982,nan,nan
O105751 TIM2,17960000.0,4802504.0,12.798,0.22493110056192764,1.511,0.301,76.7795,11.472942792287725,nan,nan
O105751 TIM4,63190000.0,60346450.0,10.883,0.2526855753698656,1.598,0.359,135.33211920529803,14.904843882632733,nan,nan
O105752 TIM2,116300000.0,51230150.0,13.682,0.22111761576138617,1.447,0.053,47.15074999999997,9.977621585483412,nan,nan
O105752 TIM4,167000000.0,25116800.0,11.857,0.2159097033484137,1.854,0.03,106.51690789473686,12.570824055553047,nan,nan
O105753 TIM2,6951000.0,7137981.9,12.559,0.5230066921177969,1.522,1.514,84.51976315789477,21.053182196512417,nan,nan
O105753 TIM4,9539000.0,9872865.0,10.586,0.34759890678769406,1.782,1.759,143.7176158940397,17.811139037655124,nan,nan
O105756 TIM2,19480000.0,6646576.0,10.687,0.25405708020049356,1.951,4.331,140.88986842105263,15.184565979092213,nan,nan
O105756 TIM4,16170000.0,3667356.0,10.188,0.25856527222347553,2.118,2.831,154.6701324503311,15.893715092907115,nan,nan
O105757 TIM2,112200000.0,38888519.99999999,13.445,0.2177911843945939,1.529,0.022,55.26099999999998,10.255483305814636,nan,nan
O105757 TIM4,203300000.0,34113740.0,11.828,0.2159097033484137,1.865,0.03,107.40407894736842,12.610081200899828,nan,nan
O105758 TIM2,80020000.0,33728430.0,10.5,0.22360903380677624,1.831,0.194,146.1153642384106,14.600338812273122,nan,nan
O105758 TIM4,83230000.0,44469789.0,10.003,0.23517015116719214,2.141,0.245,159.6298684210526,15.512628576717276,nan,nan
O105760 TIM2,257300000.0,89591860.0,12.133,0.21699078321440293,1.544,0.056,97.99015789473688,12.209154318229011,nan,nan
O105760 TIM4,106000000.0,18274399.999999996,12.822,0.21620823296072703,1.503,0.047,75.99950000000003,11.168251258565803,nan,nan
O105762 TIM2,27910000.0,17036264.0,11.253,0.2614765763887848,1.741,0.396,124.62697368421053,14.692310890333445,nan,nan
O105762 TIM4,18050000.0,13261335.0,10.165,0.3632795067162473,1.962,0.714,155.29615894039736,18.65307318893494,nan,nan
O105767 TIM2,1705000.0,5732892.0,10.745,0.9621278501321953,1.432,2.713,139.26434210526315,34.765028138855214,nan,nan
O105767 TIM4,2830000.0,5397942.0,10.397,0.6471236357914922,2.047,4.419,148.96118421052634,26.035966491744247,nan,nan
