WRF ANALYSIS
Date & time = ,2023-04-12, 14:44
Display format=,3
Program version:,2021-05-25

Scan file = ,O106041_WRF_TIM2_WA0483_2.5h_s8_40x
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,13425848-g018 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(33-63),-1.122,1.148,0.059,1.000
Back x0; x1; y0; y1 (cm) =,0,11,33,63,
C; e; Dmax; dDmax; Dscale =,16,15,9.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.384,0.072,0.20

Fit limits (MeV):,10.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.657,1.450,1.404e+08
Uncertainties
    Random:, 0.049,0.015,29.97%
    Systematic calib:, 0.053,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.013,0.014,3.60%
     DvE:, 0.023,0.005,29.74%
     Dmax:, 0.022,0.000,0.80%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.032,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 -4.140e+06 	 3.158e+06
4.750 	 -1.984e+06 	 1.786e+06
4.850 	 9.541e+05 	 2.179e+06
4.950 	 5.953e+04 	 1.416e+06
5.050 	 1.262e+06 	 1.404e+06
5.150 	 4.488e+04 	 1.234e+06
5.250 	 -1.018e+04 	 1.234e+06
5.350 	 -4.523e+05 	 1.172e+06
5.450 	 6.541e+05 	 1.351e+06
5.550 	 2.123e+05 	 1.294e+06
5.650 	 1.706e+06 	 1.508e+06
5.750 	 4.904e+05 	 1.351e+06
5.850 	 8.230e+05 	 1.406e+06
5.950 	 1.156e+06 	 1.459e+06
6.050 	 1.489e+06 	 1.509e+06
6.150 	 2.596e+06 	 1.652e+06
6.250 	 -1.666e+05 	 1.296e+06
6.350 	 -6.068e+05 	 1.237e+06
6.450 	 8.888e+05 	 1.460e+06
6.550 	 -3.244e+05 	 1.297e+06
6.650 	 3.969e+05 	 1.408e+06
6.750 	 3.447e+05 	 1.409e+06
6.850 	 1.066e+06 	 1.511e+06
6.950 	 -9.210e+05 	 1.239e+06
7.050 	 5.751e+05 	 1.462e+06
7.150 	 1.358e+05 	 1.410e+06
7.250 	 3.181e+06 	 1.785e+06
7.350 	 -7.419e+05 	 1.300e+06
7.450 	 -1.971e+04 	 1.411e+06
7.550 	 -7.108e+04 	 1.411e+06
7.650 	 2.200e+06 	 1.700e+06
7.750 	 -1.738e+05 	 1.412e+06
7.850 	 9.361e+05 	 1.563e+06
