WRF ANALYSIS
Date & time = ,2023-04-12, 15:29
Display format=,3
Program version:,2021-05-25

Scan file = ,O106044_WRF_TIM2_WA0481_4h_s7_40x
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,13425927-g097 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(33-63),-1.122,1.148,0.059,1.000
Back x0; x1; y0; y1 (cm) =,0,11,33,63,
C; e; Dmax; dDmax; Dscale =,12,15,14.35,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,16.50,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,7.27

Fit limits (MeV):,9.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.831,1.435,1.163e+07
Uncertainties
    Random:, 0.306,0.566,289.48%
    Systematic calib:, 0.052,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.196,0.564,12.86%
     DvE:, 0.232,0.051,289.20%
     Dmax:, 0.014,0.000,0.49%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.032,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 -1.531e+05 	 6.185e+05
5.100 	 -1.647e+05 	 2.886e+05
5.300 	 -1.580e+05 	 1.626e+05
5.500 	 -1.307e+05 	 1.267e+05
5.700 	 -9.675e+03 	 1.269e+05
5.900 	 -1.377e+05 	 1.270e+05
6.100 	 -1.413e+05 	 1.271e+05
6.300 	 1.043e+05 	 1.780e+05
6.500 	 -1.482e+05 	 1.274e+05
6.700 	 -2.703e+04 	 1.275e+05
6.900 	 -3.043e+04 	 1.276e+05
7.100 	 9.072e+04 	 1.784e+05
7.300 	 4.610e+05 	 2.800e+05
7.500 	 -1.651e+05 	 1.280e+05
7.700 	 8.063e+04 	 1.787e+05
7.900 	 2.018e+05 	 2.179e+05
8.100 	 -5.057e+04 	 1.285e+05
8.300 	 -5.388e+04 	 1.286e+05
8.500 	 6.738e+04 	 1.791e+05
8.700 	 6.411e+04 	 1.792e+05
8.900 	 -1.882e+05 	 1.290e+05
9.100 	 4.313e+05 	 2.806e+05
9.300 	 -1.947e+05 	 1.294e+05
9.500 	 -7.334e+04 	 1.295e+05
9.700 	 4.800e+04 	 1.798e+05
9.900 	 1.693e+05 	 2.188e+05
10.100 	 -2.075e+05 	 1.300e+05
10.300 	 3.846e+04 	 1.801e+05
10.500 	 3.530e+04 	 1.803e+05
10.700 	 5.303e+05 	 3.075e+05
10.900 	 1.536e+05 	 2.193e+05
11.100 	 7.731e+05 	 3.545e+05
11.300 	 1.144e+06 	 4.151e+05
11.500 	 1.390e+06 	 4.509e+05
11.700 	 2.383e+06 	 5.722e+05
11.900 	 2.255e+06 	 5.586e+05
12.100 	 1.380e+06 	 4.511e+05
12.300 	 1.751e+06 	 5.001e+05
12.500 	 2.495e+06 	 5.858e+05
12.700 	 2.492e+06 	 5.858e+05
12.900 	 2.115e+06 	 5.447e+05
13.100 	 2.237e+06 	 5.588e+05
13.300 	 1.736e+06 	 5.003e+05
13.500 	 2.355e+06 	 5.726e+05
13.700 	 3.100e+06 	 6.489e+05
13.900 	 1.851e+06 	 5.157e+05
14.100 	 2.347e+06 	 5.728e+05
14.300 	 2.344e+06 	 5.728e+05
14.500 	 2.216e+06 	 5.592e+05
14.700 	 2.711e+06 	 6.122e+05
14.900 	 3.705e+06 	 7.063e+05
15.100 	 2.456e+06 	 5.864e+05
15.300 	 2.702e+06 	 6.123e+05
15.500 	 2.326e+06 	 5.731e+05
15.700 	 1.825e+06 	 5.162e+05
15.900 	 1.697e+06 	 5.010e+05
16.100 	 1.570e+06 	 4.853e+05
16.300 	 5.706e+05 	 3.339e+05
16.500 	 9.413e+05 	 3.976e+05
16.700 	 6.663e+04 	 2.226e+05
16.900 	 4.374e+05 	 3.101e+05
17.100 	 6.088e+04 	 2.229e+05
17.300 	 3.071e+05 	 2.842e+05
17.500 	 -6.940e+04 	 1.852e+05
17.700 	 -7.225e+04 	 1.853e+05
17.900 	 2.985e+05 	 2.845e+05
18.100 	 4.658e+04 	 2.236e+05
18.300 	 4.174e+05 	 3.108e+05
18.500 	 -8.364e+04 	 1.860e+05
18.700 	 1.626e+05 	 2.563e+05
18.900 	 -2.138e+05 	 1.386e+05
19.100 	 7.610e+05 	 3.762e+05
19.300 	 0.000e+00 	 0.000e+00
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
