WRF ANALYSIS
Date & time = ,2023-04-12, 16:20
Display format=,3
Program version:,2021-05-25

Scan file = ,O106045_WRF_TIM6_WA0510_4.5h_s8_40x
Port & distance (cm) =,tim6,10.5
WRF ID; Al blast(um) & cal=,g167 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(33-63),-1.122,1.148,0.059,1.000
Back x0; x1; y0; y1 (cm) =,0,10,33,63,
Back x0; x1; y0; y1 (cm) =,67,77,33,63,
C; e; Dmax; dDmax; Dscale =,13,15,15.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.100,0.300,10.36

Fit limits (MeV):,9.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.924,1.556,4.331e+06
Uncertainties
    Random:, 0.463,1.844,145.58%
    Systematic calib:, 0.052,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.404,1.836,21.96%
     DvE:, 0.223,0.171,143.92%
     Dmax:, 0.013,0.000,0.45%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.031,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 -6.635e+04 	 8.268e+05
5.300 	 -6.134e+04 	 3.220e+05
5.500 	 -6.990e+04 	 1.698e+05
5.700 	 5.720e+04 	 1.301e+05
5.900 	 2.584e+04 	 1.020e+05
6.100 	 1.246e+05 	 1.434e+05
6.300 	 -7.866e+04 	 1.021e+05
6.500 	 1.209e+05 	 1.435e+05
6.700 	 1.190e+05 	 1.435e+05
6.900 	 -8.423e+04 	 1.023e+05
7.100 	 -8.607e+04 	 1.024e+05
7.300 	 1.280e+04 	 1.025e+05
7.500 	 1.117e+05 	 1.437e+05
7.700 	 -9.155e+04 	 1.026e+05
7.900 	 1.081e+05 	 1.438e+05
8.100 	 5.534e+03 	 1.028e+05
8.300 	 3.738e+03 	 1.029e+05
8.500 	 -9.876e+04 	 1.029e+05
8.700 	 1.766e+02 	 1.030e+05
8.900 	 1.998e+05 	 1.758e+05
9.100 	 1.981e+05 	 1.759e+05
9.300 	 -5.093e+03 	 1.033e+05
9.500 	 -1.075e+05 	 1.033e+05
9.700 	 -1.093e+05 	 1.034e+05
9.900 	 9.039e+04 	 1.444e+05
10.100 	 1.894e+05 	 1.761e+05
10.300 	 2.884e+05 	 2.029e+05
10.500 	 3.873e+05 	 2.266e+05
10.700 	 1.842e+05 	 1.763e+05
10.900 	 8.181e+04 	 1.447e+05
11.100 	 2.815e+05 	 2.031e+05
11.300 	 2.798e+05 	 2.032e+05
11.500 	 6.810e+05 	 2.861e+05
11.700 	 6.793e+05 	 2.861e+05
11.900 	 4.762e+05 	 2.482e+05
12.100 	 5.753e+05 	 2.679e+05
12.300 	 4.729e+05 	 2.483e+05
12.500 	 5.719e+05 	 2.680e+05
12.700 	 4.696e+05 	 2.484e+05
12.900 	 6.693e+05 	 2.864e+05
13.100 	 4.663e+05 	 2.485e+05
13.300 	 7.668e+05 	 3.036e+05
13.500 	 9.665e+05 	 3.354e+05
13.700 	 4.614e+05 	 2.486e+05
13.900 	 1.366e+06 	 3.913e+05
14.100 	 7.602e+05 	 3.038e+05
14.300 	 1.161e+06 	 3.645e+05
14.500 	 1.361e+06 	 3.914e+05
14.700 	 9.568e+05 	 3.356e+05
14.900 	 1.559e+06 	 4.166e+05
15.100 	 8.529e+05 	 3.203e+05
15.300 	 3.478e+05 	 2.278e+05
15.500 	 8.497e+05 	 3.203e+05
15.700 	 8.481e+05 	 3.204e+05
15.900 	 1.048e+06 	 3.507e+05
16.100 	 7.442e+05 	 3.043e+05
16.300 	 3.771e+04 	 1.470e+05
16.500 	 4.390e+05 	 2.494e+05
16.700 	 2.360e+05 	 2.048e+05
16.900 	 2.344e+05 	 2.049e+05
17.100 	 3.144e+04 	 1.475e+05
17.300 	 -7.083e+04 	 1.079e+05
17.500 	 -7.238e+04 	 1.080e+05
17.700 	 -7.394e+04 	 1.082e+05
17.900 	 -7.549e+04 	 1.084e+05
18.100 	 -7.704e+04 	 1.086e+05
18.300 	 1.228e+05 	 1.792e+05
18.500 	 2.058e+04 	 1.484e+05
18.700 	 -1.824e+05 	 1.091e+05
18.900 	 2.189e+05 	 2.059e+05
19.100 	 -8.473e+04 	 1.095e+05
19.300 	 1.341e+05 	 2.556e+05
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
