WRF ANALYSIS
Date & time = ,2023-04-12, 16:26
Display format=,3
Program version:,2021-05-25

Scan file = ,O106046_WRF_TIM1_WA0489_5h_s8_40x
Port & distance (cm) =,tim1,10.5
WRF ID; Al blast(um) & cal=,g157 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(33-63),-1.122,1.148,0.059,1.000
Back x0; x1; y0; y1 (cm) =,0,10,33,63,
Back x0; x1; y0; y1 (cm) =,67,77,33,63,
C; e; Dmax; dDmax; Dscale =,10,15,16.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.300,0.300,12.12

Fit limits (MeV):,10.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.823,1.448,9.497e+06
Uncertainties
    Random:, 0.343,0.848,193.85%
    Systematic calib:, 0.052,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.292,0.847,14.63%
     DvE:, 0.177,0.038,193.30%
     Dmax:, 0.012,0.000,0.42%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.032,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 -2.478e+05 	 2.704e+06
5.100 	 -1.487e+05 	 4.529e+05
5.300 	 1.064e+05 	 2.289e+05
5.500 	 -1.144e+05 	 1.720e+05
5.700 	 -1.122e+05 	 1.326e+05
5.900 	 -1.152e+05 	 1.327e+05
6.100 	 1.234e+04 	 1.328e+05
6.300 	 9.361e+03 	 1.329e+05
6.500 	 1.370e+05 	 1.864e+05
6.700 	 -1.270e+05 	 1.332e+05
6.900 	 1.311e+05 	 1.866e+05
7.100 	 -1.329e+05 	 1.334e+05
7.300 	 -1.358e+05 	 1.335e+05
7.500 	 -1.387e+05 	 1.336e+05
7.700 	 -1.417e+05 	 1.338e+05
7.900 	 -1.403e+04 	 1.339e+05
8.100 	 -1.693e+04 	 1.340e+05
8.300 	 -1.982e+04 	 1.342e+05
8.500 	 2.384e+05 	 2.283e+05
8.700 	 -2.558e+04 	 1.344e+05
8.900 	 2.326e+05 	 2.285e+05
9.100 	 9.925e+04 	 1.876e+05
9.300 	 -1.647e+05 	 1.349e+05
9.500 	 2.241e+05 	 2.287e+05
9.700 	 -3.984e+04 	 1.352e+05
9.900 	 8.785e+04 	 1.880e+05
10.100 	 -4.553e+04 	 1.355e+05
10.300 	 -4.836e+04 	 1.356e+05
10.500 	 3.404e+05 	 2.637e+05
10.700 	 7.650e+04 	 1.884e+05
10.900 	 4.653e+05 	 2.944e+05
11.100 	 5.930e+05 	 3.221e+05
11.300 	 6.801e+04 	 1.888e+05
11.500 	 1.371e+06 	 4.540e+05
11.700 	 1.759e+06 	 5.072e+05
11.900 	 2.018e+06 	 5.398e+05
12.100 	 2.406e+06 	 5.853e+05
12.300 	 2.403e+06 	 5.853e+05
12.500 	 1.748e+06 	 5.074e+05
12.700 	 2.006e+06 	 5.400e+05
12.900 	 8.286e+05 	 3.718e+05
13.100 	 1.870e+06 	 5.240e+05
13.300 	 1.737e+06 	 5.076e+05
13.500 	 6.896e+05 	 3.484e+05
13.700 	 1.078e+06 	 4.154e+05
13.900 	 1.859e+06 	 5.242e+05
14.100 	 2.509e+06 	 6.001e+05
14.300 	 2.636e+06 	 6.141e+05
14.500 	 2.895e+06 	 6.413e+05
14.700 	 3.153e+06 	 6.674e+05
14.900 	 2.497e+06 	 6.002e+05
15.100 	 1.320e+06 	 4.550e+05
15.300 	 1.447e+06 	 4.734e+05
15.500 	 1.053e+06 	 4.160e+05
15.700 	 1.964e+06 	 5.407e+05
15.900 	 1.308e+06 	 4.552e+05
16.100 	 5.223e+05 	 3.241e+05
16.300 	 1.303e+06 	 4.554e+05
16.500 	 6.471e+05 	 3.496e+05
16.700 	 5.137e+05 	 3.244e+05
16.900 	 2.498e+05 	 2.669e+05
17.100 	 2.470e+05 	 2.670e+05
17.300 	 -1.698e+04 	 1.931e+05
17.500 	 1.107e+05 	 2.332e+05
17.700 	 1.078e+05 	 2.334e+05
17.900 	 -2.560e+04 	 1.936e+05
18.100 	 2.326e+05 	 2.677e+05
18.300 	 -1.619e+05 	 1.435e+05
18.500 	 -1.648e+05 	 1.438e+05
18.700 	 9.337e+04 	 2.341e+05
18.900 	 2.210e+05 	 2.682e+05
19.100 	 -4.296e+04 	 1.947e+05
19.300 	 -1.573e+05 	 5.707e+05
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
