WRF ANALYSIS
Date & time = ,2023-04-12, 16:38
Display format=,3
Program version:,2021-05-25

Scan file = ,O106046_WRF_TIM6_WA0504_5h_s8_40x
Port & distance (cm) =,tim6,10.5
WRF ID; Al blast(um) & cal=,g159 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(33-63),-1.122,1.148,0.059,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,16.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,16.81

Fit limits (MeV):,10.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.544,1.444,8.040e+06
Uncertainties
    Random:, 0.478,1.234,319.04%
    Systematic calib:, 0.053,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.311,1.234,8.50%
     DvE:, 0.361,0.021,318.92%
     Dmax:, 0.012,0.000,0.43%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.032,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 -1.508e+05 	 4.948e+05
5.300 	 -1.478e+05 	 3.147e+05
5.500 	 1.823e+04 	 1.533e+05
5.700 	 -3.061e+04 	 1.134e+05
5.900 	 -1.465e+05 	 1.135e+05
6.100 	 -1.387e+05 	 8.343e+04
6.300 	 -1.421e+05 	 8.350e+04
6.500 	 1.873e+04 	 1.171e+05
6.700 	 -6.671e+04 	 8.363e+04
6.900 	 -7.005e+04 	 8.370e+04
7.100 	 8.713e+03 	 1.173e+05
7.300 	 5.401e+03 	 1.173e+05
7.500 	 2.098e+03 	 1.174e+05
7.700 	 -8.329e+04 	 8.399e+04
7.900 	 -4.462e+03 	 1.175e+05
8.100 	 -1.719e+05 	 8.414e+04
8.300 	 -1.098e+04 	 1.176e+05
8.500 	 -9.630e+04 	 8.429e+04
8.700 	 -1.816e+05 	 8.437e+04
8.900 	 6.149e+04 	 1.436e+05
9.100 	 5.833e+04 	 1.436e+05
9.300 	 -2.693e+04 	 1.179e+05
9.500 	 5.201e+04 	 1.437e+05
9.700 	 -3.323e+04 	 1.180e+05
9.900 	 -1.185e+05 	 8.486e+04
10.100 	 2.068e+05 	 1.849e+05
10.300 	 -1.247e+05 	 8.504e+04
10.500 	 1.185e+05 	 1.657e+05
10.700 	 2.796e+05 	 2.024e+05
10.900 	 2.765e+05 	 2.024e+05
11.100 	 9.302e+05 	 3.081e+05
11.300 	 8.451e+05 	 2.970e+05
11.500 	 1.581e+06 	 3.858e+05
11.700 	 1.742e+06 	 4.029e+05
11.900 	 2.067e+06 	 4.351e+05
12.100 	 1.900e+06 	 4.194e+05
12.300 	 1.651e+06 	 3.945e+05
12.500 	 1.073e+06 	 3.294e+05
12.700 	 1.645e+06 	 3.946e+05
12.900 	 1.806e+06 	 4.113e+05
13.100 	 9.822e+05 	 3.191e+05
13.300 	 1.636e+06 	 3.946e+05
13.500 	 2.290e+06 	 4.579e+05
13.700 	 2.369e+06 	 4.652e+05
13.900 	 1.135e+06 	 3.396e+05
14.100 	 1.624e+06 	 3.947e+05
14.300 	 1.868e+06 	 4.196e+05
14.500 	 8.795e+05 	 3.085e+05
14.700 	 2.026e+06 	 4.354e+05
14.900 	 1.613e+06 	 3.948e+05
15.100 	 1.445e+06 	 3.774e+05
15.300 	 1.032e+06 	 3.298e+05
15.500 	 1.604e+06 	 3.949e+05
15.700 	 7.801e+05 	 2.976e+05
15.900 	 6.130e+05 	 2.740e+05
16.100 	 4.460e+05 	 2.483e+05
16.300 	 8.536e+05 	 3.088e+05
16.500 	 3.582e+05 	 2.344e+05
16.700 	 -5.511e+04 	 1.458e+05
16.900 	 1.883e+05 	 2.037e+05
17.100 	 5.139e+05 	 2.617e+05
17.300 	 1.006e+05 	 1.866e+05
17.500 	 1.799e+05 	 2.039e+05
17.700 	 -1.513e+05 	 1.209e+05
17.900 	 2.564e+05 	 2.199e+05
18.100 	 7.297e+03 	 1.678e+05
18.300 	 4.507e+03 	 1.678e+05
18.500 	 -2.446e+05 	 8.925e+04
18.700 	 -8.315e+04 	 1.465e+05
18.900 	 -8.592e+04 	 1.466e+05
19.100 	 -3.350e+05 	 8.961e+04
19.300 	 -3.206e+05 	 1.859e+05
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
