WRF ANALYSIS
Date & time = ,2023-04-12, 16:49
Display format=,3
Program version:,2021-05-25

Scan file = ,O106047_WRF_TIM6_WA0472_4h_s8_40x
Port & distance (cm) =,tim6,10.5
WRF ID; Al blast(um) & cal=,13425925-g095 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(33-63),-1.122,1.148,0.059,1.000
Back x0; x1; y0; y1 (cm) =,0,11,33,63,
Back x0; x1; y0; y1 (cm) =,67,77,33,63,
C; e; Dmax; dDmax; Dscale =,12,15,13.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.810,0.095,1.20

Fit limits (MeV):,10.000,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.281,1.397,8.178e+07
Uncertainties
    Random:, 0.091,0.428,54.20%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.081,0.428,15.90%
     DvE:, 0.010,0.015,51.82%
     Dmax:, 0.014,0.000,0.54%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.033,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 -5.796e+05 	 8.231e+05
5.100 	 1.798e+05 	 1.150e+06
5.300 	 1.377e+05 	 1.151e+06
5.500 	 -7.060e+05 	 8.272e+05
5.700 	 -7.478e+05 	 8.286e+05
5.900 	 -7.895e+05 	 8.300e+05
6.100 	 -1.633e+06 	 8.315e+05
6.300 	 -1.674e+06 	 8.329e+05
6.500 	 -1.111e+05 	 1.157e+06
6.700 	 -9.534e+05 	 8.360e+05
6.900 	 2.213e+06 	 1.809e+06
7.100 	 1.371e+06 	 1.622e+06
7.300 	 -1.075e+06 	 8.407e+05
7.500 	 -1.917e+06 	 8.424e+05
7.700 	 1.250e+06 	 1.625e+06
7.900 	 2.011e+06 	 1.813e+06
8.100 	 -1.236e+06 	 8.475e+05
8.300 	 3.279e+05 	 1.417e+06
8.500 	 -5.136e+05 	 1.169e+06
8.700 	 -5.533e+05 	 1.171e+06
8.900 	 -5.929e+05 	 1.172e+06
9.100 	 1.773e+06 	 1.818e+06
9.300 	 -1.473e+06 	 8.584e+05
9.500 	 -1.513e+06 	 8.603e+05
9.700 	 8.530e+05 	 1.635e+06
9.900 	 1.196e+04 	 1.426e+06
10.100 	 1.576e+06 	 1.822e+06
10.300 	 1.537e+06 	 1.823e+06
10.500 	 3.903e+06 	 2.293e+06
10.700 	 9.475e+06 	 3.124e+06
10.900 	 9.436e+06 	 3.125e+06
11.100 	 1.100e+07 	 3.324e+06
11.300 	 1.256e+07 	 3.513e+06
11.500 	 1.092e+07 	 3.326e+06
11.700 	 1.008e+07 	 3.228e+06
11.900 	 1.405e+07 	 3.693e+06
12.100 	 1.321e+07 	 3.606e+06
12.300 	 1.397e+07 	 3.694e+06
12.500 	 1.714e+07 	 4.028e+06
12.700 	 1.390e+07 	 3.695e+06
12.900 	 2.107e+07 	 4.410e+06
13.100 	 2.344e+07 	 4.623e+06
13.300 	 2.099e+07 	 4.410e+06
13.500 	 2.176e+07 	 4.483e+06
13.700 	 2.492e+07 	 4.762e+06
13.900 	 2.328e+07 	 4.625e+06
14.100 	 1.683e+07 	 4.032e+06
14.300 	 1.278e+07 	 3.612e+06
14.500 	 1.755e+07 	 4.112e+06
14.700 	 1.912e+07 	 4.266e+06
14.900 	 1.347e+07 	 3.702e+06
15.100 	 1.824e+07 	 4.191e+06
15.300 	 1.018e+07 	 3.338e+06
15.500 	 9.339e+06 	 3.241e+06
15.700 	 5.291e+06 	 2.702e+06
15.900 	 6.054e+06 	 2.819e+06
16.100 	 2.807e+06 	 2.320e+06
16.300 	 3.630e+05 	 1.860e+06
16.500 	 3.236e+05 	 1.861e+06
16.700 	 2.841e+05 	 1.862e+06
16.900 	 -5.571e+05 	 1.683e+06
17.100 	 -1.398e+06 	 1.481e+06
17.300 	 1.654e+05 	 1.867e+06
17.500 	 1.257e+05 	 1.869e+06
17.700 	 8.593e+04 	 1.870e+06
17.900 	 -1.557e+06 	 1.489e+06
18.100 	 -1.597e+06 	 1.492e+06
18.300 	 3.173e+06 	 2.467e+06
18.500 	 2.331e+06 	 2.335e+06
18.700 	 -1.717e+06 	 1.498e+06
18.900 	 6.476e+05 	 2.044e+06
19.100 	 1.037e+06 	 3.548e+06
19.300 	 0.000e+00 	 0.000e+00
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
