WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
O106041 TIM1,81430000.0,29640520.0,13.994,0.08481155581640984,1.35,0.035,3179.25,82.42500000000001,36.893434210526316,5.235168441421958,nan,inf,nan,inf,nan,nan
O106041 TIM2,140400000.0,42077880.0,13.657,0.07218032973047436,1.45,0.015,3414.75,35.324999999999996,48.79641447368419,5.559100902051306,nan,inf,nan,inf,nan,nan
O106041 TIM6,109600000.0,208437280.0,13.153,0.19080094339389414,1.488,0.039,3504.24,91.845,66.17536842105262,10.445780256876539,nan,inf,nan,inf,nan,nan
O106044 TIM1,6761000.0,19734006.8,13.385,0.6343027668235415,1.601,2.962,3770.355,6975.51,58.23552631578948,24.877048305424573,nan,inf,nan,inf,nan,nan
O106044 TIM2,11630000.0,33666524.0,13.831,0.3103868553917836,1.435,0.566,3379.425,1332.9299999999998,42.686788079470226,13.183280250327236,nan,inf,nan,inf,nan,nan
O106044 TIM6,10380000.0,4017060.0,13.147,0.19080094339389414,1.523,0.329,3586.665,774.7950000000001,66.37778947368422,10.455767098981802,nan,inf,nan,inf,nan,nan
O106045 TIM6,4331000.0,6305069.8,13.924,0.4659109356947957,1.556,1.844,3664.38,4342.62,39.38374834437088,18.7481503367912,nan,inf,nan,inf,nan,nan
O106046 TIM1,9497000.0,18409934.5,13.823,0.3469192989731186,1.448,0.848,3410.04,1997.04,42.97092052980132,14.51588328206374,nan,inf,nan,inf,nan,nan
O106046 TIM2,5923000.0,17825268.5,13.659,0.33916662571662326,1.294,0.726,3047.37,1709.73,48.72645394736838,14.38674425244615,nan,inf,nan,inf,nan,nan
O106046 TIM6,8040000.0,25650816.0,13.544,0.48092930873466216,1.444,1.234,3400.62,2906.07,52.7412516556291,19.46609432895407,nan,inf,nan,inf,nan,nan
O106047 TIM1,34170000.0,11402529.0,13.633,0.09430270409696638,1.4,0.501,3297.0,1179.855,49.6356821192053,6.337036894477897,nan,inf,nan,inf,nan,nan
O106047 TIM2,7879000.0,22601699.4,13.587,0.30661539426454115,1.441,1.2,3393.5550000000003,2826.0,51.24080794701985,13.42830138987474,nan,inf,nan,inf,nan,nan
O106047 TIM6,81780000.0,44324760.0,13.281,0.1058158778255891,1.397,0.428,3289.935,1007.9399999999999,61.804119205298,7.454121865822692,nan,inf,nan,inf,nan,nan
O106048 TIM1,6603000.0,21124977.9,13.509,0.5684760329160764,1.576,0.555,3711.48,1307.025,53.96254304635759,22.552376679383208,nan,inf,nan,inf,nan,nan
O106048 TIM2,8008000.0,23447424.0,13.903,0.5803343863670323,1.425,2.808,3355.875,6612.839999999999,40.129596026490056,22.857114934799426,nan,inf,nan,inf,nan,nan
O106048 TIM6,6674000.0,19810434.2,13.737,0.3538417725481264,1.693,0.619,3987.0150000000003,1457.745,45.99799342105263,14.82057013412689,nan,inf,nan,inf,nan,nan
