WRF ANALYSIS
Date & time = ,2023-02-03, 09:18
Display format=,3
Program version:,2021-05-25

Scan file = ,O106722_NDI-P2_G168_wa0846_5hr_40x_s6
Port & distance (cm) =,ndip2,26.0
WRF ID; Al blast(um) & cal=,g168 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-75),(0-60),-1.169,1.196,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,60,
C; e; Dmax; dDmax; Dscale =,13,15,19.15,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.30,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.249,0.027,1.63

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.049,0.263,9.806e+07
Value (raw stats):, 15.055,0.248,9.799e+07
Uncertainties
    Random:, 0.037,0.010,9.97%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.008,0.010,4.10%
     DvE:, 0.014,0.002,9.08%
     Dmax:, 0.010,0.000,0.31%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 -2.276e+05 	 2.951e+07
4.575 	 -3.013e+05 	 1.292e+07
4.625 	 -2.928e+05 	 7.472e+06
4.675 	 -2.951e+05 	 7.472e+06
4.725 	 -2.315e+05 	 4.847e+06
4.775 	 -2.333e+05 	 4.847e+06
4.825 	 -2.171e+05 	 3.356e+06
4.875 	 -2.187e+05 	 3.356e+06
4.925 	 -1.795e+05 	 2.430e+06
4.975 	 -1.808e+05 	 2.430e+06
5.025 	 -1.822e+05 	 2.430e+06
5.075 	 -1.831e+05 	 1.818e+06
5.125 	 -1.845e+05 	 1.818e+06
5.175 	 -1.858e+05 	 1.818e+06
5.225 	 -1.871e+05 	 1.818e+06
5.275 	 -1.686e+05 	 1.395e+06
5.325 	 -1.698e+05 	 1.395e+06
5.375 	 -1.710e+05 	 1.395e+06
5.425 	 -1.722e+05 	 1.395e+06
5.475 	 -1.734e+05 	 1.395e+06
5.525 	 -1.745e+05 	 1.395e+06
5.575 	 -1.757e+05 	 1.395e+06
5.625 	 -1.769e+05 	 1.395e+06
5.675 	 -1.781e+05 	 1.395e+06
5.725 	 -1.793e+05 	 1.395e+06
5.775 	 -1.804e+05 	 1.395e+06
5.825 	 -1.816e+05 	 1.395e+06
5.875 	 1.211e+06 	 1.395e+06
5.925 	 -1.840e+05 	 1.395e+06
5.975 	 1.209e+06 	 1.395e+06
6.025 	 -1.863e+05 	 1.395e+06
