WRF ANALYSIS
Date & time = ,2023-02-03, 09:20
Display format=,3
Program version:,2021-05-25

Scan file = ,O106729_NDI-P2_G085_wa1683_5.0hr_s2
Port & distance (cm) =,ndip2,26.0
WRF ID; Al blast(um) & cal=,13425915-g085 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-75),(0-60),-1.173,1.181,-0.972,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,60,
C; e; Dmax; dDmax; Dscale =,13,15,19.45,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.394,0.060,2.66

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.115,0.256,1.516e+08
Value (raw stats):, 15.114,0.250,1.521e+08
Uncertainties
    Random:, 0.041,0.013,24.30%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.012,0.013,3.70%
     DvE:, 0.021,0.002,24.01%
     Dmax:, 0.010,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 -8.603e+05 	 2.051e+07
4.475 	 -5.229e+05 	 1.236e+07
4.525 	 -3.552e+05 	 8.328e+06
4.575 	 -2.992e+05 	 5.965e+06
4.625 	 4.219e+06 	 4.445e+06
4.675 	 -2.266e+05 	 4.445e+06
4.725 	 -2.501e+05 	 3.408e+06
4.775 	 -2.521e+05 	 3.408e+06
4.825 	 -2.788e+05 	 2.672e+06
4.875 	 -2.809e+05 	 2.672e+06
4.925 	 -2.831e+05 	 2.672e+06
4.975 	 -2.852e+05 	 2.672e+06
5.025 	 -2.873e+05 	 2.672e+06
5.075 	 -2.894e+05 	 2.672e+06
5.125 	 -2.916e+05 	 2.673e+06
5.175 	 -2.937e+05 	 2.673e+06
5.225 	 -2.958e+05 	 2.673e+06
5.275 	 -2.979e+05 	 2.673e+06
5.325 	 -3.000e+05 	 2.673e+06
5.375 	 -3.021e+05 	 2.673e+06
5.425 	 -3.042e+05 	 2.673e+06
5.475 	 -3.063e+05 	 2.673e+06
5.525 	 2.363e+06 	 2.673e+06
5.575 	 -3.105e+05 	 2.673e+06
5.625 	 -3.126e+05 	 2.673e+06
5.675 	 -3.146e+05 	 2.673e+06
5.725 	 -3.167e+05 	 2.673e+06
5.775 	 5.024e+06 	 3.779e+06
5.825 	 -3.209e+05 	 2.673e+06
5.875 	 -3.230e+05 	 2.673e+06
5.925 	 -3.250e+05 	 2.673e+06
5.975 	 -3.271e+05 	 2.673e+06
6.025 	 -3.292e+05 	 2.673e+06
6.075 	 -3.313e+05 	 2.673e+06
6.125 	 -3.333e+05 	 2.673e+06
6.175 	 -3.353e+05 	 2.673e+06
6.225 	 -3.374e+05 	 2.673e+06
6.275 	 -3.394e+05 	 2.673e+06
6.325 	 -3.414e+05 	 2.673e+06
6.375 	 -3.435e+05 	 2.673e+06
6.425 	 -3.455e+05 	 2.673e+06
6.475 	 2.324e+06 	 2.673e+06
6.525 	 -3.495e+05 	 2.673e+06
6.575 	 -3.515e+05 	 2.673e+06
6.625 	 -3.535e+05 	 2.673e+06
6.675 	 -3.555e+05 	 2.673e+06
6.725 	 -3.575e+05 	 2.673e+06
6.775 	 -3.595e+05 	 2.673e+06
6.825 	 -3.615e+05 	 2.673e+06
6.875 	 -3.635e+05 	 2.673e+06
6.925 	 -3.655e+05 	 2.673e+06
6.975 	 -3.675e+05 	 2.673e+06
7.025 	 -3.695e+05 	 2.673e+06
7.075 	 -3.715e+05 	 2.673e+06
7.125 	 -3.735e+05 	 2.673e+06
7.175 	 -3.755e+05 	 2.673e+06
7.225 	 -3.775e+05 	 2.673e+06
7.275 	 -3.794e+05 	 2.673e+06
7.325 	 -3.815e+05 	 2.673e+06
7.375 	 2.288e+06 	 2.673e+06
7.425 	 -3.854e+05 	 2.673e+06
7.475 	 -3.873e+05 	 2.673e+06
7.525 	 -3.894e+05 	 2.673e+06
7.575 	 -3.913e+05 	 2.673e+06
7.625 	 -3.933e+05 	 2.673e+06
7.675 	 -3.953e+05 	 2.673e+06
7.725 	 -3.972e+05 	 2.673e+06
7.775 	 -3.992e+05 	 2.674e+06
7.825 	 -4.011e+05 	 2.674e+06
7.875 	 -4.031e+05 	 2.674e+06
7.925 	 -4.050e+05 	 2.674e+06
7.975 	 -4.070e+05 	 2.674e+06
8.025 	 2.262e+06 	 2.674e+06
8.075 	 -4.109e+05 	 2.674e+06
8.125 	 -4.129e+05 	 2.674e+06
8.175 	 -4.148e+05 	 2.674e+06
8.225 	 -4.168e+05 	 2.674e+06
8.275 	 -4.187e+05 	 2.674e+06
8.325 	 -4.206e+05 	 2.674e+06
8.375 	 -4.226e+05 	 2.674e+06
8.425 	 -4.245e+05 	 2.674e+06
8.475 	 -4.264e+05 	 2.674e+06
