WRF ANALYSIS
Date & time = ,2023-02-03, 09:25
Display format=,3
Program version:,2021-05-25

Scan file = ,O106732_NDI-P2_G168_wa1694_5hr_s2
Port & distance (cm) =,ndip2,26.0
WRF ID; Al blast(um) & cal=,g168 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-75),(0-60),-1.173,1.181,-0.972,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,60,
C; e; Dmax; dDmax; Dscale =,12,15,19.45,0.25,new
Dlow; Dhigh; Dauto; Elims =,10.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.133,0.033,1.63

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.145,0.254,1.667e+08
Value (raw stats):, 15.137,0.248,1.686e+08
Uncertainties
    Random:, 0.036,0.008,8.68%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.007,0.008,4.15%
     DvE:, 0.011,0.003,7.62%
     Dmax:, 0.010,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 -4.378e+05 	 3.082e+07
4.575 	 -2.933e+05 	 1.366e+07
4.625 	 -2.314e+05 	 8.018e+06
4.675 	 -2.333e+05 	 8.018e+06
4.725 	 -1.550e+05 	 5.284e+06
4.775 	 3.552e+06 	 3.717e+06
4.825 	 -1.660e+05 	 3.717e+06
4.875 	 -1.673e+05 	 3.717e+06
4.925 	 -1.239e+05 	 2.731e+06
4.975 	 2.606e+06 	 2.731e+06
5.025 	 -1.272e+05 	 2.072e+06
5.075 	 -1.281e+05 	 2.072e+06
5.125 	 -1.291e+05 	 2.072e+06
5.175 	 -1.263e+05 	 1.611e+06
5.225 	 -1.272e+05 	 1.611e+06
5.275 	 -1.281e+05 	 1.611e+06
5.325 	 -1.290e+05 	 1.611e+06
5.375 	 1.480e+06 	 1.611e+06
5.425 	 -1.308e+05 	 1.611e+06
5.475 	 -1.317e+05 	 1.611e+06
5.525 	 -1.326e+05 	 1.611e+06
5.575 	 -1.335e+05 	 1.611e+06
5.625 	 -1.344e+05 	 1.611e+06
5.675 	 -1.353e+05 	 1.611e+06
5.725 	 -1.362e+05 	 1.611e+06
5.775 	 -1.371e+05 	 1.611e+06
5.825 	 -1.380e+05 	 1.611e+06
5.875 	 -1.389e+05 	 1.611e+06
5.925 	 -1.398e+05 	 1.611e+06
5.975 	 -1.407e+05 	 1.611e+06
6.025 	 -1.416e+05 	 1.611e+06
