WRF ANALYSIS
Date & time = ,2023-02-03, 09:28
Display format=,3
Program version:,2021-05-25

Scan file = ,O106732_TIM6-12_G018_wa1700_5hr_s2
Port & distance (cm) =,tim612:00,60.0
WRF ID; Al blast(um) & cal=,13425848-g018 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(21-74),(0-59),-1.205,1.180,-0.974,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
Back x0; x1; y0; y1 (cm) =,68,74,0,59,
C; e; Dmax; dDmax; Dscale =,12,15,19.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.117,0.047,5.23

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.214,0.264,2.322e+08
Value (raw stats):, 15.212,0.260,2.340e+08
Uncertainties
    Random:, 0.046,0.022,12.50%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.022,0.016,4.48%
     DvE:, 0.023,0.016,11.67%
     Dmax:, 0.009,0.000,0.29%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.025 	 0.000e+00 	 0.000e+00
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 -8.448e+05 	 1.372e+08
4.325 	 -8.787e+05 	 5.948e+07
4.375 	 -8.883e+05 	 5.948e+07
4.425 	 -7.044e+05 	 3.418e+07
4.475 	 -7.112e+05 	 3.418e+07
4.525 	 -4.637e+05 	 2.207e+07
4.575 	 -4.680e+05 	 2.207e+07
4.625 	 -3.264e+05 	 1.525e+07
4.675 	 -3.295e+05 	 1.525e+07
4.725 	 -3.325e+05 	 1.525e+07
4.775 	 -3.715e+05 	 1.103e+07
4.825 	 -3.744e+05 	 1.103e+07
4.875 	 -3.773e+05 	 1.103e+07
4.925 	 -3.803e+05 	 1.103e+07
4.975 	 -3.151e+05 	 8.249e+06
5.025 	 -3.177e+05 	 8.249e+06
5.075 	 -3.202e+05 	 8.249e+06
5.125 	 -3.228e+05 	 8.249e+06
5.175 	 -3.497e+05 	 6.315e+06
5.225 	 -3.523e+05 	 6.315e+06
5.275 	 -3.551e+05 	 6.315e+06
5.325 	 -3.577e+05 	 6.315e+06
5.375 	 -3.604e+05 	 6.315e+06
5.425 	 -3.629e+05 	 6.315e+06
5.475 	 -3.656e+05 	 6.315e+06
5.525 	 -3.683e+05 	 6.315e+06
5.575 	 -3.709e+05 	 6.315e+06
5.625 	 -3.736e+05 	 6.315e+06
5.675 	 -3.762e+05 	 6.315e+06
5.725 	 -3.789e+05 	 6.315e+06
5.775 	 -3.815e+05 	 6.315e+06
5.825 	 -3.842e+05 	 6.316e+06
5.875 	 -3.869e+05 	 6.316e+06
5.925 	 -3.895e+05 	 6.316e+06
5.975 	 -3.921e+05 	 6.316e+06
6.025 	 -3.948e+05 	 6.316e+06
6.075 	 -3.975e+05 	 6.316e+06
6.125 	 -4.001e+05 	 6.316e+06
6.175 	 -4.028e+05 	 6.316e+06
6.225 	 -4.054e+05 	 6.316e+06
6.275 	 -4.080e+05 	 6.316e+06
6.325 	 -4.106e+05 	 6.316e+06
6.375 	 5.901e+06 	 6.316e+06
6.425 	 5.898e+06 	 6.316e+06
6.475 	 -4.185e+05 	 6.316e+06
6.525 	 -4.211e+05 	 6.316e+06
6.575 	 -4.237e+05 	 6.316e+06
6.625 	 -4.264e+05 	 6.316e+06
6.675 	 -4.289e+05 	 6.316e+06
6.725 	 -4.316e+05 	 6.316e+06
6.775 	 -4.342e+05 	 6.316e+06
6.825 	 -4.368e+05 	 6.316e+06
