WRF ANALYSIS
Date & time = ,2023-02-03, 09:33
Display format=,3
Program version:,2021-05-25

Scan file = ,O106734_NDI-P2_G077_wa1663_5hr_s2
Port & distance (cm) =,ndip2,26.0
WRF ID; Al blast(um) & cal=,13425907-g077 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-75),(0-60),-1.173,1.181,-0.972,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,60,
C; e; Dmax; dDmax; Dscale =,14,15,19.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.108,0.033,3.70

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.096,0.261,1.475e+08
Value (raw stats):, 15.099,0.253,1.485e+08
Uncertainties
    Random:, 0.038,0.008,9.05%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.010,0.007,2.93%
     DvE:, 0.016,0.003,8.56%
     Dmax:, 0.010,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 -3.495e+05 	 2.563e+07
4.375 	 -1.526e+05 	 1.110e+07
4.425 	 -1.539e+05 	 1.110e+07
4.475 	 -1.336e+05 	 6.368e+06
4.525 	 -1.347e+05 	 6.368e+06
4.575 	 -8.760e+04 	 4.109e+06
4.625 	 -8.830e+04 	 4.109e+06
4.675 	 -1.229e+05 	 2.837e+06
4.725 	 -1.239e+05 	 2.837e+06
4.775 	 -1.249e+05 	 2.837e+06
4.825 	 -9.096e+04 	 2.051e+06
4.875 	 -9.165e+04 	 2.051e+06
4.925 	 -9.236e+04 	 2.051e+06
4.975 	 -9.304e+04 	 2.051e+06
5.025 	 -9.338e+04 	 1.533e+06
5.075 	 -9.406e+04 	 1.533e+06
5.125 	 -9.476e+04 	 1.533e+06
5.175 	 -9.544e+04 	 1.533e+06
5.225 	 -1.103e+05 	 1.172e+06
5.275 	 -1.111e+05 	 1.172e+06
5.325 	 -1.119e+05 	 1.172e+06
5.375 	 -1.127e+05 	 1.172e+06
5.425 	 -1.134e+05 	 1.172e+06
5.475 	 -1.142e+05 	 1.172e+06
5.525 	 1.057e+06 	 1.172e+06
5.575 	 -1.158e+05 	 1.172e+06
5.625 	 -1.166e+05 	 1.172e+06
5.675 	 -1.173e+05 	 1.172e+06
5.725 	 -1.181e+05 	 1.172e+06
5.775 	 1.053e+06 	 1.172e+06
5.825 	 -1.197e+05 	 1.172e+06
5.875 	 -1.204e+05 	 1.172e+06
5.925 	 -1.212e+05 	 1.172e+06
5.975 	 1.050e+06 	 1.172e+06
6.025 	 -1.227e+05 	 1.173e+06
6.075 	 -1.235e+05 	 1.173e+06
6.125 	 -1.243e+05 	 1.173e+06
6.175 	 -1.250e+05 	 1.173e+06
6.225 	 -1.258e+05 	 1.173e+06
6.275 	 -1.266e+05 	 1.173e+06
6.325 	 -1.273e+05 	 1.173e+06
6.375 	 -1.281e+05 	 1.173e+06
6.425 	 -1.288e+05 	 1.173e+06
6.475 	 -1.296e+05 	 1.173e+06
6.525 	 -1.303e+05 	 1.173e+06
6.575 	 -1.310e+05 	 1.173e+06
6.625 	 -1.318e+05 	 1.173e+06
6.675 	 -1.326e+05 	 1.173e+06
6.725 	 -1.333e+05 	 1.173e+06
6.775 	 -1.341e+05 	 1.173e+06
6.825 	 -1.348e+05 	 1.173e+06
6.875 	 -1.355e+05 	 1.173e+06
6.925 	 -1.363e+05 	 1.173e+06
