WRF ANALYSIS
Date & time = ,2023-02-03, 09:35
Display format=,3
Program version:,2021-05-25

Scan file = ,O106734_TIM6-12_G018_wa1669_5hr_40x_s5
Port & distance (cm) =,tim612:00,60.0
WRF ID; Al blast(um) & cal=,13425848-g018 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-75),(0-61),-1.176,1.170,-0.998,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,61,
C; e; Dmax; dDmax; Dscale =,13,15,19.45,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.176,0.019,0.42

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.208,0.274,1.568e+08
Value (raw stats):, 15.210,0.235,1.546e+08
Uncertainties
    Random:, 0.035,0.050,9.67%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.006,0.042,7.99%
     DvE:, 0.009,0.026,5.44%
     Dmax:, 0.010,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.025 	 0.000e+00 	 0.000e+00
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 -2.679e+06 	 1.305e+08
4.325 	 -1.547e+06 	 5.603e+07
4.375 	 -1.560e+06 	 5.603e+07
4.425 	 -1.117e+06 	 3.185e+07
4.475 	 -1.127e+06 	 3.185e+07
4.525 	 -1.451e+06 	 2.034e+07
4.575 	 -1.463e+06 	 2.034e+07
4.625 	 -1.475e+06 	 2.034e+07
4.675 	 -1.220e+06 	 1.391e+07
4.725 	 -1.229e+06 	 1.391e+07
4.775 	 1.267e+07 	 1.391e+07
4.825 	 -1.267e+06 	 9.971e+06
4.875 	 -1.277e+06 	 9.971e+06
4.925 	 -1.287e+06 	 9.971e+06
4.975 	 -1.296e+06 	 9.971e+06
5.025 	 -1.309e+06 	 7.388e+06
5.075 	 -1.319e+06 	 7.388e+06
5.125 	 6.054e+06 	 7.388e+06
5.175 	 -1.338e+06 	 7.388e+06
5.225 	 -1.347e+06 	 7.388e+06
5.275 	 -1.237e+06 	 5.532e+06
5.325 	 -1.246e+06 	 5.533e+06
5.375 	 -1.255e+06 	 5.533e+06
5.425 	 -1.263e+06 	 5.533e+06
5.475 	 -1.272e+06 	 5.533e+06
5.525 	 -1.281e+06 	 5.533e+06
5.575 	 -1.289e+06 	 5.533e+06
5.625 	 -1.298e+06 	 5.533e+06
5.675 	 -1.307e+06 	 5.533e+06
5.725 	 -1.315e+06 	 5.533e+06
5.775 	 -1.324e+06 	 5.533e+06
5.825 	 4.195e+06 	 5.533e+06
5.875 	 4.186e+06 	 5.533e+06
5.925 	 -1.350e+06 	 5.533e+06
5.975 	 -1.358e+06 	 5.533e+06
6.025 	 -1.367e+06 	 5.534e+06
6.075 	 -1.376e+06 	 5.534e+06
6.125 	 -1.384e+06 	 5.534e+06
6.175 	 -1.393e+06 	 5.534e+06
6.225 	 -1.401e+06 	 5.534e+06
6.275 	 -1.409e+06 	 5.534e+06
6.325 	 -1.418e+06 	 5.534e+06
6.375 	 -1.426e+06 	 5.534e+06
6.425 	 -1.435e+06 	 5.534e+06
6.475 	 -1.443e+06 	 5.534e+06
6.525 	 4.076e+06 	 5.534e+06
6.575 	 -1.459e+06 	 5.534e+06
6.625 	 -1.468e+06 	 5.534e+06
6.675 	 -1.476e+06 	 5.535e+06
6.725 	 -1.484e+06 	 5.535e+06
6.775 	 -1.493e+06 	 5.535e+06
6.825 	 4.026e+06 	 5.535e+06
6.875 	 -1.510e+06 	 5.535e+06
6.925 	 4.010e+06 	 5.535e+06
