WRF ANALYSIS
Date & time = ,2023-02-03, 09:41
Display format=,3
Program version:,2021-05-25

Scan file = ,O106735_NDI-P2_G085_wa1665_5hr_40x_s6
Port & distance (cm) =,ndip2,26.0
WRF ID; Al blast(um) & cal=,13425915-g085 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-75),(0-60),-1.169,1.196,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,60,
C; e; Dmax; dDmax; Dscale =,13,15,19.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,10.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.170,0.018,1.75

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.096,0.341,1.294e+09
Value (raw stats):, 15.095,0.318,1.275e+09
Uncertainties
    Random:, 0.034,0.004,4.92%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.004,0.004,2.83%
     DvE:, 0.006,0.001,4.01%
     Dmax:, 0.009,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 -6.899e+05 	 3.003e+07
4.525 	 -6.281e+05 	 1.356e+07
4.575 	 -5.076e+05 	 8.154e+06
4.625 	 -5.117e+05 	 8.154e+06
4.675 	 -4.360e+05 	 5.515e+06
4.725 	 -3.491e+05 	 3.983e+06
4.775 	 -3.519e+05 	 3.983e+06
4.825 	 -2.674e+05 	 3.003e+06
4.875 	 -2.694e+05 	 3.003e+06
4.925 	 -2.303e+05 	 2.335e+06
4.975 	 -2.320e+05 	 2.335e+06
5.025 	 2.101e+06 	 2.335e+06
5.075 	 -2.185e+05 	 1.858e+06
5.125 	 -2.202e+05 	 1.858e+06
5.175 	 -2.217e+05 	 1.858e+06
5.225 	 -2.233e+05 	 1.858e+06
5.275 	 -2.250e+05 	 1.858e+06
5.325 	 -2.265e+05 	 1.858e+06
5.375 	 1.629e+06 	 1.859e+06
5.425 	 1.628e+06 	 1.859e+06
5.475 	 -2.313e+05 	 1.859e+06
5.525 	 1.625e+06 	 1.859e+06
5.575 	 -2.344e+05 	 1.859e+06
5.625 	 -2.360e+05 	 1.859e+06
5.675 	 -2.376e+05 	 1.859e+06
5.725 	 -2.392e+05 	 1.859e+06
5.775 	 1.617e+06 	 1.859e+06
5.825 	 -2.423e+05 	 1.859e+06
5.875 	 -2.439e+05 	 1.859e+06
5.925 	 -2.454e+05 	 1.859e+06
5.975 	 -2.470e+05 	 1.859e+06
6.025 	 -2.486e+05 	 1.859e+06
6.075 	 -2.501e+05 	 1.859e+06
6.125 	 -2.517e+05 	 1.859e+06
6.175 	 -2.532e+05 	 1.859e+06
6.225 	 -2.548e+05 	 1.859e+06
6.275 	 -2.563e+05 	 1.859e+06
6.325 	 -2.578e+05 	 1.859e+06
6.375 	 1.598e+06 	 1.859e+06
6.425 	 -2.609e+05 	 1.859e+06
6.475 	 -2.624e+05 	 1.859e+06
6.525 	 -2.639e+05 	 1.859e+06
6.575 	 1.592e+06 	 1.859e+06
6.625 	 1.591e+06 	 1.859e+06
6.675 	 -2.684e+05 	 1.859e+06
6.725 	 -2.699e+05 	 1.859e+06
6.775 	 -2.715e+05 	 1.859e+06
6.825 	 -2.730e+05 	 1.859e+06
6.875 	 -2.745e+05 	 1.859e+06
6.925 	 -2.760e+05 	 1.859e+06
6.975 	 -2.775e+05 	 1.859e+06
7.025 	 -2.790e+05 	 1.859e+06
7.075 	 -2.805e+05 	 1.859e+06
7.125 	 1.575e+06 	 1.859e+06
7.175 	 -2.835e+05 	 1.859e+06
7.225 	 -2.850e+05 	 1.859e+06
7.275 	 -2.865e+05 	 1.859e+06
7.325 	 -2.880e+05 	 1.859e+06
7.375 	 1.568e+06 	 1.859e+06
7.425 	 -2.910e+05 	 1.859e+06
7.475 	 -2.925e+05 	 1.859e+06
7.525 	 1.564e+06 	 1.859e+06
7.575 	 -2.954e+05 	 1.859e+06
7.625 	 1.561e+06 	 1.859e+06
7.675 	 -2.985e+05 	 1.859e+06
7.725 	 -2.999e+05 	 1.859e+06
7.775 	 -3.014e+05 	 1.859e+06
7.825 	 -3.029e+05 	 1.859e+06
7.875 	 -3.044e+05 	 1.859e+06
7.925 	 1.552e+06 	 1.859e+06
7.975 	 -3.073e+05 	 1.859e+06
8.025 	 -3.088e+05 	 1.859e+06
8.075 	 -3.103e+05 	 1.859e+06
8.125 	 -3.118e+05 	 1.859e+06
8.175 	 -3.132e+05 	 1.859e+06
8.225 	 -3.147e+05 	 1.859e+06
8.275 	 1.541e+06 	 1.859e+06
8.325 	 -3.176e+05 	 1.859e+06
8.375 	 -3.191e+05 	 1.859e+06
8.425 	 -3.205e+05 	 1.859e+06
8.475 	 1.536e+06 	 1.859e+06
8.525 	 -3.234e+05 	 1.860e+06
8.575 	 -3.249e+05 	 1.860e+06
8.625 	 -3.264e+05 	 1.860e+06
8.675 	 -3.278e+05 	 1.860e+06
8.725 	 -3.292e+05 	 1.860e+06
8.775 	 -3.307e+05 	 1.860e+06
8.825 	 -3.322e+05 	 1.860e+06
8.875 	 -3.336e+05 	 1.860e+06
8.925 	 -3.350e+05 	 1.860e+06
8.975 	 -3.365e+05 	 1.860e+06
9.025 	 1.520e+06 	 1.860e+06
9.075 	 -3.393e+05 	 1.860e+06
9.125 	 -3.407e+05 	 1.860e+06
9.175 	 -3.422e+05 	 1.860e+06
9.225 	 -3.436e+05 	 1.860e+06
9.275 	 -3.450e+05 	 1.860e+06
9.325 	 -3.465e+05 	 1.860e+06
9.375 	 -3.479e+05 	 1.860e+06
9.425 	 -3.493e+05 	 1.860e+06
9.475 	 -3.507e+05 	 1.860e+06
9.525 	 -3.522e+05 	 1.860e+06
9.575 	 -3.536e+05 	 1.860e+06
9.625 	 -3.550e+05 	 1.860e+06
9.675 	 -3.564e+05 	 1.860e+06
9.725 	 -3.579e+05 	 1.860e+06
9.775 	 -3.593e+05 	 1.860e+06
9.825 	 -3.607e+05 	 1.860e+06
9.875 	 -3.621e+05 	 1.860e+06
9.925 	 1.494e+06 	 1.860e+06
9.975 	 -3.649e+05 	 1.860e+06
10.025 	 -3.664e+05 	 1.860e+06
10.075 	 -3.677e+05 	 1.860e+06
10.125 	 -3.692e+05 	 1.860e+06
10.175 	 -3.706e+05 	 1.860e+06
10.225 	 -3.720e+05 	 1.860e+06
10.275 	 -3.734e+05 	 1.860e+06
10.325 	 -3.748e+05 	 1.860e+06
10.375 	 -3.762e+05 	 1.860e+06
10.425 	 -3.776e+05 	 1.860e+06
10.475 	 -3.790e+05 	 1.860e+06
10.525 	 -3.804e+05 	 1.860e+06
10.575 	 -3.818e+05 	 1.860e+06
10.625 	 -3.832e+05 	 1.860e+06
10.675 	 -3.846e+05 	 1.860e+06
10.725 	 -3.860e+05 	 1.860e+06
10.775 	 -3.874e+05 	 1.860e+06
10.825 	 -3.888e+05 	 1.860e+06
10.875 	 -3.902e+05 	 1.860e+06
10.925 	 -3.915e+05 	 1.860e+06
10.975 	 1.465e+06 	 1.860e+06
11.025 	 1.463e+06 	 1.860e+06
11.075 	 1.462e+06 	 1.861e+06
11.125 	 -3.971e+05 	 1.861e+06
11.175 	 -3.985e+05 	 1.861e+06
11.225 	 -3.998e+05 	 1.861e+06
11.275 	 1.456e+06 	 1.861e+06
11.325 	 -4.026e+05 	 1.861e+06
11.375 	 5.169e+06 	 3.219e+06
11.425 	 -4.053e+05 	 1.861e+06
11.475 	 1.451e+06 	 1.861e+06
11.525 	 1.449e+06 	 1.861e+06
11.575 	 -4.095e+05 	 1.861e+06
11.625 	 -4.109e+05 	 1.861e+06
11.675 	 -4.122e+05 	 1.861e+06
11.725 	 -4.136e+05 	 1.861e+06
11.775 	 -4.150e+05 	 1.861e+06
11.825 	 -4.164e+05 	 1.861e+06
11.875 	 -4.177e+05 	 1.861e+06
11.925 	 3.296e+06 	 2.629e+06
11.975 	 1.437e+06 	 1.861e+06
12.025 	 -4.218e+05 	 1.861e+06
12.075 	 -4.231e+05 	 1.861e+06
12.125 	 -4.245e+05 	 1.861e+06
12.175 	 -4.259e+05 	 1.861e+06
12.225 	 -4.272e+05 	 1.861e+06
12.275 	 -4.286e+05 	 1.861e+06
12.325 	 -4.300e+05 	 1.861e+06
12.375 	 1.426e+06 	 1.861e+06
12.425 	 -4.327e+05 	 1.861e+06
12.475 	 1.423e+06 	 1.861e+06
12.525 	 -4.354e+05 	 1.861e+06
12.575 	 1.421e+06 	 1.861e+06
12.625 	 -4.381e+05 	 1.861e+06
12.675 	 -4.394e+05 	 1.861e+06
12.725 	 -4.408e+05 	 1.861e+06
12.775 	 1.415e+06 	 1.861e+06
12.825 	 -4.435e+05 	 1.861e+06
12.875 	 1.413e+06 	 1.861e+06
12.925 	 -4.462e+05 	 1.861e+06
12.975 	 -4.475e+05 	 1.861e+06
13.025 	 -4.489e+05 	 1.861e+06
13.075 	 -4.502e+05 	 1.861e+06
13.125 	 1.406e+06 	 1.861e+06
13.175 	 -4.529e+05 	 1.861e+06
13.225 	 -4.542e+05 	 1.861e+06
13.275 	 1.402e+06 	 1.861e+06
13.325 	 1.401e+06 	 1.862e+06
13.375 	 -4.582e+05 	 1.862e+06
13.425 	 -4.596e+05 	 1.862e+06
13.475 	 1.397e+06 	 1.862e+06
13.525 	 -4.622e+05 	 1.862e+06
13.575 	 -4.636e+05 	 1.862e+06
13.625 	 1.393e+06 	 1.862e+06
13.675 	 -4.662e+05 	 1.862e+06
13.725 	 -4.676e+05 	 1.862e+06
13.775 	 -4.689e+05 	 1.862e+06
13.825 	 1.387e+06 	 1.862e+06
13.875 	 -4.716e+05 	 1.862e+06
13.925 	 -4.729e+05 	 1.862e+06
13.975 	 6.956e+06 	 3.717e+06
14.025 	 3.239e+06 	 2.630e+06
14.075 	 1.253e+07 	 4.916e+06
14.125 	 1.438e+07 	 5.255e+06
14.175 	 1.252e+07 	 4.916e+06
14.225 	 2.367e+07 	 6.699e+06
14.275 	 5.339e+07 	 1.000e+07
14.325 	 8.868e+07 	 1.287e+07
14.375 	 1.370e+08 	 1.598e+07
14.425 	 1.667e+08 	 1.762e+07
14.475 	 2.781e+08 	 2.275e+07
14.525 	 3.524e+08 	 2.560e+07
14.575 	 4.657e+08 	 2.943e+07
14.625 	 6.236e+08 	 3.405e+07
14.675 	 7.648e+08 	 3.770e+07
14.725 	 8.558e+08 	 3.988e+07
14.775 	 9.933e+08 	 4.296e+07
14.825 	 1.127e+09 	 4.576e+07
14.875 	 1.240e+09 	 4.801e+07
14.925 	 1.283e+09 	 4.883e+07
14.975 	 1.411e+09 	 5.121e+07
15.025 	 1.502e+09 	 5.283e+07
15.075 	 1.515e+09 	 5.306e+07
15.125 	 1.448e+09 	 5.188e+07
15.175 	 1.391e+09 	 5.084e+07
15.225 	 1.368e+09 	 5.043e+07
15.275 	 1.372e+09 	 5.050e+07
15.325 	 1.268e+09 	 4.854e+07
15.375 	 1.170e+09 	 4.662e+07
15.425 	 9.487e+08 	 4.199e+07
15.475 	 7.982e+08 	 3.852e+07
15.525 	 7.592e+08 	 3.757e+07
15.575 	 5.995e+08 	 3.338e+07
15.625 	 4.379e+08 	 2.854e+07
15.675 	 2.930e+08 	 2.335e+07
15.725 	 2.558e+08 	 2.182e+07
15.775 	 1.815e+08 	 1.839e+07
15.825 	 8.864e+07 	 1.287e+07
15.875 	 9.421e+07 	 1.327e+07
15.925 	 7.377e+07 	 1.175e+07
15.975 	 1.991e+07 	 6.162e+06
16.025 	 1.247e+07 	 4.917e+06
16.075 	 3.186e+06 	 2.631e+06
16.125 	 1.433e+07 	 5.256e+06
16.175 	 5.041e+06 	 3.220e+06
16.225 	 3.182e+06 	 2.631e+06
16.275 	 -5.343e+05 	 1.863e+06
16.325 	 -5.356e+05 	 1.863e+06
16.375 	 -5.369e+05 	 1.863e+06
16.425 	 -5.382e+05 	 1.863e+06
16.475 	 -5.395e+05 	 1.863e+06
16.525 	 1.317e+06 	 1.863e+06
16.575 	 -5.420e+05 	 1.863e+06
16.625 	 -5.433e+05 	 1.863e+06
16.675 	 -5.446e+05 	 1.863e+06
16.725 	 -5.459e+05 	 1.863e+06
