WRF ANALYSIS
Date & time = ,2023-02-03, 09:44
Display format=,3
Program version:,2021-05-25

Scan file = ,O106735_TIM6-12_G094_wa1675_5hr_s2
Port & distance (cm) =,tim612:00,60.0
WRF ID; Al blast(um) & cal=,13425924-g094 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-75),(0-60),-1.173,1.181,-0.972,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,60,
C; e; Dmax; dDmax; Dscale =,15,15,19.45,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.276,0.012,0.65

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.179,0.302,2.781e+09
Value (raw stats):, 15.177,0.295,2.784e+09
Uncertainties
    Random:, 0.034,0.004,4.16%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.003,1.51%
     DvE:, 0.006,0.002,3.86%
     Dmax:, 0.010,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 1.628e+08
4.625 	 -1.020e+06 	 7.132e+07
4.675 	 -1.028e+06 	 7.132e+07
4.725 	 -1.199e+06 	 4.126e+07
4.775 	 -1.175e+06 	 2.676e+07
4.825 	 -1.184e+06 	 2.676e+07
4.875 	 -8.255e+05 	 1.851e+07
4.925 	 -8.318e+05 	 1.851e+07
4.975 	 -8.380e+05 	 1.851e+07
5.025 	 -8.141e+05 	 1.339e+07
5.075 	 -8.200e+05 	 1.339e+07
5.125 	 -7.720e+05 	 1.001e+07
5.175 	 -7.775e+05 	 1.001e+07
5.225 	 -7.830e+05 	 1.001e+07
5.275 	 -7.887e+05 	 1.001e+07
5.325 	 -7.912e+05 	 7.672e+06
5.375 	 -7.968e+05 	 7.672e+06
5.425 	 6.866e+06 	 7.672e+06
5.475 	 -8.078e+05 	 7.672e+06
5.525 	 -8.133e+05 	 7.672e+06
5.575 	 -8.188e+05 	 7.672e+06
5.625 	 -8.244e+05 	 7.672e+06
5.675 	 6.839e+06 	 7.672e+06
5.725 	 -8.353e+05 	 7.672e+06
5.775 	 6.828e+06 	 7.672e+06
5.825 	 -8.463e+05 	 7.672e+06
5.875 	 -8.518e+05 	 7.672e+06
5.925 	 -8.572e+05 	 7.672e+06
5.975 	 -8.627e+05 	 7.672e+06
6.025 	 -8.682e+05 	 7.672e+06
6.075 	 -8.737e+05 	 7.672e+06
6.125 	 -8.791e+05 	 7.672e+06
6.175 	 -8.844e+05 	 7.672e+06
6.225 	 -8.898e+05 	 7.672e+06
6.275 	 -8.952e+05 	 7.672e+06
6.325 	 -9.005e+05 	 7.673e+06
6.375 	 -9.060e+05 	 7.673e+06
6.425 	 -9.112e+05 	 7.673e+06
6.475 	 1.442e+07 	 1.085e+07
6.525 	 -9.218e+05 	 7.673e+06
6.575 	 -9.269e+05 	 7.673e+06
6.625 	 -9.324e+05 	 7.673e+06
6.675 	 -9.376e+05 	 7.673e+06
6.725 	 6.726e+06 	 7.673e+06
6.775 	 -9.482e+05 	 7.673e+06
6.825 	 -9.535e+05 	 7.673e+06
6.875 	 -9.588e+05 	 7.673e+06
6.925 	 6.705e+06 	 7.673e+06
6.975 	 -9.693e+05 	 7.673e+06
7.025 	 -9.746e+05 	 7.673e+06
7.075 	 -9.797e+05 	 7.673e+06
7.125 	 -9.851e+05 	 7.673e+06
7.175 	 -9.902e+05 	 7.673e+06
7.225 	 1.434e+07 	 1.085e+07
7.275 	 -1.001e+06 	 7.673e+06
7.325 	 -1.006e+06 	 7.674e+06
7.375 	 1.433e+07 	 1.085e+07
7.425 	 -1.016e+06 	 7.674e+06
7.475 	 -1.022e+06 	 7.674e+06
7.525 	 -1.027e+06 	 7.674e+06
7.575 	 -1.032e+06 	 7.674e+06
7.625 	 -1.037e+06 	 7.674e+06
7.675 	 -1.042e+06 	 7.674e+06
7.725 	 -1.047e+06 	 7.674e+06
7.775 	 -1.053e+06 	 7.674e+06
7.825 	 -1.058e+06 	 7.674e+06
7.875 	 -1.063e+06 	 7.674e+06
7.925 	 -1.068e+06 	 7.674e+06
7.975 	 -1.073e+06 	 7.674e+06
8.025 	 -1.079e+06 	 7.674e+06
8.075 	 1.425e+07 	 1.085e+07
8.125 	 6.580e+06 	 7.674e+06
8.175 	 -1.094e+06 	 7.674e+06
8.225 	 -1.099e+06 	 7.675e+06
8.275 	 -1.104e+06 	 7.675e+06
8.325 	 -1.109e+06 	 7.675e+06
8.375 	 -1.114e+06 	 7.675e+06
8.425 	 -1.120e+06 	 7.675e+06
8.475 	 -1.125e+06 	 7.675e+06
8.525 	 -1.130e+06 	 7.675e+06
8.575 	 -1.135e+06 	 7.675e+06
8.625 	 6.529e+06 	 7.675e+06
8.675 	 -1.145e+06 	 7.675e+06
8.725 	 -1.150e+06 	 7.675e+06
8.775 	 -1.155e+06 	 7.675e+06
8.825 	 -1.160e+06 	 7.675e+06
8.875 	 -1.165e+06 	 7.675e+06
8.925 	 -1.170e+06 	 7.675e+06
8.975 	 -1.175e+06 	 7.675e+06
9.025 	 6.488e+06 	 7.675e+06
9.075 	 -1.185e+06 	 7.676e+06
9.125 	 -1.190e+06 	 7.676e+06
9.175 	 -1.195e+06 	 7.676e+06
9.225 	 -1.200e+06 	 7.676e+06
9.275 	 -1.205e+06 	 7.676e+06
9.325 	 -1.210e+06 	 7.676e+06
9.375 	 -1.215e+06 	 7.676e+06
9.425 	 -1.220e+06 	 7.676e+06
9.475 	 6.443e+06 	 7.676e+06
9.525 	 -1.230e+06 	 7.676e+06
9.575 	 -1.235e+06 	 7.676e+06
9.625 	 -1.240e+06 	 7.676e+06
9.675 	 -1.245e+06 	 7.676e+06
9.725 	 -1.250e+06 	 7.676e+06
9.775 	 -1.255e+06 	 7.676e+06
9.825 	 -1.260e+06 	 7.676e+06
9.875 	 -1.265e+06 	 7.676e+06
9.925 	 -1.270e+06 	 7.677e+06
9.975 	 -1.275e+06 	 7.677e+06
10.025 	 -1.280e+06 	 7.677e+06
10.075 	 -1.284e+06 	 7.677e+06
10.125 	 -1.289e+06 	 7.677e+06
10.175 	 -1.294e+06 	 7.677e+06
10.225 	 -1.299e+06 	 7.677e+06
10.275 	 -1.304e+06 	 7.677e+06
10.325 	 -1.309e+06 	 7.677e+06
10.375 	 -1.314e+06 	 7.677e+06
10.425 	 -1.319e+06 	 7.677e+06
10.475 	 -1.324e+06 	 7.677e+06
10.525 	 -1.329e+06 	 7.677e+06
10.575 	 -1.334e+06 	 7.677e+06
10.625 	 -1.338e+06 	 7.677e+06
10.675 	 -1.343e+06 	 7.678e+06
10.725 	 -1.348e+06 	 7.678e+06
10.775 	 -1.353e+06 	 7.678e+06
10.825 	 -1.358e+06 	 7.678e+06
10.875 	 6.306e+06 	 7.678e+06
10.925 	 -1.368e+06 	 7.678e+06
10.975 	 -1.372e+06 	 7.678e+06
11.025 	 -1.377e+06 	 7.678e+06
11.075 	 -1.382e+06 	 7.678e+06
11.125 	 -1.387e+06 	 7.678e+06
11.175 	 -1.392e+06 	 7.678e+06
11.225 	 -1.397e+06 	 7.678e+06
11.275 	 6.267e+06 	 7.678e+06
11.325 	 6.262e+06 	 7.678e+06
11.375 	 -1.411e+06 	 7.678e+06
11.425 	 1.392e+07 	 1.085e+07
11.475 	 -1.421e+06 	 7.679e+06
11.525 	 -1.425e+06 	 7.679e+06
11.575 	 -1.430e+06 	 7.679e+06
11.625 	 6.233e+06 	 7.679e+06
11.675 	 -1.440e+06 	 7.679e+06
11.725 	 -1.445e+06 	 7.679e+06
11.775 	 -1.449e+06 	 7.679e+06
11.825 	 -1.454e+06 	 7.679e+06
11.875 	 6.209e+06 	 7.679e+06
11.925 	 -1.464e+06 	 7.679e+06
11.975 	 -1.469e+06 	 7.679e+06
12.025 	 -1.473e+06 	 7.679e+06
12.075 	 -1.478e+06 	 7.679e+06
12.125 	 -1.483e+06 	 7.679e+06
12.175 	 -1.488e+06 	 7.680e+06
12.225 	 -1.492e+06 	 7.680e+06
12.275 	 -1.497e+06 	 7.680e+06
12.325 	 -1.502e+06 	 7.680e+06
12.375 	 -1.507e+06 	 7.680e+06
12.425 	 -1.511e+06 	 7.680e+06
12.475 	 -1.516e+06 	 7.680e+06
12.525 	 -1.521e+06 	 7.680e+06
12.575 	 -1.525e+06 	 7.680e+06
12.625 	 -1.530e+06 	 7.680e+06
12.675 	 -1.535e+06 	 7.680e+06
12.725 	 -1.540e+06 	 7.680e+06
12.775 	 6.124e+06 	 7.680e+06
12.825 	 -1.549e+06 	 7.680e+06
