Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.325000000000000178e+00,-8.787000000000000000e+05,5.948000000000000000e+07
4.375000000000000000e+00,-8.883000000000000000e+05,5.948000000000000000e+07
4.424999999999999822e+00,-7.044000000000000000e+05,3.418000000000000000e+07
4.474999999999999645e+00,-7.112000000000000000e+05,3.418000000000000000e+07
4.525000000000000355e+00,-4.637000000000000000e+05,2.207000000000000000e+07
4.575000000000000178e+00,-4.680000000000000000e+05,2.207000000000000000e+07
4.625000000000000000e+00,-3.264000000000000000e+05,1.525000000000000000e+07
4.674999999999999822e+00,-3.295000000000000000e+05,1.525000000000000000e+07
4.724999999999999645e+00,-3.325000000000000000e+05,1.525000000000000000e+07
4.775000000000000355e+00,-3.715000000000000000e+05,1.103000000000000000e+07
4.825000000000000178e+00,-3.744000000000000000e+05,1.103000000000000000e+07
4.875000000000000000e+00,-3.773000000000000000e+05,1.103000000000000000e+07
4.924999999999999822e+00,-3.803000000000000000e+05,1.103000000000000000e+07
4.974999999999999645e+00,-3.151000000000000000e+05,8.249000000000000000e+06
5.025000000000000355e+00,-3.177000000000000000e+05,8.249000000000000000e+06
5.075000000000000178e+00,-3.202000000000000000e+05,8.249000000000000000e+06
5.125000000000000000e+00,-3.228000000000000000e+05,8.249000000000000000e+06
5.174999999999999822e+00,-3.497000000000000000e+05,6.315000000000000000e+06
5.224999999999999645e+00,-3.523000000000000000e+05,6.315000000000000000e+06
5.275000000000000355e+00,-3.551000000000000000e+05,6.315000000000000000e+06
5.325000000000000178e+00,-3.577000000000000000e+05,6.315000000000000000e+06
5.375000000000000000e+00,-3.604000000000000000e+05,6.315000000000000000e+06
5.424999999999999822e+00,-3.629000000000000000e+05,6.315000000000000000e+06
5.474999999999999645e+00,-3.656000000000000000e+05,6.315000000000000000e+06
5.525000000000000355e+00,-3.683000000000000000e+05,6.315000000000000000e+06
5.575000000000000178e+00,-3.709000000000000000e+05,6.315000000000000000e+06
5.625000000000000000e+00,-3.736000000000000000e+05,6.315000000000000000e+06
5.674999999999999822e+00,-3.762000000000000000e+05,6.315000000000000000e+06
5.724999999999999645e+00,-3.789000000000000000e+05,6.315000000000000000e+06
5.775000000000000355e+00,-3.815000000000000000e+05,6.315000000000000000e+06
5.825000000000000178e+00,-3.842000000000000000e+05,6.316000000000000000e+06
5.875000000000000000e+00,-3.869000000000000000e+05,6.316000000000000000e+06
5.924999999999999822e+00,-3.895000000000000000e+05,6.316000000000000000e+06
5.974999999999999645e+00,-3.921000000000000000e+05,6.316000000000000000e+06
6.025000000000000355e+00,-3.948000000000000000e+05,6.316000000000000000e+06
6.075000000000000178e+00,-3.975000000000000000e+05,6.316000000000000000e+06
6.125000000000000000e+00,-4.001000000000000000e+05,6.316000000000000000e+06
6.174999999999999822e+00,-4.028000000000000000e+05,6.316000000000000000e+06
6.224999999999999645e+00,-4.054000000000000000e+05,6.316000000000000000e+06
6.275000000000000355e+00,-4.080000000000000000e+05,6.316000000000000000e+06
6.325000000000000178e+00,-4.106000000000000000e+05,6.316000000000000000e+06
6.375000000000000000e+00,5.901000000000000000e+06,6.316000000000000000e+06
6.424999999999999822e+00,5.898000000000000000e+06,6.316000000000000000e+06
6.474999999999999645e+00,-4.185000000000000000e+05,6.316000000000000000e+06
6.525000000000000355e+00,-4.211000000000000000e+05,6.316000000000000000e+06
6.575000000000000178e+00,-4.237000000000000000e+05,6.316000000000000000e+06
6.625000000000000000e+00,-4.264000000000000000e+05,6.316000000000000000e+06
6.674999999999999822e+00,-4.289000000000000000e+05,6.316000000000000000e+06
6.724999999999999645e+00,-4.316000000000000000e+05,6.316000000000000000e+06
6.775000000000000355e+00,-4.342000000000000000e+05,6.316000000000000000e+06
6.825000000000000178e+00,-4.368000000000000000e+05,6.316000000000000000e+06
6.875000000000000000e+00,-4.395000000000000000e+05,6.316000000000000000e+06
6.924999999999999822e+00,-4.421000000000000000e+05,6.316000000000000000e+06
6.974999999999999645e+00,5.869000000000000000e+06,6.316000000000000000e+06
7.025000000000000355e+00,-4.474000000000000000e+05,6.316000000000000000e+06
7.075000000000000178e+00,-4.500000000000000000e+05,6.316000000000000000e+06
7.125000000000000000e+00,-4.527000000000000000e+05,6.316000000000000000e+06
7.174999999999999822e+00,-4.553000000000000000e+05,6.316000000000000000e+06
7.224999999999999645e+00,-4.579000000000000000e+05,6.316000000000000000e+06
7.275000000000000355e+00,-4.605000000000000000e+05,6.316000000000000000e+06
7.325000000000000178e+00,-4.632000000000000000e+05,6.316000000000000000e+06
7.375000000000000000e+00,-4.658000000000000000e+05,6.316000000000000000e+06
7.424999999999999822e+00,-4.685000000000000000e+05,6.316000000000000000e+06
7.474999999999999645e+00,-4.711000000000000000e+05,6.316000000000000000e+06
7.525000000000000355e+00,-4.738000000000000000e+05,6.316000000000000000e+06
7.575000000000000178e+00,-4.764000000000000000e+05,6.316000000000000000e+06
7.625000000000000000e+00,-4.790000000000000000e+05,6.316000000000000000e+06
7.674999999999999822e+00,-4.817000000000000000e+05,6.316000000000000000e+06
7.724999999999999645e+00,-4.843000000000000000e+05,6.316000000000000000e+06
7.775000000000000355e+00,5.827000000000000000e+06,6.316000000000000000e+06
7.825000000000000178e+00,-4.897000000000000000e+05,6.316000000000000000e+06
7.875000000000000000e+00,-4.923000000000000000e+05,6.316000000000000000e+06
7.924999999999999822e+00,-4.949000000000000000e+05,6.317000000000000000e+06
7.974999999999999645e+00,-4.976000000000000000e+05,6.317000000000000000e+06
8.025000000000000355e+00,-5.003000000000000000e+05,6.317000000000000000e+06
8.074999999999999289e+00,-5.029000000000000000e+05,6.317000000000000000e+06
8.125000000000000000e+00,-5.056000000000000000e+05,6.317000000000000000e+06
8.175000000000000711e+00,-5.083000000000000000e+05,6.317000000000000000e+06
8.224999999999999645e+00,-5.109000000000000000e+05,6.317000000000000000e+06
8.275000000000000355e+00,-5.136000000000000000e+05,6.317000000000000000e+06
8.324999999999999289e+00,-5.162000000000000000e+05,6.317000000000000000e+06
8.375000000000000000e+00,-5.189000000000000000e+05,6.317000000000000000e+06
8.425000000000000711e+00,-5.216000000000000000e+05,6.317000000000000000e+06
8.474999999999999645e+00,-5.243000000000000000e+05,6.317000000000000000e+06
8.525000000000000355e+00,-5.269000000000000000e+05,6.317000000000000000e+06
8.574999999999999289e+00,-5.296000000000000000e+05,6.317000000000000000e+06
8.625000000000000000e+00,5.782000000000000000e+06,6.317000000000000000e+06
8.675000000000000711e+00,-5.349000000000000000e+05,6.317000000000000000e+06
8.724999999999999645e+00,-5.376000000000000000e+05,6.317000000000000000e+06
8.775000000000000355e+00,-5.403000000000000000e+05,6.317000000000000000e+06
8.824999999999999289e+00,-5.430000000000000000e+05,6.317000000000000000e+06
8.875000000000000000e+00,-5.456000000000000000e+05,6.317000000000000000e+06
8.925000000000000711e+00,-5.483000000000000000e+05,6.317000000000000000e+06
8.974999999999999645e+00,-5.510000000000000000e+05,6.317000000000000000e+06
9.025000000000000355e+00,-5.536000000000000000e+05,6.317000000000000000e+06
9.074999999999999289e+00,-5.562000000000000000e+05,6.317000000000000000e+06
9.125000000000000000e+00,-5.589000000000000000e+05,6.317000000000000000e+06
9.175000000000000711e+00,-5.616000000000000000e+05,6.317000000000000000e+06
9.224999999999999645e+00,5.750000000000000000e+06,6.317000000000000000e+06
9.275000000000000355e+00,-5.670000000000000000e+05,6.317000000000000000e+06
9.324999999999999289e+00,-5.697000000000000000e+05,6.317000000000000000e+06
9.375000000000000000e+00,5.742000000000000000e+06,6.317000000000000000e+06
9.425000000000000711e+00,-5.751000000000000000e+05,6.317000000000000000e+06
9.474999999999999645e+00,-5.777000000000000000e+05,6.317000000000000000e+06
9.525000000000000355e+00,-5.805000000000000000e+05,6.317000000000000000e+06
9.574999999999999289e+00,-5.832000000000000000e+05,6.318000000000000000e+06
9.625000000000000000e+00,-5.859000000000000000e+05,6.318000000000000000e+06
9.675000000000000711e+00,-5.886000000000000000e+05,6.318000000000000000e+06
9.724999999999999645e+00,-5.913000000000000000e+05,6.318000000000000000e+06
9.775000000000000355e+00,-5.940000000000000000e+05,6.318000000000000000e+06
9.824999999999999289e+00,-5.967000000000000000e+05,6.318000000000000000e+06
9.875000000000000000e+00,-5.994000000000000000e+05,6.318000000000000000e+06
9.925000000000000711e+00,-6.021000000000000000e+05,6.318000000000000000e+06
9.974999999999999645e+00,-6.048000000000000000e+05,6.318000000000000000e+06
1.002500000000000036e+01,-6.076000000000000000e+05,6.318000000000000000e+06
1.007499999999999929e+01,-6.103000000000000000e+05,6.318000000000000000e+06
1.012500000000000000e+01,-6.130000000000000000e+05,6.318000000000000000e+06
1.017500000000000071e+01,-6.158000000000000000e+05,6.318000000000000000e+06
1.022499999999999964e+01,-6.185000000000000000e+05,6.318000000000000000e+06
1.027500000000000036e+01,-6.213000000000000000e+05,6.318000000000000000e+06
1.032499999999999929e+01,-6.239000000000000000e+05,6.318000000000000000e+06
1.037500000000000000e+01,-6.267000000000000000e+05,6.318000000000000000e+06
1.042500000000000071e+01,-6.294000000000000000e+05,6.318000000000000000e+06
1.047499999999999964e+01,5.682000000000000000e+06,6.318000000000000000e+06
1.052500000000000036e+01,1.199000000000000000e+07,8.932000000000000000e+06
1.057499999999999929e+01,-6.377000000000000000e+05,6.318000000000000000e+06
1.062500000000000000e+01,-6.404000000000000000e+05,6.318000000000000000e+06
1.067500000000000071e+01,-6.432000000000000000e+05,6.318000000000000000e+06
1.072499999999999964e+01,-6.459000000000000000e+05,6.318000000000000000e+06
1.077500000000000036e+01,-6.487000000000000000e+05,6.318000000000000000e+06
1.082499999999999929e+01,5.663000000000000000e+06,6.319000000000000000e+06
1.087500000000000000e+01,-6.542000000000000000e+05,6.319000000000000000e+06
1.092500000000000071e+01,-6.569000000000000000e+05,6.319000000000000000e+06
1.097499999999999964e+01,-6.598000000000000000e+05,6.319000000000000000e+06
1.102500000000000036e+01,-6.625000000000000000e+05,6.319000000000000000e+06
1.107499999999999929e+01,-6.653000000000000000e+05,6.319000000000000000e+06
1.112500000000000000e+01,-6.680000000000000000e+05,6.319000000000000000e+06
1.117500000000000071e+01,-6.708000000000000000e+05,6.319000000000000000e+06
1.122499999999999964e+01,-6.736000000000000000e+05,6.319000000000000000e+06
1.127500000000000036e+01,5.638000000000000000e+06,6.319000000000000000e+06
1.132499999999999929e+01,-6.791000000000000000e+05,6.319000000000000000e+06
1.137500000000000000e+01,-6.819000000000000000e+05,6.319000000000000000e+06
1.142500000000000071e+01,-6.847000000000000000e+05,6.319000000000000000e+06
1.147499999999999964e+01,5.626000000000000000e+06,6.319000000000000000e+06
1.152500000000000036e+01,-6.903000000000000000e+05,6.319000000000000000e+06
1.157499999999999929e+01,-6.932000000000000000e+05,6.319000000000000000e+06
1.162500000000000000e+01,-6.960000000000000000e+05,6.319000000000000000e+06
1.167500000000000071e+01,-6.987000000000000000e+05,6.319000000000000000e+06
1.172499999999999964e+01,-7.015000000000000000e+05,6.319000000000000000e+06
