Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.674999999999999822e+00,-1.773000000000000000e+06,5.695000000000000000e+07
4.724999999999999645e+00,-1.787000000000000000e+06,5.695000000000000000e+07
4.775000000000000355e+00,-1.563000000000000000e+06,3.238000000000000000e+07
4.825000000000000178e+00,-1.578000000000000000e+06,3.238000000000000000e+07
4.875000000000000000e+00,-1.838000000000000000e+06,2.069000000000000000e+07
4.924999999999999822e+00,1.883000000000000000e+07,2.069000000000000000e+07
4.974999999999999645e+00,-1.642000000000000000e+06,1.416000000000000000e+07
5.025000000000000355e+00,-1.655000000000000000e+06,1.416000000000000000e+07
5.075000000000000178e+00,-1.668000000000000000e+06,1.416000000000000000e+07
5.125000000000000000e+00,-1.587000000000000000e+06,1.015000000000000000e+07
5.174999999999999822e+00,-1.598000000000000000e+06,1.015000000000000000e+07
5.224999999999999645e+00,-1.610000000000000000e+06,1.015000000000000000e+07
5.275000000000000355e+00,-1.622000000000000000e+06,1.015000000000000000e+07
5.325000000000000178e+00,-1.325000000000000000e+06,7.519000000000000000e+06
5.375000000000000000e+00,-1.335000000000000000e+06,7.519000000000000000e+06
5.424999999999999822e+00,-1.344000000000000000e+06,7.519000000000000000e+06
5.474999999999999645e+00,-1.353000000000000000e+06,7.520000000000000000e+06
5.525000000000000355e+00,6.152000000000000000e+06,7.520000000000000000e+06
5.575000000000000178e+00,-1.309000000000000000e+06,5.640000000000000000e+06
5.625000000000000000e+00,-1.318000000000000000e+06,5.640000000000000000e+06
5.674999999999999822e+00,4.308000000000000000e+06,5.641000000000000000e+06
5.724999999999999645e+00,-1.335000000000000000e+06,5.641000000000000000e+06
5.775000000000000355e+00,-1.343000000000000000e+06,5.641000000000000000e+06
5.825000000000000178e+00,4.283000000000000000e+06,5.641000000000000000e+06
5.875000000000000000e+00,-1.361000000000000000e+06,5.641000000000000000e+06
5.924999999999999822e+00,4.266000000000000000e+06,5.641000000000000000e+06
5.974999999999999645e+00,-1.377000000000000000e+06,5.641000000000000000e+06
6.025000000000000355e+00,-1.386000000000000000e+06,5.641000000000000000e+06
6.075000000000000178e+00,-1.394000000000000000e+06,5.641000000000000000e+06
6.125000000000000000e+00,4.232000000000000000e+06,5.641000000000000000e+06
6.174999999999999822e+00,-1.411000000000000000e+06,5.641000000000000000e+06
6.224999999999999645e+00,4.215000000000000000e+06,5.641000000000000000e+06
6.275000000000000355e+00,-1.428000000000000000e+06,5.641000000000000000e+06
6.325000000000000178e+00,-1.436000000000000000e+06,5.642000000000000000e+06
6.375000000000000000e+00,-1.444000000000000000e+06,5.642000000000000000e+06
6.424999999999999822e+00,-1.452000000000000000e+06,5.642000000000000000e+06
6.474999999999999645e+00,-1.461000000000000000e+06,5.642000000000000000e+06
6.525000000000000355e+00,-1.469000000000000000e+06,5.642000000000000000e+06
6.575000000000000178e+00,-1.477000000000000000e+06,5.642000000000000000e+06
6.625000000000000000e+00,-1.485000000000000000e+06,5.642000000000000000e+06
6.674999999999999822e+00,4.142000000000000000e+06,5.642000000000000000e+06
6.724999999999999645e+00,-1.501000000000000000e+06,5.642000000000000000e+06
6.775000000000000355e+00,4.125000000000000000e+06,5.642000000000000000e+06
6.825000000000000178e+00,4.117000000000000000e+06,5.642000000000000000e+06
6.875000000000000000e+00,-1.526000000000000000e+06,5.642000000000000000e+06
6.924999999999999822e+00,-1.533000000000000000e+06,5.643000000000000000e+06
6.974999999999999645e+00,-1.542000000000000000e+06,5.643000000000000000e+06
7.025000000000000355e+00,-1.550000000000000000e+06,5.643000000000000000e+06
7.075000000000000178e+00,-1.558000000000000000e+06,5.643000000000000000e+06
7.125000000000000000e+00,4.069000000000000000e+06,5.643000000000000000e+06
7.174999999999999822e+00,-1.574000000000000000e+06,5.643000000000000000e+06
7.224999999999999645e+00,-1.582000000000000000e+06,5.643000000000000000e+06
7.275000000000000355e+00,4.045000000000000000e+06,5.643000000000000000e+06
7.325000000000000178e+00,-1.598000000000000000e+06,5.643000000000000000e+06
7.375000000000000000e+00,4.029000000000000000e+06,5.643000000000000000e+06
7.424999999999999822e+00,-1.614000000000000000e+06,5.643000000000000000e+06
7.474999999999999645e+00,-1.621000000000000000e+06,5.644000000000000000e+06
7.525000000000000355e+00,-1.629000000000000000e+06,5.644000000000000000e+06
7.575000000000000178e+00,-1.637000000000000000e+06,5.644000000000000000e+06
7.625000000000000000e+00,-1.645000000000000000e+06,5.644000000000000000e+06
7.674999999999999822e+00,-1.653000000000000000e+06,5.644000000000000000e+06
7.724999999999999645e+00,-1.661000000000000000e+06,5.644000000000000000e+06
7.775000000000000355e+00,3.966000000000000000e+06,5.644000000000000000e+06
7.825000000000000178e+00,-1.676000000000000000e+06,5.644000000000000000e+06
7.875000000000000000e+00,3.951000000000000000e+06,5.644000000000000000e+06
7.924999999999999822e+00,-1.692000000000000000e+06,5.644000000000000000e+06
7.974999999999999645e+00,-1.700000000000000000e+06,5.645000000000000000e+06
8.025000000000000355e+00,-1.708000000000000000e+06,5.645000000000000000e+06
8.074999999999999289e+00,-1.715000000000000000e+06,5.645000000000000000e+06
8.125000000000000000e+00,-1.723000000000000000e+06,5.645000000000000000e+06
8.175000000000000711e+00,-1.731000000000000000e+06,5.645000000000000000e+06
8.224999999999999645e+00,-1.739000000000000000e+06,5.645000000000000000e+06
8.275000000000000355e+00,-1.746000000000000000e+06,5.645000000000000000e+06
8.324999999999999289e+00,-1.754000000000000000e+06,5.645000000000000000e+06
8.375000000000000000e+00,9.508000000000000000e+06,7.976000000000000000e+06
8.425000000000000711e+00,-1.769000000000000000e+06,5.645000000000000000e+06
8.474999999999999645e+00,-1.777000000000000000e+06,5.646000000000000000e+06
8.525000000000000355e+00,-1.784000000000000000e+06,5.646000000000000000e+06
8.574999999999999289e+00,-1.792000000000000000e+06,5.646000000000000000e+06
8.625000000000000000e+00,-1.800000000000000000e+06,5.646000000000000000e+06
8.675000000000000711e+00,3.828000000000000000e+06,5.646000000000000000e+06
8.724999999999999645e+00,-1.815000000000000000e+06,5.646000000000000000e+06
8.775000000000000355e+00,-1.822000000000000000e+06,5.646000000000000000e+06
8.824999999999999289e+00,3.805000000000000000e+06,5.646000000000000000e+06
8.875000000000000000e+00,-1.837000000000000000e+06,5.646000000000000000e+06
