Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.525000000000000355e+00,-6.281000000000000000e+05,1.356000000000000000e+07
4.575000000000000178e+00,-5.076000000000000000e+05,8.154000000000000000e+06
4.625000000000000000e+00,-5.117000000000000000e+05,8.154000000000000000e+06
4.674999999999999822e+00,-4.360000000000000000e+05,5.515000000000000000e+06
4.724999999999999645e+00,-3.491000000000000000e+05,3.983000000000000000e+06
4.775000000000000355e+00,-3.519000000000000000e+05,3.983000000000000000e+06
4.825000000000000178e+00,-2.674000000000000000e+05,3.003000000000000000e+06
4.875000000000000000e+00,-2.694000000000000000e+05,3.003000000000000000e+06
4.924999999999999822e+00,-2.303000000000000000e+05,2.335000000000000000e+06
4.974999999999999645e+00,-2.320000000000000000e+05,2.335000000000000000e+06
5.025000000000000355e+00,2.101000000000000000e+06,2.335000000000000000e+06
5.075000000000000178e+00,-2.185000000000000000e+05,1.858000000000000000e+06
5.125000000000000000e+00,-2.202000000000000000e+05,1.858000000000000000e+06
5.174999999999999822e+00,-2.217000000000000000e+05,1.858000000000000000e+06
5.224999999999999645e+00,-2.233000000000000000e+05,1.858000000000000000e+06
5.275000000000000355e+00,-2.250000000000000000e+05,1.858000000000000000e+06
5.325000000000000178e+00,-2.265000000000000000e+05,1.858000000000000000e+06
5.375000000000000000e+00,1.629000000000000000e+06,1.859000000000000000e+06
5.424999999999999822e+00,1.628000000000000000e+06,1.859000000000000000e+06
5.474999999999999645e+00,-2.313000000000000000e+05,1.859000000000000000e+06
5.525000000000000355e+00,1.625000000000000000e+06,1.859000000000000000e+06
5.575000000000000178e+00,-2.344000000000000000e+05,1.859000000000000000e+06
5.625000000000000000e+00,-2.360000000000000000e+05,1.859000000000000000e+06
5.674999999999999822e+00,-2.376000000000000000e+05,1.859000000000000000e+06
5.724999999999999645e+00,-2.392000000000000000e+05,1.859000000000000000e+06
5.775000000000000355e+00,1.617000000000000000e+06,1.859000000000000000e+06
5.825000000000000178e+00,-2.423000000000000000e+05,1.859000000000000000e+06
5.875000000000000000e+00,-2.439000000000000000e+05,1.859000000000000000e+06
5.924999999999999822e+00,-2.454000000000000000e+05,1.859000000000000000e+06
5.974999999999999645e+00,-2.470000000000000000e+05,1.859000000000000000e+06
6.025000000000000355e+00,-2.486000000000000000e+05,1.859000000000000000e+06
6.075000000000000178e+00,-2.501000000000000000e+05,1.859000000000000000e+06
6.125000000000000000e+00,-2.517000000000000000e+05,1.859000000000000000e+06
6.174999999999999822e+00,-2.532000000000000000e+05,1.859000000000000000e+06
6.224999999999999645e+00,-2.548000000000000000e+05,1.859000000000000000e+06
6.275000000000000355e+00,-2.563000000000000000e+05,1.859000000000000000e+06
6.325000000000000178e+00,-2.578000000000000000e+05,1.859000000000000000e+06
6.375000000000000000e+00,1.598000000000000000e+06,1.859000000000000000e+06
6.424999999999999822e+00,-2.609000000000000000e+05,1.859000000000000000e+06
6.474999999999999645e+00,-2.624000000000000000e+05,1.859000000000000000e+06
6.525000000000000355e+00,-2.639000000000000000e+05,1.859000000000000000e+06
6.575000000000000178e+00,1.592000000000000000e+06,1.859000000000000000e+06
6.625000000000000000e+00,1.591000000000000000e+06,1.859000000000000000e+06
6.674999999999999822e+00,-2.684000000000000000e+05,1.859000000000000000e+06
6.724999999999999645e+00,-2.699000000000000000e+05,1.859000000000000000e+06
6.775000000000000355e+00,-2.715000000000000000e+05,1.859000000000000000e+06
6.825000000000000178e+00,-2.730000000000000000e+05,1.859000000000000000e+06
6.875000000000000000e+00,-2.745000000000000000e+05,1.859000000000000000e+06
6.924999999999999822e+00,-2.760000000000000000e+05,1.859000000000000000e+06
6.974999999999999645e+00,-2.775000000000000000e+05,1.859000000000000000e+06
7.025000000000000355e+00,-2.790000000000000000e+05,1.859000000000000000e+06
7.075000000000000178e+00,-2.805000000000000000e+05,1.859000000000000000e+06
7.125000000000000000e+00,1.575000000000000000e+06,1.859000000000000000e+06
7.174999999999999822e+00,-2.835000000000000000e+05,1.859000000000000000e+06
7.224999999999999645e+00,-2.850000000000000000e+05,1.859000000000000000e+06
7.275000000000000355e+00,-2.865000000000000000e+05,1.859000000000000000e+06
7.325000000000000178e+00,-2.880000000000000000e+05,1.859000000000000000e+06
7.375000000000000000e+00,1.568000000000000000e+06,1.859000000000000000e+06
7.424999999999999822e+00,-2.910000000000000000e+05,1.859000000000000000e+06
7.474999999999999645e+00,-2.925000000000000000e+05,1.859000000000000000e+06
7.525000000000000355e+00,1.564000000000000000e+06,1.859000000000000000e+06
7.575000000000000178e+00,-2.954000000000000000e+05,1.859000000000000000e+06
7.625000000000000000e+00,1.561000000000000000e+06,1.859000000000000000e+06
7.674999999999999822e+00,-2.985000000000000000e+05,1.859000000000000000e+06
7.724999999999999645e+00,-2.999000000000000000e+05,1.859000000000000000e+06
7.775000000000000355e+00,-3.014000000000000000e+05,1.859000000000000000e+06
7.825000000000000178e+00,-3.029000000000000000e+05,1.859000000000000000e+06
7.875000000000000000e+00,-3.044000000000000000e+05,1.859000000000000000e+06
7.924999999999999822e+00,1.552000000000000000e+06,1.859000000000000000e+06
7.974999999999999645e+00,-3.073000000000000000e+05,1.859000000000000000e+06
8.025000000000000355e+00,-3.088000000000000000e+05,1.859000000000000000e+06
8.074999999999999289e+00,-3.103000000000000000e+05,1.859000000000000000e+06
8.125000000000000000e+00,-3.118000000000000000e+05,1.859000000000000000e+06
8.175000000000000711e+00,-3.132000000000000000e+05,1.859000000000000000e+06
8.224999999999999645e+00,-3.147000000000000000e+05,1.859000000000000000e+06
8.275000000000000355e+00,1.541000000000000000e+06,1.859000000000000000e+06
8.324999999999999289e+00,-3.176000000000000000e+05,1.859000000000000000e+06
8.375000000000000000e+00,-3.191000000000000000e+05,1.859000000000000000e+06
8.425000000000000711e+00,-3.205000000000000000e+05,1.859000000000000000e+06
8.474999999999999645e+00,1.536000000000000000e+06,1.859000000000000000e+06
8.525000000000000355e+00,-3.234000000000000000e+05,1.860000000000000000e+06
8.574999999999999289e+00,-3.249000000000000000e+05,1.860000000000000000e+06
8.625000000000000000e+00,-3.264000000000000000e+05,1.860000000000000000e+06
8.675000000000000711e+00,-3.278000000000000000e+05,1.860000000000000000e+06
8.724999999999999645e+00,-3.292000000000000000e+05,1.860000000000000000e+06
8.775000000000000355e+00,-3.307000000000000000e+05,1.860000000000000000e+06
8.824999999999999289e+00,-3.322000000000000000e+05,1.860000000000000000e+06
8.875000000000000000e+00,-3.336000000000000000e+05,1.860000000000000000e+06
8.925000000000000711e+00,-3.350000000000000000e+05,1.860000000000000000e+06
8.974999999999999645e+00,-3.365000000000000000e+05,1.860000000000000000e+06
9.025000000000000355e+00,1.520000000000000000e+06,1.860000000000000000e+06
9.074999999999999289e+00,-3.393000000000000000e+05,1.860000000000000000e+06
9.125000000000000000e+00,-3.407000000000000000e+05,1.860000000000000000e+06
9.175000000000000711e+00,-3.422000000000000000e+05,1.860000000000000000e+06
9.224999999999999645e+00,-3.436000000000000000e+05,1.860000000000000000e+06
9.275000000000000355e+00,-3.450000000000000000e+05,1.860000000000000000e+06
9.324999999999999289e+00,-3.465000000000000000e+05,1.860000000000000000e+06
9.375000000000000000e+00,-3.479000000000000000e+05,1.860000000000000000e+06
9.425000000000000711e+00,-3.493000000000000000e+05,1.860000000000000000e+06
9.474999999999999645e+00,-3.507000000000000000e+05,1.860000000000000000e+06
9.525000000000000355e+00,-3.522000000000000000e+05,1.860000000000000000e+06
9.574999999999999289e+00,-3.536000000000000000e+05,1.860000000000000000e+06
9.625000000000000000e+00,-3.550000000000000000e+05,1.860000000000000000e+06
9.675000000000000711e+00,-3.564000000000000000e+05,1.860000000000000000e+06
9.724999999999999645e+00,-3.579000000000000000e+05,1.860000000000000000e+06
9.775000000000000355e+00,-3.593000000000000000e+05,1.860000000000000000e+06
9.824999999999999289e+00,-3.607000000000000000e+05,1.860000000000000000e+06
9.875000000000000000e+00,-3.621000000000000000e+05,1.860000000000000000e+06
9.925000000000000711e+00,1.494000000000000000e+06,1.860000000000000000e+06
9.974999999999999645e+00,-3.649000000000000000e+05,1.860000000000000000e+06
1.002500000000000036e+01,-3.664000000000000000e+05,1.860000000000000000e+06
1.007499999999999929e+01,-3.677000000000000000e+05,1.860000000000000000e+06
1.012500000000000000e+01,-3.692000000000000000e+05,1.860000000000000000e+06
1.017500000000000071e+01,-3.706000000000000000e+05,1.860000000000000000e+06
1.022499999999999964e+01,-3.720000000000000000e+05,1.860000000000000000e+06
1.027500000000000036e+01,-3.734000000000000000e+05,1.860000000000000000e+06
1.032499999999999929e+01,-3.748000000000000000e+05,1.860000000000000000e+06
1.037500000000000000e+01,-3.762000000000000000e+05,1.860000000000000000e+06
1.042500000000000071e+01,-3.776000000000000000e+05,1.860000000000000000e+06
1.047499999999999964e+01,-3.790000000000000000e+05,1.860000000000000000e+06
1.052500000000000036e+01,-3.804000000000000000e+05,1.860000000000000000e+06
1.057499999999999929e+01,-3.818000000000000000e+05,1.860000000000000000e+06
1.062500000000000000e+01,-3.832000000000000000e+05,1.860000000000000000e+06
1.067500000000000071e+01,-3.846000000000000000e+05,1.860000000000000000e+06
1.072499999999999964e+01,-3.860000000000000000e+05,1.860000000000000000e+06
1.077500000000000036e+01,-3.874000000000000000e+05,1.860000000000000000e+06
1.082499999999999929e+01,-3.888000000000000000e+05,1.860000000000000000e+06
1.087500000000000000e+01,-3.902000000000000000e+05,1.860000000000000000e+06
1.092500000000000071e+01,-3.915000000000000000e+05,1.860000000000000000e+06
1.097499999999999964e+01,1.465000000000000000e+06,1.860000000000000000e+06
1.102500000000000036e+01,1.463000000000000000e+06,1.860000000000000000e+06
1.107499999999999929e+01,1.462000000000000000e+06,1.861000000000000000e+06
1.112500000000000000e+01,-3.971000000000000000e+05,1.861000000000000000e+06
1.117500000000000071e+01,-3.985000000000000000e+05,1.861000000000000000e+06
1.122499999999999964e+01,-3.998000000000000000e+05,1.861000000000000000e+06
1.127500000000000036e+01,1.456000000000000000e+06,1.861000000000000000e+06
1.132499999999999929e+01,-4.026000000000000000e+05,1.861000000000000000e+06
1.137500000000000000e+01,5.169000000000000000e+06,3.219000000000000000e+06
1.142500000000000071e+01,-4.053000000000000000e+05,1.861000000000000000e+06
1.147499999999999964e+01,1.451000000000000000e+06,1.861000000000000000e+06
1.152500000000000036e+01,1.449000000000000000e+06,1.861000000000000000e+06
1.157499999999999929e+01,-4.095000000000000000e+05,1.861000000000000000e+06
1.162500000000000000e+01,-4.109000000000000000e+05,1.861000000000000000e+06
1.167500000000000071e+01,-4.122000000000000000e+05,1.861000000000000000e+06
1.172499999999999964e+01,-4.136000000000000000e+05,1.861000000000000000e+06
1.177500000000000036e+01,-4.150000000000000000e+05,1.861000000000000000e+06
1.182499999999999929e+01,-4.164000000000000000e+05,1.861000000000000000e+06
1.187500000000000000e+01,-4.177000000000000000e+05,1.861000000000000000e+06
1.192500000000000071e+01,3.296000000000000000e+06,2.629000000000000000e+06
1.197499999999999964e+01,1.437000000000000000e+06,1.861000000000000000e+06
1.202500000000000036e+01,-4.218000000000000000e+05,1.861000000000000000e+06
1.207499999999999929e+01,-4.231000000000000000e+05,1.861000000000000000e+06
1.212500000000000000e+01,-4.245000000000000000e+05,1.861000000000000000e+06
1.217500000000000071e+01,-4.259000000000000000e+05,1.861000000000000000e+06
1.222499999999999964e+01,-4.272000000000000000e+05,1.861000000000000000e+06
