WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
O106722 NDI-P2,98060000.0,9776582.000000002,15.049,0.06140032573203501,0.263,0.01,619.365,23.55,0.0,0.474328775468396,nan,nan
O106729 NDI-P2,151600000.0,36838800.0,15.115,0.06389053137985315,0.256,0.013,602.88,30.615,0.0,0.0,nan,nan
O106729 TIM6:12,108300000.0,15064530.0,15.34,0.06788225099390856,0.261,0.046,614.655,108.33,0.0,0.0,nan,nan
O106732 NDI-P2,166700000.0,14469560.0,15.145,0.060802960454241044,0.254,0.008,598.17,18.84,0.0,0.0,nan,nan
O106732 TIM6:12,232200000.0,29025000.0,15.214,0.06648308055437865,0.264,0.022,621.72,51.809999999999995,0.0,0.0,nan,nan
O106733 NDI-P2,154600000.0,10512800.0,15.143,0.060216276869298396,0.271,0.009,638.205,21.194999999999997,0.0,0.0,nan,nan
O106733 TIM6:12,136000000.0,25200800.0,15.308,0.07300000000000001,0.269,0.028,633.495,65.94,0.0,0.0,nan,nan
O106734 NDI-P2,147500000.0,13348750.0,15.096,0.06200806399170999,0.261,0.008,614.655,18.84,0.0,0.0,nan,nan
O106734 TIM6:12,156800000.0,15162560.0,15.208,0.05940538696111658,0.274,0.05,645.2700000000001,117.75,0.0,0.0,nan,nan
O106735 NDI-P2,1294000000.0,63664800.0,15.096,0.05964059020499378,0.341,0.004,803.0550000000001,9.42,0.0,0.0,nan,nan
O106735 TIM6:12,2781000000.0,115689600.0,15.179,0.05964059020499378,0.302,0.004,711.2099999999999,9.42,0.0,0.0,nan,nan
