WRF ANALYSIS
Date & time = ,2025-02-05, 15:07
Display format=,3
Program version:,2021-05-25

Scan file = ,O108805_P2_G152_wa1255_5hr_40x_s2
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g152 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,18.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.058,0.063,1.52

Fit limits (MeV):,11.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 14.206,1.484,8.493e+07
Uncertainties
    Random:, 0.077,0.307,18.37%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.043,0.307,4.90%
     DvE:, 0.053,0.006,17.70%
     Dmax:, 0.010,0.000,0.36%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.031,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 -1.290e+06 	 1.010e+07
4.650 	 2.868e+06 	 4.258e+06
4.750 	 1.082e+06 	 2.383e+06
4.850 	 -1.311e+06 	 2.384e+06
4.950 	 1.924e+06 	 2.122e+06
5.050 	 2.043e+06 	 1.760e+06
5.150 	 -1.011e+06 	 1.022e+06
5.250 	 -9.578e+05 	 7.276e+05
5.350 	 -2.523e+05 	 7.278e+05
5.450 	 -2.658e+05 	 7.280e+05
5.550 	 -3.976e+05 	 5.325e+05
5.650 	 -4.101e+05 	 5.327e+05
5.750 	 1.150e+06 	 1.053e+06
5.850 	 -1.047e+05 	 5.488e+05
5.950 	 -8.836e+05 	 3.924e+05
6.050 	 -5.110e+05 	 3.926e+05
6.150 	 -5.221e+05 	 3.928e+05
6.250 	 1.386e+06 	 9.440e+05
6.350 	 2.235e+05 	 6.703e+05
6.450 	 -1.713e+05 	 5.497e+05
6.550 	 -1.821e+05 	 5.498e+05
6.650 	 -1.930e+05 	 5.500e+05
6.750 	 -2.038e+05 	 5.502e+05
6.850 	 -9.824e+05 	 3.944e+05
6.950 	 1.584e+05 	 6.711e+05
7.050 	 9.153e+05 	 8.633e+05
7.150 	 -1.015e+06 	 3.951e+05
7.250 	 1.260e+05 	 6.715e+05
7.350 	 -6.524e+05 	 3.955e+05
7.450 	 -6.632e+05 	 3.958e+05
7.550 	 8.616e+05 	 8.638e+05
7.650 	 -3.007e+05 	 5.517e+05
7.750 	 -3.113e+05 	 5.519e+05
7.850 	 6.191e+04 	 6.724e+05
7.950 	 4.352e+05 	 7.744e+05
8.050 	 -3.432e+05 	 5.524e+05
8.150 	 -1.121e+06 	 3.975e+05
8.250 	 -3.643e+05 	 5.528e+05
8.350 	 1.161e+06 	 9.461e+05
8.450 	 1.150e+06 	 9.462e+05
8.550 	 -3.957e+05 	 5.533e+05
8.650 	 3.616e+05 	 7.753e+05
8.750 	 -8.003e+05 	 3.990e+05
8.850 	 3.412e+06 	 1.334e+06
8.950 	 -5.339e+04 	 6.740e+05
9.050 	 -6.356e+04 	 6.742e+05
9.150 	 1.078e+06 	 9.470e+05
9.250 	 1.451e+06 	 1.022e+06
9.350 	 -9.433e+04 	 6.747e+05
9.450 	 6.631e+05 	 8.661e+05
9.550 	 1.037e+06 	 9.474e+05
9.650 	 1.410e+06 	 1.022e+06
9.750 	 -1.353e+05 	 6.753e+05
9.850 	 2.385e+05 	 7.769e+05
9.950 	 1.380e+06 	 1.023e+06
10.050 	 9.859e+05 	 9.480e+05
10.150 	 -5.597e+05 	 5.564e+05
10.250 	 -1.859e+05 	 6.762e+05
10.350 	 1.339e+06 	 1.023e+06
